scenario_id,design_family,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,n_requested,n_success,n_failed,failure_rate,mean_estimate,bias,relative_bias,rmse,coverage,mean_delta_z,abs_delta_z,mean_abs_delta_z,bias_ge_abs_delta_z,mcse_bias,mcse_rmse,mcse_coverage,mcse_delta_z,mean_instrument_count,ar2_rejection_rate_05,hansen_rejection_rate_05
"P_N050_T08_RY20","principal",50,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.00312422356,0.00312422356000162,0.00312422356000162,0.355207473094723,0.976,-0.0112780876716905,0.0112780876716905,0.113126613020444,FALSE,0.0159006552699881,0.0154011396488852,0.00684455988358638,0.00760244775577123,6,0.04,0.044
"P_N050_T08_RY20","principal",50,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01533119655058,0.0153311965505795,0.0153311965505795,0.0569739486908753,0.934,-0.0284988776982731,0.0284988776982731,0.0285584858165944,FALSE,0.00245642800843771,0.00166525004117296,0.0111035129576184,0.000654552014531131,NA,NA,NA
"P_N050_T08_RY20","principal",50,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03025734734756,0.0302573473475601,0.0302573473475601,0.0725636169937215,0.92,-0.0354259515922707,0.0354259515922707,0.0356481628860627,FALSE,0.00295252055719898,0.00220428906853092,0.0121326007104825,0.000938528212176753,NA,NA,NA
"P_N050_T08_RY50","principal",50,8,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.979325937380502,-0.0206740626194982,-0.0206740626194982,0.345661714625327,0.988,0.00674211245813251,0.00674211245813251,0.136151255181446,TRUE,0.0154462416447156,0.0149207760577777,0.00486949689393063,0.0181963737808971,6,0.044,0.052
"P_N050_T08_RY50","principal",50,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,1.01151692459818,0.0115169245981776,0.0115169245981776,0.0538483983988709,0.942,-0.0293672334120489,0.0293672334120489,0.0294362316158274,FALSE,0.00235480596613035,0.00172991709609646,0.0104533248299285,0.000648359508331534,NA,NA,NA
"P_N050_T08_RY50","principal",50,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.04202477249965,0.0420247724996464,0.0420247724996464,0.0795566499532029,0.896,-0.0355891221457264,0.0355891221457264,0.0360818047397873,TRUE,0.00302401180405119,0.00269595739270767,0.013651666564929,0.000964089857264365,NA,NA,NA
"P_N050_T08_RY80","principal",50,8,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,0.886428463838543,-0.113571536161457,-0.113571536161457,0.531454496415054,0.986,-0.00566195561896988,0.00566195561896988,0.254141080105581,TRUE,0.0232415816609718,0.0302297539369588,0.00525433154644813,0.0219906245001583,6,0.036,0.044
"P_N050_T08_RY80","principal",50,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,500,500,0,0,0.98535319879027,-0.0146468012097297,-0.0146468012097297,0.0578856181915831,0.922,-0.027760818631101,0.027760818631101,0.0278592202372722,FALSE,0.00250699063012366,0.0017405431492861,0.0119929979571415,0.00065340940286567,NA,NA,NA
"P_N050_T08_RY80","principal",50,8,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,500,500,0,0,1.03528889738298,0.035288897382981,0.035288897382981,0.0771602135716836,0.912,-0.034621958921293,0.034621958921293,0.0349395631206477,TRUE,0.00307175127111322,0.00243998951906842,0.0126693330526907,0.000920942150307233,NA,NA,NA
"P_N050_T10_RY20","principal",50,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,500,500,0,0,1.01701928524955,0.0170192852495486,0.0170192852495486,0.286903884113807,0.976,-0.0119709648721435,0.0119709648721435,0.0753576118559451,TRUE,0.0128209640642754,0.0108144926203572,0.00684455988358638,0.0047724039392715,6,0.046,0.054
