scenario_id,design_family,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,scenario_number
"P_N050_T08_RY20","principal",50,8,0.2,0.5,0.5,0.5,"baseline",1
"P_N050_T08_RY50","principal",50,8,0.5,0.5,0.5,0.5,"baseline",2
"P_N050_T08_RY80","principal",50,8,0.8,0.5,0.5,0.5,"baseline",3
"P_N050_T10_RY20","principal",50,10,0.2,0.5,0.5,0.5,"baseline",4
"P_N050_T10_RY50","principal",50,10,0.5,0.5,0.5,0.5,"baseline",5
"P_N050_T10_RY80","principal",50,10,0.8,0.5,0.5,0.5,"baseline",6
"P_N050_T15_RY20","principal",50,15,0.2,0.5,0.5,0.5,"baseline",7
"P_N050_T15_RY50","principal",50,15,0.5,0.5,0.5,0.5,"baseline",8
"P_N050_T15_RY80","principal",50,15,0.8,0.5,0.5,0.5,"baseline",9
"P_N050_T20_RY20","principal",50,20,0.2,0.5,0.5,0.5,"baseline",10
"P_N050_T20_RY50","principal",50,20,0.5,0.5,0.5,0.5,"baseline",11
"P_N050_T20_RY80","principal",50,20,0.8,0.5,0.5,0.5,"baseline",12
"P_N050_T30_RY20","principal",50,30,0.2,0.5,0.5,0.5,"baseline",13
"P_N050_T30_RY50","principal",50,30,0.5,0.5,0.5,0.5,"baseline",14
"P_N050_T30_RY80","principal",50,30,0.8,0.5,0.5,0.5,"baseline",15
"P_N050_T50_RY20","principal",50,50,0.2,0.5,0.5,0.5,"baseline",16
"P_N050_T50_RY50","principal",50,50,0.5,0.5,0.5,0.5,"baseline",17
"P_N050_T50_RY80","principal",50,50,0.8,0.5,0.5,0.5,"baseline",18
"P_N100_T08_RY20","principal",100,8,0.2,0.5,0.5,0.5,"baseline",19
"P_N100_T08_RY50","principal",100,8,0.5,0.5,0.5,0.5,"baseline",20
"P_N100_T08_RY80","principal",100,8,0.8,0.5,0.5,0.5,"baseline",21
"P_N100_T10_RY20","principal",100,10,0.2,0.5,0.5,0.5,"baseline",22
"P_N100_T10_RY50","principal",100,10,0.5,0.5,0.5,0.5,"baseline",23
"P_N100_T10_RY80","principal",100,10,0.8,0.5,0.5,0.5,"baseline",24
"P_N100_T15_RY20","principal",100,15,0.2,0.5,0.5,0.5,"baseline",25
"P_N100_T15_RY50","principal",100,15,0.5,0.5,0.5,0.5,"baseline",26
"P_N100_T15_RY80","principal",100,15,0.8,0.5,0.5,0.5,"baseline",27
"P_N100_T20_RY20","principal",100,20,0.2,0.5,0.5,0.5,"baseline",28
"P_N100_T20_RY50","principal",100,20,0.5,0.5,0.5,0.5,"baseline",29
"P_N100_T20_RY80","principal",100,20,0.8,0.5,0.5,0.5,"baseline",30
"P_N100_T30_RY20","principal",100,30,0.2,0.5,0.5,0.5,"baseline",31
"P_N100_T30_RY50","principal",100,30,0.5,0.5,0.5,0.5,"baseline",32
"P_N100_T30_RY80","principal",100,30,0.8,0.5,0.5,0.5,"baseline",33
"P_N100_T50_RY20","principal",100,50,0.2,0.5,0.5,0.5,"baseline",34
"P_N100_T50_RY50","principal",100,50,0.5,0.5,0.5,0.5,"baseline",35
"P_N100_T50_RY80","principal",100,50,0.8,0.5,0.5,0.5,"baseline",36
"P_N250_T08_RY20","principal",250,8,0.2,0.5,0.5,0.5,"baseline",37
"P_N250_T08_RY50","principal",250,8,0.5,0.5,0.5,0.5,"baseline",38
"P_N250_T08_RY80","principal",250,8,0.8,0.5,0.5,0.5,"baseline",39
"P_N250_T10_RY20","principal",250,10,0.2,0.5,0.5,0.5,"baseline",40
"P_N250_T10_RY50","principal",250,10,0.5,0.5,0.5,0.5,"baseline",41
"P_N250_T10_RY80","principal",250,10,0.8,0.5,0.5,0.5,"baseline",42
"P_N250_T15_RY20","principal",250,15,0.2,0.5,0.5,0.5,"baseline",43
"P_N250_T15_RY50","principal",250,15,0.5,0.5,0.5,0.5,"baseline",44
"P_N250_T15_RY80","principal",250,15,0.8,0.5,0.5,0.5,"baseline",45
"P_N250_T20_RY20","principal",250,20,0.2,0.5,0.5,0.5,"baseline",46
"P_N250_T20_RY50","principal",250,20,0.5,0.5,0.5,0.5,"baseline",47
"P_N250_T20_RY80","principal",250,20,0.8,0.5,0.5,0.5,"baseline",48
