nl_type,nl_strength,rho_Z,twfe_s_mean,twfe_s_mcse,twfe_bad_mean,twfe_bad_mcse,adl_Ylag_mean,adl_Ylag_mcse,adl_total_mean,adl_total_mcse,adl_bad_mean,adl_bad_mcse,adl_safe_mean,adl_safe_mcse,adl_both_mean,adl_both_mcse,ivb_twfe_diff_mean,ivb_twfe_formula_mean,ivb_twfe_formula_gap,ivb_adl_diff_mean,ivb_adl_formula_mean,ivb_adl_formula_gap,n_sims,twfe_s_bias_vs_total,twfe_bad_bias_vs_direct,adl_total_bias_vs_total,adl_bad_bias_vs_direct,adl_safe_bias_vs_total,overcontrol_twfe,overcontrol_adl,safe_shift_adl
softpoly2,1,0.3,1.55561681843238,0.00193509675992357,1.23993206905812,0.00148270057868464,1.21092803847115,0.00116599176981092,1.20224200377357,0.00118330810795848,0.997449461927198,0.000865090378547663,1.19981484780312,0.00118601649741115,0.999399733952885,0.000872729496754472,-0.315684749374258,-0.315684749374258,0.00000000000000013505863094565,-0.204792541846368,-0.204792541846368,0.000000000000000186572979288258,500,0.355616818432382,0.239932069058125,0.00224200377356598,-0.0025505380728017,-0.0001851521968812,-0.315684749374258,-0.204792541846368,-0.00242715597044718
softpoly2,1,0.7,1.58123009429498,0.00241003091687528,1.07135145481547,0.00175429828249819,1.17887249177296,0.00124590222087,1.19976287010556,0.00121213041010978,0.993037667413077,0.000877969916675824,1.19645811392589,0.00117128436612844,0.998667932553115,0.00089028351650521,-0.509878639479505,-0.509878639479505,0.000000000000000131561428418081,-0.206725202692482,-0.206725202692482,0.000000000000000198785432559134,500,0.381230094294976,0.0713514548154712,-0.00023712989444058,-0.00696233258692303,-0.00354188607410588,-0.509878639479505,-0.206725202692482,-0.0033047561796653
softpoly2,2,0.3,1.55205628349278,0.00274393025960489,1.23761962347269,0.00145321549794531,1.19563090487982,0.00179416086641002,1.20267760100382,0.00170808704752882,0.995620505401902,0.000866135705259163,1.19835877814025,0.00171915239555691,0.99791656665172,0.000865780476188389,-0.314436660020091,-0.314436660020091,0.000000000000000120292664718136,-0.207057095601915,-0.207057095601915,0.00000000000000018446355554147,500,0.352056283492785,0.237619623472694,0.0026776010038172,-0.00437949459809828,-0.00164122185975191,-0.314436660020091,-0.207057095601915,-0.00431882286356911
softpoly2,2,0.7,1.58483632692817,0.00346871251154775,1.09886440038867,0.0021812050675906,1.15491824567256,0.00210014573991583,1.20603020432084,0.00187878064541133,0.994689306017517,0.000855106699276293,1.19742186107277,0.00182805839745423,0.999619012702735,0.00088145268620492,-0.485971926539503,-0.485971926539503,0.000000000000000139999123405232,-0.211340898303323,-0.211340898303323,0.000000000000000192734717074927,500,0.384836326928173,0.0988644003886701,0.00603020432084045,-0.00531069398248285,-0.00257813892722925,-0.485971926539503,-0.211340898303323,-0.00860834324806969
tanh,0.5,0.3,1.6312216523745,0.00166733512345282,1.20919292092523,0.00163087584487791,1.27245282678632,0.000902306481821767,1.25432968194943,0.000970924651318773,0.996324644372331,0.00094566370087499,1.25302362444793,0.000958813130240899,0.998684148840164,0.000948398077349262,-0.422028731449265,-0.422028731449265,0.000000000000000172417635724287,-0.258005037577097,-0.258005037577097,0.000000000000000211997086552174,500,0.431221652374497,0.209192920925232,0.0543296819494283,-0.00367535562766919,0.0530236244479307,-0.422028731449265,-0.258005037577097,-0.00130605750149759
tanh,0.5,0.7,1.67558492698764,0.00223182959798096,0.949898513032864,0.00153771096764399,1.25027784876169,0.000938779725826205,1.25192314040086,0.000985158923897215,0.989090130279152,0.000907746526449256,1.25140199612888,0.000969850503546592,0.996780084358616,0.0009375023756311,-0.725686413954772,-0.725686413954772,0.000000000000000179856129989275,-0.262833010121711,-0.262833010121711,0.000000000000000240640840587503,500,0.475584926987636,-0.0501014869671363,0.0519231404008624,-0.0109098697208483,0.0514019961288774,-0.725686413954772,-0.262833010121711,-0.000521144271985019
tanh,1,0.3,1.70895012856119,0.00172724969800346,1.1666400186395,0.00169163649371884,1.33102518197546,0.000920535477597179,1.30999321519966,0.000976627653121734,0.994547652031945,0.000952460460941915,1.30844790015774,0.000970567191396252,0.99747584410466,0.000961306209679273,-0.542310109921696,-0.542310109921696,0.000000000000000205724326463042,-0.315445563167714,-0.315445563167714,0.000000000000000288546964100078,500,0.508950128561193,0.166640018639496,0.109993215199659,-0.00545234796805461,0.108447900157741,-0.542310109921696,-0.315445563167714,-0.0015453150419189
tanh,1,0.7,1.76482569845194,0.00224166421607529,0.846440173635855,0.00162857255690892,1.30961247339314,0.000968265468720269,1.30599197059651,0.00103466698898388,0.988330160785349,0.000972459191690724,1.3059858359315,0.000984718526863105,0.998261421612482,0.00100735844826868,-0.918385524816087,-0.918385524816087,0.000000000000000220046203480706,-0.317661809811163,-0.317661809811163,0.000000000000000290434343241941,500,0.564825698451942,-0.153559826364145,0.105991970596511,-0.0116698392146513,0.1059858359315,-0.918385524816087,-0.317661809811163,-0.00000613466501109272
tanh,2,0.3,1.86604477855644,0.00191056769081416,1.06480533841883,0.00194229154800486,1.44441369604709,0.00101552589938385,1.41970008005401,0.00105982285170213,0.994741595945296,0.00107570894340985,1.41815112007167,0.0010454688778245,0.998926031229222,0.00108824221395614,-0.801239440137609,-0.801239440137608,0.000000000000000346389583683049,-0.424958484108711,-0.424958484108711,0.000000000000000377031739162703,500,0.666044778556442,0.0648053384188334,0.219700080054007,-0.00525840405470379,0.218151120071671,-0.801239440137609,-0.424958484108711,-0.00154895998233573
tanh,2,0.7,1.93829801677136,0.00258276187516722,0.631575102256894,0.0018554772763196,1.43142095370175,0.00106074767973632,1.41791704286724,0.00110400203762019,0.98441243274444,0.000973149403553176,1.41837953056288,0.00106057812688693,0.998400510650346,0.00107108174985934,-1.30672291451446,-1.30672291451446,0.000000000000000274447131687339,-0.433504610122798,-0.433504610122798,0.000000000000000414779321999959,500,0.738298016771358,-0.368424897743106,0.217917042867238,-0.0155875672555598,0.218379530562878,-1.30672291451446,-0.433504610122798,0.000462487695639613
Dlog,0.5,0.3,1.8423525737122,0.00179176212281815,1.08076300966195,0.00186501940697117,1.4258452905526,0.000936460409033207,1.40093099398224,0.000976471763839171,0.99474629132992,0.00103761306492177,1.39958020123763,0.000972472863042991,0.998725367418383,0.00104626623108964,-0.76158956405025,-0.76158956405025,0.000000000000000340838468559923,-0.406184702652318,-0.406184702652318,0.000000000000000365374397404139,500,0.642352573712198,0.0807630096619476,0.200930993982237,-0.00525370867008035,0.199580201237634,-0.76158956405025,-0.406184702652318,-0.0013507927446037
Dlog,0.5,0.7,1.9150072656702,0.00256772701975599,0.655441717376259,0.00173557323222333,1.41211615200026,0.000947505003051346,1.397874004756,0.00102612218829199,0.985004097991055,0.00101368521234724,1.39857742445768,0.000960640667848223,0.999229293256267,0.00108654552099725,-1.25956554829394,-1.25956554829394,0.000000000000000292210700081341,-0.412869906764945,-0.412869906764945,0.000000000000000421440660147709,500,0.715007265670202,-0.344558282623741,0.197874004756,-0.0149959020089452,0.198577424457681,-1.25956554829394,-0.412869906764945,0.000703419701681529
Dlog,1,0.3,2.12826642880202,0.00215831770422361,0.805884969674392,0.00242780858136669,1.63380851653689,0.0010887088301084,1.6006090559257,0.00113309789239039,0.990167140455804,0.00123657315669529,1.5988715178172,0.00112014604019441,0.996733355656221,0.00125967469009073,-1.32238145912763,-1.32238145912763,0.000000000000000550226531004228,-0.610441915469898,-0.610441915469898,0.000000000000000607291994469961,500,0.928266428802023,-0.194115030325608,0.400609055925703,-0.00983285954419577,0.398871517817197,-1.32238145912763,-0.610441915469898,-0.00173753810850585
Dlog,1,0.7,2.23222625879318,0.00324784174826762,0.26876716802947,0.00204700690183898,1.63323066710464,0.00112671684880705,1.59871458796119,0.00118819753212392,0.977951695858276,0.00117330118191632,1.59914307691285,0.00111371551928596,0.999594424707754,0.00131764126440803,-1.96345909076371,-1.96345909076371,0.00000000000000042765790908561,-0.620762892102913,-0.620762892102913,0.000000000000000872857341960298,500,1.03222625879318,-0.73123283197053,0.398714587961189,-0.0220483041417243,0.399143076912851,-1.96345909076371,-0.620762892102913,0.000428488951662365
Dlog,2,0.3,2.70894718401203,0.00315560938982942,0.140381825506955,0.00375567542694757,2.05243726264675,0.00152730923643691,2.00521332999016,0.00151514112459327,0.986026359886667,0.00157553283189889,2.00149091894674,0.00151945030911462,0.999067333627436,0.00162421514832756,-2.56856535850507,-2.56856535850507,0.00000000000000106226138996135,-1.01918697010349,-1.01918697010349,0.0000000000000013811174426337,500,1.50894718401203,-0.859618174493045,0.805213329990158,-0.0139736401133335,0.801490918946742,-2.56856535850507,-1.01918697010349,-0.00372241104341597
Dlog,2,0.7,2.87388880619901,0.00475094223043975,-0.390061057507052,0.00252293849479282,2.0859285761214,0.0015725857358866,2.00498903077147,0.00153885260981608,0.970154589460834,0.0014845119368825,2.0005392762146,0.00147588288792306,1.00506556512389,0.00171069415871669,-3.26394986370607,-3.26394986370607,0.000000000000000656363852158393,-1.03483444131063,-1.03483444131063,0.00000000000000210254036403512,500,1.67388880619901,-1.39006105750705,0.804989030771467,-0.0298454105391659,0.800539276214598,-3.26394986370607,-1.03483444131063,-0.00444975455686913
