nl_type,nl_strength,rho_Z,twfe_s_mean,twfe_s_mcse,twfe_bad_mean,twfe_bad_mcse,adl_Ylag_mean,adl_Ylag_mcse,adl_total_mean,adl_total_mcse,adl_bad_mean,adl_bad_mcse,adl_safe_mean,adl_safe_mcse,adl_both_mean,adl_both_mcse,ivb_twfe_diff_mean,ivb_twfe_formula_mean,ivb_twfe_formula_gap,ivb_adl_diff_mean,ivb_adl_formula_mean,ivb_adl_formula_gap,n_sims,twfe_s_bias_vs_total,twfe_bad_bias_vs_direct,adl_total_bias_vs_total,adl_bad_bias_vs_direct,adl_safe_bias_vs_total,overcontrol_twfe,overcontrol_adl,safe_shift_adl
linear,0,0.3,1.55199911923922,0.00158374538299597,1.23915094681821,0.00152346136365658,1.21481363176318,0.000860750915212481,1.20071658152323,0.00089987980654843,0.998147741933875,0.000868071762573891,1.19921361015465,0.000894065267431808,0.999733578677665,0.000870837063950876,-0.312848172421007,-0.312848172421007,0.000000000000000143940415142652,-0.202568839589358,-0.202568839589358,0.000000000000000192235116713846,500,0.35199911923922,0.239150946818212,0.00071658152323284,-0.00185225806612532,-0.000786389845349955,-0.312848172421007,-0.202568839589358,-0.0015029713685828
linear,0,0.7,1.58649484549643,0.0020561008894536,1.05200446543879,0.00149109785559578,1.1905939735419,0.000919785018186375,1.19856412717718,0.000975078851244632,0.992365106298253,0.000883599361704599,1.19725839535571,0.000954799504964109,0.997768051388721,0.000911970961611109,-0.534490380057649,-0.534490380057649,0.000000000000000128341781646668,-0.206199020878927,-0.206199020878927,0.000000000000000194066984704477,500,0.386494845496435,0.0520044654387857,-0.00143587282282032,-0.0076348937017473,-0.00274160464429496,-0.534490380057649,-0.206199020878927,-0.00130573182147464
log2,0.5,0.3,1.55366063166511,0.00168097419642758,1.24056669429597,0.00152666120722051,1.21328938706108,0.000934709035546484,1.20013684865745,0.000972962472512987,0.997195984980513,0.000879206537380241,1.19846059087307,0.00096552045264455,0.998856058095179,0.000885335078926994,-0.313093937369132,-0.313093937369132,0.00000000000000013061773884715,-0.202940863676936,-0.202940863676936,0.000000000000000196620497661115,500,0.353660631665105,0.240566694295973,0.000136848657450006,-0.00280401501948646,-0.00153940912693473,-0.313093937369132,-0.202940863676936,-0.00167625778438474
log2,0.5,0.7,1.58200822855688,0.00215820368938861,1.05626643821003,0.00153958962401837,1.186602687817,0.00107329057609298,1.19676951317861,0.00109176258964503,0.991373606326768,0.000913592379659973,1.19522180093227,0.00101042323687919,0.996978048915045,0.000918429263978766,-0.525741790346851,-0.525741790346851,0.000000000000000133781874467331,-0.205395906851843,-0.205395906851843,0.000000000000000195232718880334,500,0.38200822855688,0.0562664382100291,-0.00323048682138904,-0.00862639367323248,-0.00477819906772736,-0.525741790346851,-0.205395906851843,-0.00154771224633832
log2,1,0.3,1.5537654238262,0.00184059556681345,1.2394467689331,0.00149255946614698,1.21091582022538,0.00114973579799105,1.20073679557812,0.00116883456724927,0.996466848330651,0.000883145988064797,1.19831947986608,0.00117021509539797,0.998292487062015,0.000885432892334049,-0.3143186548931,-0.3143186548931,0.000000000000000129452004671293,-0.204269947247464,-0.204269947247464,0.000000000000000193012272831083,500,0.353765423826196,0.239446768933096,0.000736795578115013,-0.00353315166934898,-0.00168052013392139,-0.3143186548931,-0.204269947247464,-0.00241731571203641
log2,1,0.7,1.58870602990195,0.00234534624676128,1.06951257681772,0.00178564049063624,1.18220959596962,0.00119694753093408,1.20072922425565,0.00119962634173232,0.993114772417817,0.000952040236709181,1.19796364496572,0.00122601795622037,0.998791660797869,0.000977962566695842,-0.519193453084225,-0.519193453084225,0.000000000000000131672450720544,-0.207614451837829,-0.207614451837829,0.000000000000000199007477164059,500,0.388706029901946,0.0695125768177205,0.000729224255646033,-0.00688522758218291,-0.00203635503428301,-0.519193453084226,-0.207614451837829,-0.00276557928992904
log2,2,0.3,1.55215000738153,0.00272306792537363,1.23289184077127,0.0015248496934238,1.19985743159406,0.00176748175823621,1.20379305688606,0.00172708329996129,0.995129961522329,0.0009359096651508,1.19993260390629,0.00171139184981214,0.997345677227298,0.000940815345622218,-0.319258166610268,-0.319258166610268,0.000000000000000131117339208231,-0.208663095363732,-0.208663095363732,0.000000000000000181216153194441,500,0.352150007381534,0.232891840771266,0.00379305688606113,-0.00487003847767087,-0.0000673960937100926,-0.319258166610268,-0.208663095363732,-0.00386045297977122
log2,2,0.7,1.58689850482388,0.0032888290228022,1.09469569503984,0.00216367801966777,1.16046150594351,0.00188105664410584,1.20480174888976,0.00169045927348417,0.994319692629386,0.000869031275761013,1.1975084996898,0.00167815844218657,0.999478124460768,0.00088085366833837,-0.492202809784038,-0.492202809784038,0.000000000000000127065025168349,-0.210482056260373,-0.210482056260373,0.000000000000000205974126643582,500,0.386898504823882,0.0946956950398437,0.00480174888975959,-0.00568030737061376,-0.00249150031020329,-0.492202809784038,-0.210482056260373,-0.00729324919996288
softpoly2,0.5,0.3,1.5524404895555,0.0016537863406506,1.2390784430818,0.00153462558061833,1.21251926543344,0.00103093638908833,1.19965319764071,0.00110221021352267,0.997211013861991,0.000960506090631469,1.19791909885921,0.0010907375577557,0.998994268664029,0.000965632527934487,-0.313362046473699,-0.313362046473699,0.000000000000000124622534514174,-0.202442183778717,-0.202442183778717,0.000000000000000197786231836972,500,0.352440489555498,0.239078443081798,-0.00034680235929252,-0.00278898613800938,-0.0020809011407914,-0.313362046473699,-0.202442183778717,-0.00173409878149888
softpoly2,0.5,0.7,1.58417829259345,0.00207415631431163,1.05798957726413,0.00153607040418256,1.18672240142262,0.00106342275772324,1.19814598367754,0.0010825242917254,0.99222379731361,0.000895958434566748,1.19688778894478,0.0010281513934325,0.997834477001332,0.000915880526929992,-0.526188715329319,-0.526188715329319,0.000000000000000137556632751057,-0.205922186363934,-0.205922186363934,0.000000000000000199062988315291,500,0.384178292593445,0.0579895772641259,-0.00185401632245585,-0.00777620268639012,-0.00311221105521642,-0.52618871532932,-0.205922186363934,-0.00125819473276056
