sigma_beta,scenario,phi,beta2,twfe_s_bias,adl_full_bias,adl_all_bias,adl_full_rmse,adl_all_rmse
0,base,0,0,0.433909923724068,0.00970912324274709,-0.0020170076535222,0.020355487004421,0.0197565495219755
0,extended,0.05,0.2,0.753844141146914,0.0572680938811081,-0.00423766294747474,0.0599669059046379,0.0206347018502968
0.3,base,0,0,0.438409933727189,-0.00184250805298214,-0.000777050102560795,0.0380198729332837,0.038918899130096
0.3,extended,0.05,0.2,0.792811909129986,0.0434334491283235,-0.00444701356839161,0.055092774906966,0.036314822138942
0.5,base,0,0,0.438215960818054,-0.0243458554185129,-0.00549230226409891,0.0640998120191069,0.059083428107735
0.5,extended,0.05,0.2,1.17569486760696,0.0165626183460557,-0.000359006509261683,0.0549103721045031,0.0583414833468818
1,base,0,0,0.514959876078622,-0.0556492676943006,0.0121968534698909,0.114273237333833,0.102732765888753
1,extended,0.05,0.2,6.20097054132257,2.48988351083717,5.2563291085019,31.3544211419477,49.0917165174008
