phi,rho_Y,adl_fe_bias,adl_nofe_bias,r2_D_Ylag
0,0,0.00727618008439857,-0.267810696264906,0.16029333138623
0,0.5,0.0100028459694383,-0.340334703478595,0.147362035980004
0.05,0,0.00560392126535336,-0.278787457719693,0.222279508578495
0.05,0.5,0.00801620353686494,-0.356654611556487,0.247038027150143
0.1,0,0.00509401607504612,-0.284371144505339,0.294248840298604
0.1,0.5,0.00625887876824272,-0.368047243255953,0.37649719625731
0.15,0,0.00655355266228641,-0.296650793555989,0.37224752610639
0.15,0.5,-0.000365025444628464,-0.378491996659475,0.529644886614796
