TT,label,phi,beta2,twfe_l,adl_full,adl_all,adl_nofe,adl_all_rmse
10,Base,0,0,0.108290580974061,0.0115382614492956,-0.0203082490330092,-0.0873845105736498,0.0402023507563705
30,Base,0,0,0.253656129938062,0.00981778163376679,-0.00189356651662842,-0.0867876798693404,0.0208912711389131
10,Feedback,0.1,0,0.210854776630694,-0.00357286136014723,-0.0312571820915636,-0.109439909567464,0.0464501950491294
30,Feedback,0.1,0,0.457089705253104,0.00609358233010648,-0.00482131203564085,-0.106838770217994,0.0189415224433198
10,Carryover,0,0.2,0.15792848335141,0.0582534427540855,-0.0184185318436588,-0.102909762061968,0.040456731234794
30,Carryover,0,0.2,0.342410804053935,0.059562260155102,-0.00474074463387364,-0.107040861608126,0.020418330307363
10,Both,0.05,0.2,0.22631237057391,0.0440691312343653,-0.025597898088546,-0.115027262341193,0.0448692213184767
30,Both,0.05,0.2,0.483052918965069,0.0574262469757481,-0.00389912844410645,-0.11708220792893,0.0176101310749459
10,Strong_carry,0,0.5,0.220651959197168,0.138409926962619,-0.0173390547579636,-0.117102523691991,0.0457740334761244
30,Strong_carry,0,0.5,0.481324159043936,0.149545620859587,-0.00260243720491549,-0.117272205125346,0.0187504206893196
