gamma_D,delta_Y,twfe_s,twfe_l,adl_s,adl_l,IVB_TWFE,IVB_ADL,net_TWFE,net_ADL
0,0.05,0.28331486535493,0.247081939852052,0.00821898205094995,0.0100668111113986,-0.0362329255028779,0.00184782906044867,0.0362329255028779,-0.00184782906044867
0,0.1,0.285420808996288,0.229963052523446,0.00573808159133016,0.00976446972135792,-0.0554577564728422,0.00402638813002776,0.0554577564728422,-0.00402638813002776
0,0.2,0.295383897194863,0.197143275706002,0.00102316074228637,0.0104936161612421,-0.0982406214888618,0.00947045541895575,0.0982406214888618,-0.00947045541895575
0,0.3,0.295317696905417,0.166043182622193,-0.00715119543757237,0.00848730051089408,-0.129274514283224,0.0156384959484664,0.129274514283224,-0.00133610507332171
0.05,0.05,0.317286666193189,0.252939661219277,0.0208850247337355,0.0104521730733498,-0.0643470049739117,-0.0104328516603858,0.0643470049739117,0.0104328516603858
0.05,0.1,0.330005050988567,0.231211805633648,0.0178298500128662,0.00863916294419731,-0.0987932453549192,-0.00919068706866888,0.0987932453549192,0.00919068706866888
0.05,0.2,0.363450164424509,0.196716234322569,0.0137813139321674,0.00989679536531929,-0.166733930101939,-0.00388451856684813,0.166733930101939,0.00388451856684813
0.05,0.3,0.395157289242101,0.163073912705728,0.00632065395178549,0.00789224531906796,-0.232083376536373,0.00157159136728247,0.232083376536373,-0.00157159136728247
0.15,0.05,0.4002766010681,0.273925424338834,0.0467569847571558,0.0105523039517177,-0.126351176729267,-0.0362046808054382,0.126351176729267,0.0362046808054382
0.15,0.1,0.434411678460131,0.250706437810744,0.0437419936111685,0.00968299380705573,-0.183705240649387,-0.0340589998041128,0.183705240649387,0.0340589998041128
0.15,0.2,0.519425863748235,0.208122598043322,0.0394279312339796,0.0104053092523668,-0.311303265704912,-0.0290226219816128,0.311303265704912,0.0290226219816128
0.15,0.3,0.633895669810419,0.161105620544119,0.0314773072586985,0.00584041254265011,-0.4727900492663,-0.0256368947160484,0.4727900492663,0.0256368947160484
0.3,0.05,0.519465852677844,0.325179604399579,0.0738464407615389,0.0087583238004727,-0.194286248278265,-0.0650881169610662,0.194286248278265,0.0650881169610662
0.3,0.1,0.59476844334772,0.304727498859625,0.0720580288998836,0.00889908511218995,-0.290040944488095,-0.0631589437876936,0.290040944488095,0.0631589437876936
0.3,0.2,0.769536269820641,0.238039160521888,0.0642441170426582,0.00586307388487661,-0.531497109298754,-0.0583810431577816,0.531497109298754,0.0583810431577816
0.3,0.3,1.62479998730805,0.230014797223724,0.0790685552135673,0.00872002134236416,-1.39478519008433,-0.0703485338712031,1.39478519008433,0.0703485338712031
