variant,rho_Z,nl_type,nl_strength,gamma_D,gamma_Y,twfe_s,twfe_Z,twfe_Zlag,adl_Ylag,adl_Ylag_Z,adl_Ylag_Zlag,adl_DYlag,adl_DYlag_Z,adl_all,adl_all_nofe,n_valid,n_discarded,twfe_s_bias_direct,twfe_Z_bias_direct,twfe_Zlag_bias_direct,adl_Ylag_bias_direct,adl_Ylag_Z_bias_direct,adl_Ylag_Zlag_bias_direct,adl_DYlag_bias_direct,adl_DYlag_Z_bias_direct,adl_all_bias_direct,adl_all_nofe_bias_direct,twfe_s_bias_total_linear,twfe_Z_bias_total_linear,twfe_Zlag_bias_total_linear,adl_Ylag_bias_total_linear,adl_Ylag_Z_bias_total_linear,adl_Ylag_Zlag_bias_total_linear,adl_DYlag_bias_total_linear,adl_DYlag_Z_bias_total_linear,adl_all_bias_total_linear,adl_all_nofe_bias_total_linear,empirical_total,twfe_s_bias_empirical,twfe_Z_bias_empirical,twfe_Zlag_bias_empirical,adl_Ylag_bias_empirical,adl_Ylag_Z_bias_empirical,adl_Ylag_Zlag_bias_empirical,adl_DYlag_bias_empirical,adl_DYlag_Z_bias_empirical,adl_all_bias_empirical,adl_all_nofe_bias_empirical,ivb_twfe,ivb_adl_Ylag,ivb_adl_DYlag,expected_ivb_linear
mediator_confounder,0.5,Dlog,1,0.15,0.2,1.68462259550226,1.35858951375884,1.34611535113678,1.15863055033148,1.00888284046056,1.1035152008697,1.14983267944452,1.00152553748832,1.0911264625412,1.00722194687151,500,0,0.684622595502264,0.358589513758837,0.346115351136777,0.158630550331483,0.00888284046056231,0.103515200869696,0.149832679444519,0.00152553748832229,0.091126462541204,0.00722194687151467,0.654622595502264,0.328589513758837,0.316115351136777,0.128630550331483,-0.0211171595394377,0.0735152008696955,0.119832679444519,-0.0284744625116777,0.061126462541204,-0.0227780531284854,1.48722243602236,0.197400159479902,-0.128632922263525,-0.141107084885586,-0.32859188569088,-0.4783395955618,-0.383707235152667,-0.337389756577844,-0.48569689853404,-0.396095973481158,-0.480000489150848,-0.326033081743427,-0.14974770987092,-0.148307141956197,-0.03
mediator_confounder,0.7,Dlog,1,0.15,0.2,1.88415977483319,1.26048197545329,1.3223479569806,1.1690793895141,0.990532365101867,1.10777844875814,1.17497291952417,0.989218134694229,1.09680841123857,1.014014956178,500,0,0.884159774833189,0.260481975453286,0.322347956980602,0.169079389514098,-0.00946763489813296,0.107778448758139,0.174972919524173,-0.0107818653057712,0.0968084112385688,0.0140149561780012,0.854159774833189,0.230481975453286,0.292347956980602,0.139079389514098,-0.039467634898133,0.0777784487581392,0.144972919524173,-0.0407818653057712,0.0668084112385687,-0.0159850438219988,1.60485529284883,0.279304481984359,-0.344373317395544,-0.282507335868228,-0.435775903334732,-0.614322927746963,-0.497076844090691,-0.429882373324657,-0.615637158154601,-0.508046881610261,-0.590840336670829,-0.623677799379903,-0.178547024412231,-0.185754784829944,-0.03
mediator_confounder,0.5,baseline,0,0.15,0.2,1.48722243602236,1.38206737420471,1.32855610517429,1.08252242760349,1.02241236654475,1.04312510165368,1.09076950641818,1.02279289983417,1.03077243587525,0.956864346362219,500,0,0.487222436022362,0.382067374204706,0.328556105174292,0.0825224276034893,0.0224123665447515,0.0431251016536751,0.0907695064181844,0.022792899834168,0.0307724358752532,-0.0431356536377811,0.457222436022363,0.352067374204706,0.298556105174292,0.0525224276034892,-0.00758763345524849,0.0131251016536751,0.0607695064181844,-0.00720710016583204,0.000772435875253219,-0.0731356536377811,1.48722243602236,0,-0.105155061817657,-0.15866633084807,-0.404700008418873,-0.464810069477611,-0.444097334368687,-0.396452929604178,-0.464429536188194,-0.456450000147109,-0.530358089660144,-0.105155061817657,-0.0601100610587377,-0.0679766065840164,-0.03
mediator_confounder,0.7,baseline,0,0.15,0.2,1.60485529284883,1.39163172181829,1.32765280023349,1.0887512175268,1.01330860178453,1.04059553349028,1.11096375410185,1.01623698228499,1.02830136531086,0.957583507296455,500,0,0.60485529284883,0.391631721818286,0.327652800233486,0.0887512175268008,0.0133086017845274,0.0405955334902761,0.110963754101848,0.0162369822849864,0.0283013653108561,-0.0424164927035446,0.57485529284883,0.361631721818286,0.297652800233486,0.0587512175268008,-0.0166913982154726,0.0105955334902761,0.0809637541018475,-0.0137630177150136,-0.00169863468914389,-0.0724164927035447,1.60485529284883,0,-0.213223571030544,-0.277202492615344,-0.516104075322029,-0.591546691064303,-0.564259759358554,-0.493891538746983,-0.588618310563844,-0.576553927537974,-0.647271785552375,-0.213223571030544,-0.0754426157422734,-0.0947267718168612,-0.03
mediator_confounder,0.5,invlogit,1,0.15,0.2,1.53304572183828,1.37937738895475,1.33469087798246,1.10111425211999,1.01726933850817,1.057952686224,1.10523894048277,1.01574512492332,1.04584049446272,0.969059227833497,500,0,0.533045721838278,0.379377388954754,0.334690877982462,0.101114252119991,0.0172693385081697,0.0579526862240003,0.105238940482767,0.01574512492332,0.0458404944627191,-0.030940772166503,0.503045721838278,0.349377388954754,0.304690877982462,0.0711142521199915,-0.0127306614918303,0.0279526862240003,0.0752389404827669,-0.01425487507668,0.0158404944627191,-0.0609407721665031,1.48722243602236,0.0458232858159158,-0.107845047067608,-0.1525315580399,-0.386108183902371,-0.469953097514193,-0.429269749798362,-0.381983495539596,-0.471477311099043,-0.441381941559643,-0.518163208188866,-0.153668332883524,-0.0838449136118218,-0.0894938155594469,-0.03
mediator_confounder,0.7,invlogit,1,0.15,0.2,1.65554563161876,1.37032009814252,1.32724294626929,1.10555879530928,1.00719945830284,1.05531536717657,1.12365776021922,1.0086825047338,1.04280237452108,0.968920275622162,500,0,0.655545631618756,0.370320098142516,0.327242946269287,0.105558795309285,0.00719945830284408,0.0553153671765678,0.123657760219217,0.00868250473380416,0.0428023745210782,-0.0310797243778377,0.625545631618756,0.340320098142516,0.297242946269287,0.0755587953092849,-0.022800541697156,0.0253153671765678,0.0936577602192172,-0.0213174952661959,0.0128023745210781,-0.0610797243778377,1.60485529284883,0.0506903387699256,-0.234535194706314,-0.277612346579543,-0.499296497539545,-0.597655834545986,-0.549539925672262,-0.481197532629613,-0.596172788115026,-0.562052918327752,-0.635935017226668,-0.28522553347624,-0.0983593370064408,-0.114975255485413,-0.03
mediator_confounder,0.5,log2,1,0.15,0.2,1.48747061279124,1.37957406976701,1.32545089255422,1.08060353177479,1.02013546004898,1.04067397693107,1.08928582926245,1.0206314993486,1.02817914202392,0.954506876544104,500,0,0.487470612791236,0.379574069767008,0.325450892554224,0.080603531774792,0.0201354600489785,0.0406739769310731,0.0892858292624474,0.0206314993485954,0.0281791420239204,-0.045493123455896,0.457470612791236,0.349574069767008,0.295450892554224,0.0506035317747919,-0.00986453995102154,0.0106739769310731,0.0592858292624474,-0.0093685006514046,-0.00182085797607967,-0.075493123455896,1.48722243602236,0.000248176768873787,-0.107648366255354,-0.161771543468139,-0.406618904247571,-0.467086975973384,-0.446548459091289,-0.397936606759915,-0.466590936673767,-0.459043293998442,-0.532715559478258,-0.107896543024228,-0.0604680717258135,-0.068654329913852,-0.03
mediator_confounder,0.7,log2,1,0.15,0.2,1.6120611567969,1.3939860081346,1.32894371851179,1.08964350383237,1.01388739963169,1.0412975788515,1.11285533242741,1.01725760475869,1.02908357766384,0.959071287479601,500,0,0.612061156796903,0.393986008134603,0.328943718511788,0.0896435038323695,0.0138873996316895,0.0412975788514958,0.11285533242741,0.0172576047586894,0.029083577663835,-0.0409287125203992,0.582061156796903,0.363986008134603,0.298943718511788,0.0596435038323695,-0.0161126003683105,0.0112975788514957,0.0828553324274097,-0.0127423952413106,-0.000916422336165068,-0.0709287125203992,1.60485529284883,0.00720586394807321,-0.210869284714227,-0.275911574337042,-0.515211789016461,-0.59096789321714,-0.563557713997334,-0.49199996042142,-0.587597688090141,-0.575771715184995,-0.645784005369229,-0.2180751486623,-0.07575610420068,-0.0955977276687203,-0.03
mediator_confounder,0.5,log4,1,0.15,0.2,1.49328927958973,1.38061853156314,1.32610688961053,1.0813586215441,1.02044664900006,1.04134383721502,1.09123846489881,1.02165073497285,1.02906106595457,0.956315644936307,500,0,0.493289279589734,0.380618531563143,0.32610688961053,0.0813586215440996,0.0204466490000592,0.0413438372150161,0.0912384648988085,0.0216507349728521,0.029061065954572,-0.0436843550636928,0.463289279589734,0.350618531563143,0.29610688961053,0.0513586215440995,-0.00955335099994081,0.0113438372150161,0.0612384648988085,-0.00834926502714795,-0.000938934045427997,-0.0736843550636929,1.48722243602236,0.00606684356737142,-0.10660390445922,-0.161115546411832,-0.405863814478263,-0.466775787022303,-0.445878598807346,-0.395983971123554,-0.46557170104951,-0.45816137006779,-0.530906791086055,-0.112670748026591,-0.0609119725440404,-0.0695877299259564,-0.03
mediator_confounder,0.7,log4,1,0.15,0.2,1.62558759318183,1.39340647745625,1.32813015590057,1.09210828189935,1.01470894034829,1.04288385839248,1.11699693937244,1.01833615310543,1.0306069224879,0.962131388256813,500,0,0.625587593181828,0.393406477456248,0.328130155900572,0.0921082818993524,0.0147089403482918,0.0428838583924813,0.116996939372439,0.01833615310543,0.0306069224879006,-0.0378686117431873,0.595587593181828,0.363406477456248,0.298130155900572,0.0621082818993524,-0.0152910596517082,0.0128838583924813,0.086996939372439,-0.01166384689457,0.000606922487900619,-0.0678686117431874,1.60485529284883,0.0207323003329982,-0.211448815392582,-0.276725136948258,-0.512747010949478,-0.590146352500538,-0.561971434456349,-0.487858353476391,-0.5865191397434,-0.574248370360929,-0.642723904592017,-0.23218111572558,-0.0773993415510605,-0.098660786267009,-0.03
mediator_confounder,0.5,power1.5,1,0.15,0.2,1.65779723025676,1.36231486410796,1.343998180855,1.14813646341919,1.00826437556879,1.0951182115964,1.1421236757473,1.00246888717907,1.0835737114218,1.0011167710433,500,0,0.657797230256763,0.362314864107955,0.343998180854998,0.14813646341919,0.00826437556879034,0.0951182115964027,0.142123675747302,0.0024688871790739,0.0835737114217996,0.0011167710432971,0.627797230256763,0.332314864107955,0.313998180854998,0.11813646341919,-0.0217356244312097,0.0651182115964026,0.112123675747302,-0.0275311128209261,0.0535737114217996,-0.0288832289567029,1.48722243602236,0.1705747942344,-0.124907571914407,-0.143224255167364,-0.339085972603173,-0.478958060453572,-0.39210422442596,-0.34509876027506,-0.484753548843289,-0.403648724600563,-0.486105664979065,-0.295482366148807,-0.139872087850399,-0.139654788568228,-0.03
