TT,rho_Z,pooled_s_bias,pooled_s_mcse,pooled_l_bias,pooled_l_mcse,twfe_s_bias,twfe_s_mcse,twfe_l_bias,twfe_l_mcse,adl_s_nofe_bias,adl_s_nofe_mcse,adl_l_nofe_bias,adl_l_nofe_mcse,adl_s_fe_bias,adl_s_fe_mcse,adl_l_fe_bias,adl_l_fe_mcse,n_sims
10,0.5,1.18795962094257,0.00367538721870257,0.62095134512526,0.00359812628464372,0.200974477380512,0.0023515321353683,0.112759338842362,0.00219090738779007,-0.325079916105209,0.00205528192088235,-0.341089199914786,0.00204079364059398,0.0424564428760224,0.00149255456780167,0.0139998432422139,0.00150737729506412,500
10,0.85,2.16315731911348,0.00113733806528518,0.470451519485068,0.00428704360350762,0.220483754585316,0.00264424208569829,0.107064284285316,0.00215925801653895,-0.340219885557791,0.00211261959392953,-0.345067592255384,0.00198101932269239,0.0371857377490545,0.00161878949656027,0.0107567299571929,0.00154606081169303,500
20,0.5,1.18608751451382,0.00362752871468953,0.613301000121006,0.00367995400921946,0.36559453847429,0.001885204281148,0.214764677404564,0.00159141996895832,-0.326792517798442,0.00188253276363746,-0.343556975962414,0.00186384355487333,0.0444791883887048,0.00100901991401147,0.0121595182358976,0.000995673042975417,500
20,0.85,2.16376549725237,0.00114976002988992,0.472105213086303,0.0038522726627116,0.509124440463638,0.00240252526891017,0.202225266412022,0.00153270234022143,-0.342322714440252,0.00182642230704647,-0.346411447142429,0.00180372027844441,0.0480584912368582,0.00105806140543481,0.0101416775669863,0.00103556534714799,500
30,0.5,1.18561215569203,0.00342780571829346,0.614567644518532,0.00350783309821548,0.4293289769261,0.00151711057109634,0.250513106600834,0.00126302531230349,-0.323834589566181,0.00184166613114215,-0.340594428182409,0.00182832706538671,0.0425144601462568,0.000774361916332855,0.00950261682839071,0.000764267340936636,500
30,0.85,2.16607210710509,0.00107793226028766,0.478246585888235,0.00378660376533201,0.713672411487367,0.00247012268179368,0.236273685544605,0.00118533488762914,-0.34289195623839,0.00178023263330549,-0.347441040014074,0.00174898010297824,0.0534553537616069,0.000824586994765562,0.00820488351800686,0.000773453629615515,500
50,0.5,1.18900409731027,0.00330939432479441,0.617168690732768,0.00339026257907618,0.486684032775218,0.00116639716180963,0.281064107907079,0.000964803628351902,-0.328006688899356,0.00173524204831305,-0.345205416660596,0.00172248719457411,0.0398442978594242,0.0006191098899234,0.00574726444642137,0.000624286285198628,500
50,0.85,2.1698679171113,0.0010816054523512,0.471032082858053,0.00378034865073293,0.976819164857588,0.00261679724035093,0.259841452013195,0.000963031341406602,-0.344476324791742,0.00168021128271238,-0.347843472930076,0.0016458486927363,0.0572569672276013,0.000620959644026721,0.00455411597492716,0.00060267091613659,500
100,0.5,1.19007998019504,0.00313512153565691,0.618815196518824,0.00323233763676479,0.523398501254596,0.000870080398091313,0.301966173504224,0.000686114026364488,-0.326427915975458,0.0015909285533227,-0.343801163875565,0.00158945640158052,0.0372319875556997,0.000431832814299254,0.00320462312634962,0.000429218084694944,500
100,0.85,2.17912318654649,0.00101578991615929,0.471318045445193,0.0035303790612965,1.29646192891883,0.0022477606701407,0.279785587721549,0.000650168295355927,-0.342015083892562,0.00158898905106352,-0.34591513849917,0.00157229229459626,0.0620165697018358,0.000456274190872408,0.00323611919620537,0.000428288071433827,500
