twfe_s.D,twfe_l.D,adl_s.D,adl_l.D,sim,rho_Z,ar_order,sigma_aZ
1.36238876978749,1.2702726732582,1.04114378182218,1.01102286702125,1,0.1,1,0.5
1.40556487754408,1.31618878462989,1.05176343171464,1.02687177156309,2,0.1,1,0.5
1.34301795676908,1.24090085079246,1.0120513339471,0.983492058596864,3,0.1,1,0.5
1.37546661292244,1.282939060943,1.04184877775876,1.01541346845017,4,0.1,1,0.5
1.37654835670507,1.27555910085778,1.03390118339738,1.00596852154917,5,0.1,1,0.5
1.36562690655349,1.25918423192639,1.05264743221288,1.01283782180417,6,0.1,1,0.5
1.38191621893285,1.29004196106879,1.0316227696381,1.00442178879672,7,0.1,1,0.5
1.34840694474348,1.25730688543628,1.02631481311486,1.0000610318703,8,0.1,1,0.5
1.3695649170739,1.27564168200188,1.03017290788936,0.995789348163453,9,0.1,1,0.5
1.35997107159228,1.2619671958407,1.06245320153196,1.030063999946,10,0.1,1,0.5
1.34098913529742,1.24930215925141,1.0327511731192,0.998340644768163,11,0.1,1,0.5
1.42360343147204,1.3125829168386,1.05492324470094,1.02312527756175,12,0.1,1,0.5
1.43502952730174,1.35205782767848,1.07612764781262,1.04655283817035,13,0.1,1,0.5
1.30829905850221,1.2041735315282,1.01527605264653,0.984526599969511,14,0.1,1,0.5
1.36776542079052,1.27021316198009,1.04729823275549,1.01447523439378,15,0.1,1,0.5
1.4014263587068,1.31034623155209,1.06500931757048,1.03869809337897,16,0.1,1,0.5
1.45396644911629,1.34571254293691,1.07095941941293,1.03730367458859,17,0.1,1,0.5
1.34698919523736,1.24007547799177,1.03703389359135,1.00204610591894,18,0.1,1,0.5
1.3795981516489,1.27855590150893,1.03706166420657,1.00889082163543,19,0.1,1,0.5
1.34558731841057,1.24718269769732,1.02477135126467,0.988567402871511,20,0.1,1,0.5
1.41687971622439,1.30045377445648,1.04016750734613,1.01153490787131,21,0.1,1,0.5
1.35435218716308,1.24332509839183,1.03907257611056,1.00361535697937,22,0.1,1,0.5
1.39390734963831,1.30226636438158,1.05114959767347,1.02846389679366,23,0.1,1,0.5
