scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N250_T08_RY50","principal",38,1,16872027,250,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03674037418599,0.0255613786097966,TRUE,1.01272081867971,0.0252109329075837,TRUE,0.0127208186797096,-0.0240195555062828,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,1,16872027,250,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.0827972387519,0.0298499205106168,FALSE,1.05076607878512,0.0292520058282189,TRUE,0.0507660787851181,-0.0320311599667789,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,1,16872027,250,8,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.13847417247358,0.138199626400929,TRUE,1.06722895591522,0.131296645350981,TRUE,0.0672289559152157,-0.0712452165583681,1500,1500,4,6,0.181897799921907,0.175218248880283,0.25960685372946,0.328438181080692,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,2,16872028,250,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.04564110793227,0.0242140320420722,TRUE,1.0264188439254,0.0236304255172182,TRUE,0.0264188439254032,-0.0192222640068667,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,2,16872028,250,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.06467281004401,0.0280459528815074,FALSE,1.04166955832482,0.027197420072046,TRUE,0.0416695583248243,-0.0230032517191852,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,2,16872028,250,8,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.08261798746219,0.168291336582322,TRUE,1.12831538020123,0.181637044801427,TRUE,0.128315380201227,0.0456973927390403,1500,1500,4,6,0.616203776634787,0.789117196092392,0.806579295733618,0.973606235000755,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,3,16872029,250,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.02499651611561,0.0225330811288189,TRUE,1.00410010944856,0.0227505301730936,TRUE,0.00410010944856221,-0.0208964066670456,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,3,16872029,250,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.03071899253142,0.0274305754987474,TRUE,1.01143789301314,0.0273182726197414,TRUE,0.0114378930131449,-0.0192810995182739,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,3,16872029,250,8,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.917230691834468,0.118904603455404,TRUE,0.908483598683767,0.118499908226136,TRUE,-0.0915164013162326,-0.00874709315070088,1500,1500,4,6,0.61886728068098,0.765076307046616,0.442187142399543,0.466022576967082,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,4,16872030,250,8,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03137605468553,0.0250707089081162,TRUE,0.988128543326073,0.0244005207070443,TRUE,-0.0118714566739268,-0.043247511359458,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T08_RY50","principal",38,4,16872030,250,8,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.04729063190049,0.0297580536408512,TRUE,0.998409054551734,0.0296993820276404,TRUE,-0.0015909454482661,-0.0488815773487512,2000,2000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
