scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N100_T08_RY20","principal",19,1,14972027,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05949739012488,0.036876320959828,TRUE,1.03310142064948,0.0338235680947734,TRUE,0.0331014206494764,-0.0263959694753992,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,1,14972027,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.08071200842146,0.0492703203535126,TRUE,1.04671665508643,0.044893484874313,TRUE,0.0467166550864278,-0.0339953533350323,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,1,14972027,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.918448359688272,0.233306516235954,TRUE,0.949035333316635,0.222130043222254,TRUE,-0.050964666683365,0.0305869736283633,600,600,4,6,0.151216865875065,0.0945879482722512,0.410895195658796,0.457459490980522,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,2,14972028,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05753384943846,0.0338609517904571,TRUE,1.02141030565358,0.0345310998658609,TRUE,0.0214103056535766,-0.0361235437848848,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,2,14972028,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05020557836127,0.0449927865453415,TRUE,1.01249449596634,0.04552427427913,TRUE,0.0124944959663353,-0.037711082394938,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,2,14972028,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.10385531393069,0.191715526491491,TRUE,1.08054707608151,0.170609756301444,TRUE,0.0805470760815055,-0.0233082378491849,600,600,4,6,0.0840107870317959,0.0897145651808906,0.0534449390857249,0.122178283765686,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,3,14972029,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.07735009816418,0.0397554371915357,TRUE,1.05960631896727,0.0406792971007927,TRUE,0.0596063189672669,-0.0177437791969175,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,3,14972029,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.09313236916129,0.0463731788581119,FALSE,1.07093499878418,0.048105996025424,TRUE,0.0709349987841774,-0.0221973703771086,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,3,14972029,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.956086815215003,0.206416244918261,TRUE,0.980415823094041,0.21429166417072,TRUE,-0.0195841769059594,0.024329007879038,600,600,4,6,0.887764022400826,0.936761785144833,0.433532000454399,0.51256098895993,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,4,14972030,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,0.952263148372005,0.0359174931444785,TRUE,0.926979750374617,0.0350670845992957,FALSE,-0.0730202496253828,-0.0252833979973877,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,4,14972030,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,0.9777626794406,0.0436017166215401,TRUE,0.939758093112193,0.0400534578532976,TRUE,-0.0602419068878068,-0.0380045863284072,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,4,14972030,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.823728066195836,0.221105634597896,TRUE,0.738075135034221,0.23187627550351,TRUE,-0.261924864965779,-0.0856529311616148,600,600,4,6,0.648042687247377,0.933972577785618,0.0961615594000808,0.302436821158436,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,5,14972031,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05404844718086,0.0385939874789291,TRUE,1.02400690903496,0.03658669375984,TRUE,0.0240069090349584,-0.0300415381458987,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,5,14972031,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.12097386949032,0.0439239494881711,FALSE,1.07952967219194,0.0420019794742134,TRUE,0.079529672191937,-0.0414441972983852,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,5,14972031,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.38177451369216,0.304666712215905,TRUE,1.34590794232488,0.294724770402154,TRUE,0.345907942324884,-0.0358665713672723,600,600,4,6,0.958264929798688,0.776643141201103,0.0948304228211896,0.0953150009787591,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,6,14972032,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.00212372089264,0.0390780119371257,TRUE,0.982897970305439,0.0374716346329666,TRUE,-0.017102029694561,-0.0192257505871962,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,6,14972032,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.02243902088826,0.0536829116738649,TRUE,0.999658702192802,0.0529636031092772,TRUE,-0.000341297807197938,-0.0227803186954598,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,6,14972032,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.05630117158695,0.250535081746845,TRUE,1.02321693362173,0.230980663997248,TRUE,0.0232169336217285,-0.0330842379652201,600,600,4,6,0.237901716467658,0.357718135496291,0.548640369691842,0.808203688504448,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,7,14972033,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.01536810014603,0.033237677401008,TRUE,0.981452761879287,0.0321492322802118,TRUE,-0.0185472381207129,-0.0339153382667453,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,7,14972033,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05736830367227,0.0400304693961048,TRUE,1.01195319199279,0.0390210015253376,TRUE,0.0119531919927862,-0.0454151116794839,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,7,14972033,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.24805962727299,0.212256379309054,TRUE,1.25869131020102,0.210128407598829,TRUE,0.258691310201016,0.0106316829280266,600,600,4,6,0.70256167209546,0.654050792438967,0.897739476065128,0.907964996718754,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,8,14972034,100,8,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.02789546840255,0.0393596284814159,TRUE,0.996997234331055,0.0379360085062893,TRUE,-0.0030027656689452,-0.0308982340714928,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,8,14972034,100,8,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.04837009623102,0.0444838311898211,TRUE,1.01169620638701,0.0431034133732441,TRUE,0.011696206387005,-0.0366738898440182,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY20","principal",19,8,14972034,100,8,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.10380166745989,0.211163466283851,TRUE,1.04054217276549,0.200007950768438,TRUE,0.0405421727654856,-0.0632594946943994,600,600,4,6,0.851559317803452,0.541027402702023,0.421782601852614,0.929010537752167,"","ok",NA,NA
