scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N250_T20_RY20","principal",46,1,17672027,250,20,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05323495821937,0.0128136072683787,FALSE,1.02135515601685,0.0131322753126991,TRUE,0.0213551560168515,-0.0318798022025135,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,1,17672027,250,20,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05712519810638,0.0135871426181519,FALSE,1.02013495473709,0.0138991673928279,TRUE,0.0201349547370866,-0.0369902433692888,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,1,17672027,250,20,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.08161280059234,0.0679210364491233,TRUE,1.07723401362778,0.0658107631423958,TRUE,0.0772340136277812,-0.00437878696456262,4500,4500,4,6,0.0938064638722139,0.164018407376567,0.157762589380544,0.514574003139298,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,2,17672028,250,20,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05393913872038,0.0146732382196622,FALSE,1.02581704465387,0.0146468648247746,TRUE,0.0258170446538728,-0.0281220940665097,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,2,17672028,250,20,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05224329482712,0.0159801621428532,FALSE,1.01869797010423,0.0157597962688102,TRUE,0.0186979701042334,-0.0335453247228872,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,2,17672028,250,20,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.08413121630503,0.0642204682671552,TRUE,1.08478809943017,0.0632500628313773,TRUE,0.0847880994301671,0.000656883125133012,4500,4500,4,6,0.318503581098311,0.615322017143094,0.999734872584419,0.613198490204123,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,3,17672029,250,20,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05335466141662,0.0138511996632645,FALSE,1.02339131861285,0.0138267461906345,TRUE,0.023391318612852,-0.0299633428037642,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,3,17672029,250,20,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.04929653731742,0.0148720670129519,FALSE,1.01564825892472,0.0148353587551792,TRUE,0.0156482589247191,-0.0336482783926968,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,3,17672029,250,20,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.06877096265989,0.064737058731513,TRUE,1.05930290852756,0.0643304577047263,TRUE,0.0593029085275647,-0.00946805413232399,4500,4500,4,6,0.831962383754848,0.638586692983993,0.77891228314721,0.766655528791954,"","ok",NA,NA
"P_N250_T20_RY20","principal",46,4,17672030,250,20,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.0395178617552,0.0146430191865599,FALSE,1.00278644392017,0.014589421399763,TRUE,0.00278644392017435,-0.03673141783503,5000,5000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
