scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N050_T20_RY50","principal",11,1,14172027,50,20,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.04040894957417,0.0267779098806517,TRUE,0.993946756352852,0.0296739458291387,TRUE,-0.00605324364714821,-0.0464621932213215,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,1,14172027,50,20,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.02830440451682,0.0300378409332338,TRUE,0.982809106080364,0.0320979789468327,TRUE,-0.0171908939196359,-0.0454952984364556,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,1,14172027,50,20,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.08939527964846,0.12807483112994,TRUE,1.08487350065252,0.129062413698291,TRUE,0.0848735006525212,-0.00452177899593709,900,900,4,6,0.307620298938854,0.361891843090049,0.822434295195622,0.945839476333,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,2,14172028,50,20,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.01974356350457,0.0265448127076035,TRUE,0.991616693387827,0.0268337491636443,TRUE,-0.00838330661217257,-0.0281268701167465,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,2,14172028,50,20,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.01564918566315,0.0301199619673011,TRUE,0.987178053500489,0.0316028101306193,TRUE,-0.0128219464995113,-0.028471132162662,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,2,14172028,50,20,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.01444802408912,0.108784524925153,TRUE,0.983723389111119,0.100283301175145,TRUE,-0.016276610888881,-0.0307246349780019,900,900,4,6,0.689726062702631,0.706468046696664,0.794326125955689,0.883775565739353,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,3,14172029,50,20,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,0.994134752567969,0.027530390156917,TRUE,0.963854399068513,0.0279402459049184,TRUE,-0.0361456009314868,-0.030280353499456,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,3,14172029,50,20,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,0.994671543481525,0.0290373656308964,TRUE,0.96120946410928,0.0288299213129635,TRUE,-0.03879053589072,-0.033462079372245,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,3,14172029,50,20,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.85638764069661,0.121056308638168,TRUE,0.864579211073835,0.116040471882639,TRUE,-0.135420788926166,0.00819157037722429,900,900,4,6,0.67408724051733,0.720739699024898,0.379537750515104,0.231339295581498,"","ok",NA,NA
"P_N050_T20_RY50","principal",11,4,14172030,50,20,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05450451608566,0.0307712065809967,TRUE,1.03326726148883,0.031292871288798,TRUE,0.033267261488831,-0.0212372545968307,1000,1000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
