scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N050_T10_RY20","principal",4,1,13472027,50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.06021135030674,0.041834290869874,TRUE,1.04085721524251,0.0458290951410757,TRUE,0.0408572152425135,-0.0193541350642237,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,1,13472027,50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05497559174061,0.0471053588100328,TRUE,1.03099011989339,0.0491583581377119,TRUE,0.0309901198933855,-0.0239854718472248,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,1,13472027,50,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.23525848138569,0.30610966000029,TRUE,1.27155640267665,0.245644998152021,TRUE,0.271556402676648,0.0362979212909527,400,400,4,6,0.28393418639919,0.250434758384072,0.50129377932274,0.632042325976471,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,2,13472028,50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.11816562145967,0.0434199443907538,FALSE,1.0590774807856,0.0433550950594169,TRUE,0.0590774807856009,-0.0590881406740662,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,2,13472028,50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.13915086129488,0.0527906269894978,FALSE,1.0713147519757,0.0511786761166282,TRUE,0.0713147519757018,-0.0678361093191799,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,2,13472028,50,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.810080764315973,0.225172304574953,TRUE,0.777208756430064,0.220426996362829,TRUE,-0.222791243569936,-0.0328720078859093,400,400,4,6,0.343792048334302,0.5610555631629,0.524733773287189,0.773686569040597,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,3,13472029,50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.02981209553069,0.0425986181878907,TRUE,1.00556062882809,0.041287639006892,TRUE,0.00556062882809161,-0.0242514667026004,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,3,13472029,50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.04514364389903,0.0516760245833313,TRUE,1.01208104629476,0.0487377816923629,TRUE,0.0120810462947618,-0.0330625976042707,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,3,13472029,50,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.37226443827918,0.235584703348705,TRUE,1.36691260884536,0.230657237820013,TRUE,0.366912608845355,-0.00535182943382551,400,400,4,6,0.928206290372924,0.91554048123181,0.399438756877878,0.584266479302807,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,4,13472030,50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.096110788283,0.0478364872771197,FALSE,1.06215268433048,0.044674993266557,TRUE,0.0621526843304796,-0.0339581039525225,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,4,13472030,50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.11925833291986,0.057941081669703,FALSE,1.07729816789575,0.0530455497530521,TRUE,0.0772981678957487,-0.0419601650241113,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,4,13472030,50,10,0.2,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.359835651008953,0.617545790713684,TRUE,0.457333572698175,0.410122569017362,TRUE,-0.542666427301825,0.0974979216892222,400,400,4,6,0.565767828600638,0.953382889327944,0.991454645466608,0.917651561538063,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,5,13472031,50,10,0.2,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,0.967761669834122,0.0468646661082805,TRUE,0.954611200109634,0.0456796107032393,TRUE,-0.0453887998903656,-0.0131504697244876,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T10_RY20","principal",4,5,13472031,50,10,0.2,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,0.954588686651531,0.0594705253558375,TRUE,0.942805991655044,0.0568288941086272,TRUE,-0.0571940083449561,-0.0117826949964867,500,500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
