scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N100_T08_RY80","principal",21,1,15172027,100,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03081459396013,0.0322489000440573,TRUE,1.00497223921972,0.0344468737038994,TRUE,0.00497223921971823,-0.0258423547404112,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,1,15172027,100,8,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.05372686202829,0.047044386105469,TRUE,1.02452629750529,0.0484793004620622,TRUE,0.0245262975052869,-0.0292005645230067,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,1,15172027,100,8,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.41781951009541,0.376415016933156,TRUE,1.41195640157834,0.373806015459788,TRUE,0.411956401578338,-0.00586310851707217,600,600,4,6,0.546500487029676,0.551189478710214,0.727927807451791,0.819881419583532,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,2,15172028,100,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.01963595705358,0.0357084260278055,TRUE,0.995625623474876,0.0347618346512441,TRUE,-0.00437437652512351,-0.0240103335786986,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,2,15172028,100,8,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.08503041699694,0.0492632954563517,TRUE,1.06307736112367,0.0481633334592749,TRUE,0.063077361123667,-0.0219530558732775,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,2,15172028,100,8,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.67082443437868,0.482035150025218,TRUE,1.37268929357626,0.29497596315938,TRUE,0.372689293576258,-0.298135140802422,600,600,4,6,0.32001923423186,0.132840585023275,0.225922454454666,0.237487732180827,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,3,15172029,100,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03224678014949,0.0422720774889632,TRUE,1.00297298432917,0.038913169790162,TRUE,0.00297298432917081,-0.0292737958203162,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,3,15172029,100,8,0.8,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.09828630964657,0.0568689963568318,TRUE,1.07708463791108,0.0555209048413502,TRUE,0.0770846379110797,-0.0212016717354953,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,3,15172029,100,8,0.8,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.434911189263052,0.623226192178991,TRUE,0.392868405913563,0.634167007624765,TRUE,-0.607131594086437,-0.0420427833494891,600,600,4,6,0.480669649488013,0.58490273796575,0.805965565022138,0.894309701432592,"","ok",NA,NA
"P_N100_T08_RY80","principal",21,4,15172030,100,8,0.8,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.04093959466282,0.0388482903624726,TRUE,0.996770642476699,0.0397876482494208,TRUE,-0.00322935752330122,-0.0441689521861236,800,800,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
