phi,rho_Z,elapsed_s,total_s
0,0.5,25.464,154.77
0,0.7,25.857,154.77
0.05,0.5,25.671,154.77
0.05,0.7,26.047,154.77
0.1,0.5,25.875,154.77
0.1,0.7,25.843,154.77
