sigma_alpha,lambda_post,v_intercept,v_x1,v_x2,d_intercept,d_x1,d_x2,d_v,y_v,y_x1,y_x2,sigma_y0,sigma_y1,sigma_zm0,sigma_zm1,sigma_zc0,sigma_zc1,zm0_x1,zm0_x2,zc0_x1,zc0_x2,zm_ar,zc_ar,zm_x1,zm_x2,zc_x1,zc_x2,zm_u,zc_u,y_zm,y_zc,y_u,tau_direct,zm_d,zc_d,target_base_minus_safe,target_full_minus_safe,target_tvc_minus_base,scenario,att_true
0.35,0.1,-0.1,0.35,-0.2,-0.25,0.4,-0.3,0.35,0.18,0.045,-0.035,0.35,0.35,0.4,0.35,0.4,0.35,0.45,-0.2,0.2,0.1,0.35,0.35,0.35,-0.2,0.25,0.15,0,0,0.09,0,0,0.104,0.08,0,0.026,-0.005,-0.007,jensen_full_like,0.1112
0.35,0.1,-0.1,0.35,-0.2,-0.55,0.35,-0.25,0.35,0.18,0.035,-0.025,0.35,0.35,0.4,0.35,0.4,0.35,0.45,-0.2,0.2,0.1,0.35,0.35,0.35,-0.2,0.25,0.15,0,0.8,0.09,0,-0.08,0.072,0.09,0.35,0.018,0.012,0.01,jensen_restricted_like,0.08009999999999999
0.35,0.1,-0.1,0.35,-0.2,-0.25,0.5,-0.35,0.35,0.18,0.04,-0.03,0.35,0.35,0.4,0.35,0.4,0.35,0.45,-0.2,0.2,0.1,0.35,0.35,0.35,-0.2,0.25,0.15,0,1.1,0.09,0,-0.16,0.08,0.1,0.75,0.015,0.025,0.02,ivb_post_dominant,0.089
