scenario,att_true,spec,mean_estimate,bias,rmse,coverage,mcse,n_sims
ivb_post_dominant,0.089,base,0.12004344680807462,0.03104344680807462,0.03448091831902479,0.474,6.718474788705636e-4,500
ivb_post_dominant,0.089,full,0.17367512114927738,0.08467512114927737,0.08606878881484212,0,6.905608455313271e-4,500
ivb_post_dominant,0.089,safe,0.08856307070877434,-4.369292912256613e-4,0.015498171371711651,0.954,6.935176643925316e-4,500
ivb_post_dominant,0.089,tvc,0.1986652603760297,0.10966526037602971,0.11068117854240217,0,6.697798971353523e-4,500
jensen_full_like,0.1112,base,0.14114887501401344,0.029948875014013433,0.03317868431066339,0.472,6.392160434969177e-4,500
jensen_full_like,0.1112,full,0.10408912578087973,-0.007110874219120268,0.016076315600611027,0.918,6.454455687546788e-4,500
jensen_full_like,0.1112,safe,0.11147628961611501,2.762896161150207e-4,0.014493498551590484,0.956,6.487002023516156e-4,500
jensen_full_like,0.1112,tvc,0.1270960548264472,0.01589605482644722,0.021322167845376157,0.802,6.36168205062323e-4,500
jensen_restricted_like,0.08009999999999999,base,0.10076207248173602,0.02066207248173603,0.025005317799424782,0.728,6.3046358076639e-4,500
jensen_restricted_like,0.08009999999999999,full,0.09973548731411903,0.01963548731411905,0.02436935233600132,0.766,6.46112114230027e-4,500
jensen_restricted_like,0.08009999999999999,safe,0.0808248254974907,7.248254974907137e-4,0.01445223553655312,0.952,6.461567279216935e-4,500
jensen_restricted_like,0.08009999999999999,tvc,0.1143112237964004,0.034211223796400396,0.037021944669970754,0.38,6.334315891667186e-4,500
