spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
tvc,0.12365749512616635,0.014530072291779135,0.09517907674151588,0.15213591351081682,2.262744977439517e-17,11,jensen_full_like,0.1112,0.4814,5000,10000
safe,0.11129774343764517,0.014795988159761419,0.08229813952883172,0.14029734734645863,6.35137334385145e-14,11,jensen_full_like,0.1112,0.4814,5000,10000
full,0.10277203029605353,0.014793861655471925,0.07377659425906047,0.1317674663330466,4.211028292098268e-12,11,jensen_full_like,0.1112,0.4814,5000,10000
base,0.12797043705659833,0.014407933464778578,0.09973140637398292,0.15620946773921374,9.010032341703837e-19,12,jensen_full_like,0.1112,0.4948,5000,10000
tvc,0.11506810287659545,0.014438267934879822,0.08676961772509151,0.1433665880280994,1.9557089006969935e-15,12,jensen_full_like,0.1112,0.4948,5000,10000
safe,0.09258946818159136,0.014760441716321543,0.06365953402169856,0.12151940234148416,3.844660498955729e-10,12,jensen_full_like,0.1112,0.4948,5000,10000
full,0.08657809565008762,0.01472086335989989,0.05772573364334854,0.11543045765682669,4.334620336896238e-9,12,jensen_full_like,0.1112,0.4948,5000,10000
base,0.1404536040262062,0.014503692441253577,0.1120268891985034,0.16888031885390903,5.496051885024535e-22,13,jensen_full_like,0.1112,0.4814,5000,10000
tvc,0.12899587820394695,0.014601699555696556,0.1003770729617072,0.1576146834461867,1.3721387819436063e-18,13,jensen_full_like,0.1112,0.4814,5000,10000
safe,0.10526399809965586,0.014784720559642351,0.07628647828126799,0.13424151791804373,1.2343039789936875e-12,13,jensen_full_like,0.1112,0.4814,5000,10000
full,0.100052322028267,0.01482871989654412,0.070988565094208,0.129116078962326,1.6783455467627492e-11,13,jensen_full_like,0.1112,0.4814,5000,10000
base,0.13019377181331368,0.014610441184716936,0.10155783329302777,0.15882971033359958,6.963220102902707e-19,14,jensen_full_like,0.1112,0.4678,5000,10000
tvc,0.11756405658643006,0.014658449588267106,0.08883402332423056,0.14629408984862957,1.3041409423465399e-15,14,jensen_full_like,0.1112,0.4678,5000,10000
safe,0.10132219710516205,0.014803421700851657,0.07230802372353413,0.13033637048678995,8.597702537910697e-12,14,jensen_full_like,0.1112,0.4678,5000,10000
full,0.09390810126796865,0.014802881267665501,0.06489498711592166,0.12292121542001565,2.4377037079906135e-10,14,jensen_full_like,0.1112,0.4678,5000,10000
