scenario,mean_base,mean_tvc,mean_safe,mean_full,achieved_base_minus_safe,achieved_full_minus_safe,achieved_tvc_minus_base,mcse_base_minus_safe,mcse_full_minus_safe,mcse_tvc_minus_base,target_base_minus_safe,target_full_minus_safe,target_tvc_minus_base,gap_base_minus_safe,gap_full_minus_safe,gap_tvc_minus_base
ivb_post_dominant,0.12004344680807462,0.1986652603760297,0.08856307070877434,0.17367512114927738,0.03148037609930028,0.08511205044050305,0.07862181356795508,2.0439540878350128e-4,3.1647204871614916e-4,3.2486964202461065e-4,0.015,0.025,0.02,0.01648037609930028,0.060112050440503044,0.05862181356795508
jensen_full_like,0.14114887501401344,0.1270960548264472,0.11147628961611501,0.10408912578087973,0.029672585397898413,-0.007387163835235288,-0.014052820187566215,1.7138662607921672e-4,8.075003379942306e-5,1.1480964888978906e-4,0.026,-0.005,-0.007,0.0036725853978984146,-0.0023871638352352875,-0.007052820187566215
jensen_restricted_like,0.10076207248173602,0.1143112237964004,0.0808248254974907,0.09973548731411903,0.019937246984245316,0.018910661816628337,0.013549151314664368,1.4565872013301627e-4,1.6957962745825365e-4,1.8194662119753305e-4,0.018,0.012,0.01,0.0019372469842453173,0.006910661816628336,0.003549151314664368
