beta2,rho_Z,elapsed_s,total_s
0,0.5,32.165,194.264
0,0.7,32.327,194.264
0.2,0.5,32.411,194.264
0.2,0.7,32.567,194.264
0.5,0.5,32.445,194.264
0.5,0.7,32.332,194.264
