year	uk_rpi	us_cpi
1890	8.8	
1891	8.9	
1892	8.9	
1893	8.8	
1894	8.7	
1895	8.6	
1896	8.5	
1897	8.7	
1898	8.7	
1899	8.8	
1900	9.2	
1901	9.2	
1902	9.2	
1903	9.3	
1904	9.3	
1905	9.3	
1906	9.3	
1907	9.4	
1908	9.4	
1909	9.5	
1910	9.6	
1911	9.6	
1912	9.9	
1913	9.8	
1914	9.8	
1915	11.0	
1916	13.0	
1917	16.3	
1918	19.9	
1919	21.9	
1920	25.3	
1921	23.1	
1922	19.9	
1923	18.7	
1924	18.6	
1925	18.6	
1926	18.5	
1927	18.0	
1928	18.0	
1929	17.8	
1930	17.3	
1931	16.6	
1932	16.2	
1933	15.8	
1934	15.8	
1935	15.9	
1936	16.0	
1937	16.6	
1938	16.8	
1939	17.3	
1940	20.2	
1941	22.4	
1942	24.0	
1943	24.8	
1944	25.5	
1945	26.2	
1946	27.0	
1947	28.9	22.332
1948	31.1	24.045
1949	32.0	23.809
1950	33.0	24.063
1951	36.0	25.973
1952	39.3	26.567
1953	40.5	26.768
1954	41.3	26.865
1955	43.1	26.796
1956	45.3	27.191
1957	46.9	28.113
1958	48.4	28.881
1959	48.6	29.15
1960	49.1	29.585
1961	50.8	29.902
1962	53.0	30.253
1963	54.0	30.633
1964	55.8	31.038
1965	58.4	31.528
1966	60.7	32.471
1967	62.3	33.375
1968	65.2	34.792
1969	68.7	36.683
1970	73.1	38.842
1971	80.0	40.483
1972	85.7	41.808
1973	93.5	44.425
1974	108.5	49.317
1975	134.8	53.825
1976	157.1	56.933
1977	182.0	60.617
1978	197.1	65.242
1979	223.5	72.583
1980	263.7	82.383
1981	295.0	90.933
1982	320.4	96.533
1983	335.1	99.583
1984	351.8	103.933
1985	373.2	107.6
1986	385.9	109.692
1987	402.0	113.617
1988	421.7	118.275
1989	454.5	123.942
1990	497.5	130.658
1991	526.7	136.167
1992	546.4	140.308
1993	555.1	144.475
1994	568.5	148.225
1995	588.2	152.383
1996	602.4	156.858
1997	621.3	160.525
1998	642.6	163.008
1999	652.5	166.583
2000	671.8	172.192
2001	683.7	177.042
2002	695.1	179.867
2003	715.2	184.0
2004	736.5	188.908
2005	757.3	195.267
2006	781.5	201.558
2007	815.0	207.344
2008	847.5	215.254
2009	843.0	214.565
2010	881.9	218.076
2011	927.8	224.923
2012	957.6	229.586
2013	986.7	232.952
2014	1010.0	236.715
2015	1020.0	237.002
