year	head_tax	currency	iso	head_tax_i	tax_rate_British	tax_rate_British_i	tax_rate_French	tax_rate_French_i	c_head_tax_datapoints
1900		"Shilling"	"NGA"		9.166667	9.166667			5.0
1901	0.43333	"Shilling"	"NGA"	0.43333	5.4833326	6.608888			5.0
1902	0.43333	"Shilling"	"NGA"	0.43333	5.4833326	6.8311105			5.0
1903	0.43333	"Shilling"	"NGA"	0.43333	5.9833326	7.453333			5.0
1904	0.43333	"Shilling"	"NGA"	0.43333	4.6083326	6.575555			5.0
1905	0.43333	"Shilling"	"NGA"	0.43333	4.6083326	6.797777			5.0
1906		"Shilling"	"NGA"		5.5	7.733333			5.0
1907		"Shilling"	"NGA"		5.5	7.9555554			5.0
1908		"Shilling"	"NGA"		4.875	7.677778			5.0
1909		"Shilling"	"NGA"		7.9	7.9			5.0
1910		"Shilling"	"NGA"		4.875	7.9			5.0
1911		"Shilling"	"NGA"		5.25	8.2			5.0
1912		"Shilling"	"NGA"		5.25	8.2			5.0
1913		"Shilling"	"NGA"		5.25	8.2			5.0
1914		"Shilling"	"NGA"		5.25	8.2			5.0
1915		"Shilling"	"NGA"		5.75	8.6			5.0
1916		"Shilling"	"NGA"		6.25	9.0			5.0
1917		"Shilling"	"NGA"		6.25	9.0			5.0
1918		"Shilling"	"NGA"		9.0	9.0			5.0
1919		"Shilling"	"NGA"		10.8	10.8			5.0
1920		"Shilling"	"NGA"		8.333333	10.82			5.0
1921		"Shilling"	"NGA"		9.2	11.533334			5.0
1922		"Shilling"	"NGA"		8.4	10.883333			5.0
1923		"Shilling"	"NGA"		6.75	10.483334			5.0
1924		"Shilling"	"NGA"		7.8333335	10.071428			5.0
1925		"Shilling"	"NGA"		6.41	9.3785715			5.0
1926		"Shilling"	"NGA"		6.741667	9.164286			5.0
1927		"Shilling"	"NGA"		6.8416667	9.264286			5.0
1928		"Shilling"	"NGA"		9.785714	11.55			5.0
1929		"Shilling"	"NGA"		10.842857	12.4875			5.0
1930		"Shilling"	"NGA"		10.828571	12.4875			5.0
1931		"Shilling"	"NGA"		11.55	12.78125			5.0
1932		"Shilling"	"NGA"		11.485714	13.0875			5.0
1933		"Shilling"	"NGA"		11.339286	12.971875			5.0
1934		"Shilling"	"NGA"		8.555	12.534375			5.0
1935		"Shilling"	"NGA"		11.425	12.26875			5.0
1936		"Shilling"	"NGA"		11.408334	12.26875			5.0
1937		"Shilling"	"NGA"		10.471429	12.2625			5.0
1938		"Shilling"	"NGA"		10.375714	12.19125			5.0
1939		"Shilling"	"NGA"		13.655	12.877755			5.0
1940		"Shilling"	"NGA"		10.186	9.859762			5.0
1941		"Shilling"	"NGA"		7.2325	9.945477			5.0
1942		"Shilling"	"NGA"		7.2325	10.031191			5.0
1943		"Shilling"	"NGA"		7.2325	10.116905			5.0
1944		"Shilling"	"NGA"		7.5	11.243143			5.0
1945		"Shilling"	"NGA"		9.5575	12.546			5.0
1946		"Shilling"	"NGA"		14.9325	14.9325			5.0
1947		"Shilling"	"NGA"		9.315	9.315			5.0
1948		"Shilling"	"NGA"		9.765	9.765			5.0
1949		"Shilling"	"NGA"						5.0
1950		"Shilling"	"NGA"						5.0
1951		"Shilling"	"NGA"						5.0
1952		"Shilling"	"NGA"						5.0
1953		"Shilling"	"NGA"						5.0
1954		"Shilling"	"NGA"						5.0
1955		"Shilling"	"NGA"						5.0
1956		"Shilling"	"NGA"						5.0
1957		"Shilling"	"NGA"						5.0
1958		"Shilling"	"NGA"						5.0
1959		"Shilling"	"NGA"						5.0
1960		"Shilling"	"NGA"						5.0
1900		"Franc"	"SEN"				3.125	3.125	7.0
1901		"Franc"	"SEN"				3.125	8.75	7.0
1902		"Franc"	"SEN"				3.125	8.75	7.0
1903		"Franc"	"SEN"				3.4375	9.958333	7.0
1904		"Franc"	"SEN"				3.4375	9.958333	7.0
1905	4.0	"Franc"	"SEN"	4.0			3.625	8.46875	7.0
1906		"Franc"	"SEN"	4.25			3.4375	9.24375	7.0
1907		"Franc"	"SEN"	4.5			3.9583333	8.445	7.0
1908		"Franc"	"SEN"	4.75			4.09375	7.829167	7.0
1909	5.0	"Franc"	"SEN"	5.0			4.21875	7.9020834	7.0
1910	5.0	"Franc"	"SEN"	5.0			5.0	6.6666665	7.0
1911	5.0	"Franc"	"SEN"	5.0			5.0	6.491071	7.0
1912	5.0	"Franc"	"SEN"	5.0			4.525	6.553571	7.0
1913		"Franc"	"SEN"	5.0			4.125	6.1328125	7.0
1914		"Franc"	"SEN"	5.0			4.2083335	6.875	7.0
1915	5.0	"Franc"	"SEN"	5.0			7.625	7.71875	7.0
1916		"Franc"	"SEN"	6.0			7.875	7.9166665	7.0
1917	7.0	"Franc"	"SEN"	7.0			8.125	8.5	7.0
1918		"Franc"	"SEN"				8.5	8.5	7.0
1919		"Franc"	"SEN"				6.0	7.5252523	7.0
1920		"Franc"	"SEN"				7.0	8.217172	7.0
1921		"Franc"	"SEN"				11.0	10.181818	7.0
1922		"Franc"	"SEN"				11.0	10.450758	7.0
1923		"Franc"	"SEN"				13.0	11.719697	7.0
1924		"Franc"	"SEN"				10.833333	11.988636	7.0
1925		"Franc"	"SEN"				10.833333	12.215909	7.0
1926		"Franc"	"SEN"				16.5	16.654545	7.0
1927		"Franc"	"SEN"				17.75	17.836363	7.0
1928		"Franc"	"SEN"				19.282259	19.243988	7.0
1929		"Franc"	"SEN"				19.282259	19.282259	7.0
1930		"Franc"	"SEN"				15.709678	19.501009	7.0
1931		"Franc"	"SEN"				17.129032	20.784275	7.0
1932		"Franc"	"SEN"				16.629032	20.628025	7.0
1933		"Franc"	"SEN"				15.25	21.333334	7.0
1934		"Franc"	"SEN"				15.25	21.625	7.0
1935		"Franc"	"SEN"				15.25	21.916666	7.0
1936		"Franc"	"SEN"				17.5	26.8125	7.0
1937		"Franc"	"SEN"				28.5	28.5	7.0
1938		"Franc"	"SEN"				21.0	21.0	7.0
1939		"Franc"	"SEN"						7.0
1940		"Franc"	"SEN"						7.0
1941		"Franc"	"SEN"						7.0
1942		"Franc"	"SEN"						7.0
1943		"Franc"	"SEN"						7.0
1944		"Franc"	"SEN"						7.0
1945		"Franc"	"SEN"						7.0
1946		"Franc"	"SEN"						7.0
1947		"Franc"	"SEN"						7.0
1948		"Franc"	"SEN"						7.0
1949		"Franc"	"SEN"						7.0
1950		"Franc"	"SEN"						7.0
1951		"Franc"	"SEN"						7.0
1952		"Franc"	"SEN"						7.0
1953		"Franc"	"SEN"						7.0
1954		"Franc"	"SEN"						7.0
1955		"Franc"	"SEN"						7.0
1956		"Franc"	"SEN"						7.0
1957		"Franc"	"SEN"						7.0
1958		"Franc"	"SEN"						7.0
1959		"Franc"	"SEN"						7.0
1960		"Franc"	"SEN"						7.0
1900	7.5	"Shilling"	"SLE"	7.5	9.166667	9.166667			41.0
1901	7.5	"Shilling"	"SLE"	7.5	5.4833326	6.608888			41.0
1902	7.5	"Shilling"	"SLE"	7.5	5.4833326	6.8311105			41.0
1903	7.5	"Shilling"	"SLE"	7.5	5.9833326	7.453333			41.0
1904	7.5	"Shilling"	"SLE"	7.5	4.6083326	6.575555			41.0
1905	7.5	"Shilling"	"SLE"	7.5	4.6083326	6.797777			41.0
1906	7.5	"Shilling"	"SLE"	7.5	5.5	7.733333			41.0
1907	7.5	"Shilling"	"SLE"	7.5	5.5	7.9555554			41.0
1908	5.0	"Shilling"	"SLE"	5.0	4.875	7.677778			41.0
1909	5.0	"Shilling"	"SLE"	5.0	7.9	7.9			41.0
1910	5.0	"Shilling"	"SLE"	5.0	4.875	7.9			41.0
1911	5.0	"Shilling"	"SLE"	5.0	5.25	8.2			41.0
1912	5.0	"Shilling"	"SLE"	5.0	5.25	8.2			41.0
1913	5.0	"Shilling"	"SLE"	5.0	5.25	8.2			41.0
1914	5.0	"Shilling"	"SLE"	5.0	5.25	8.2			41.0
1915	5.0	"Shilling"	"SLE"	5.0	5.75	8.6			41.0
1916	5.0	"Shilling"	"SLE"	5.0	6.25	9.0			41.0
1917	5.0	"Shilling"	"SLE"	5.0	6.25	9.0			41.0
1918	5.0	"Shilling"	"SLE"	5.0	9.0	9.0			41.0
1919	5.0	"Shilling"	"SLE"	5.0	10.8	10.8			41.0
1920	5.0	"Shilling"	"SLE"	5.0	8.333333	10.82			41.0
1921	5.0	"Shilling"	"SLE"	5.0	9.2	11.533334			41.0
1922	5.0	"Shilling"	"SLE"	5.0	8.4	10.883333			41.0
1923	5.0	"Shilling"	"SLE"	5.0	6.75	10.483334			41.0
1924	5.0	"Shilling"	"SLE"	5.0	7.8333335	10.071428			41.0
1925	5.0	"Shilling"	"SLE"	5.0	6.41	9.3785715			41.0
1926	5.0	"Shilling"	"SLE"	5.0	6.741667	9.164286			41.0
1927	5.0	"Shilling"	"SLE"	5.0	6.8416667	9.264286			41.0
1928	5.0	"Shilling"	"SLE"	5.0	9.785714	11.55			41.0
1929	5.0	"Shilling"	"SLE"	5.0	10.842857	12.4875			41.0
1930	5.0	"Shilling"	"SLE"	5.0	10.828571	12.4875			41.0
1931	5.0	"Shilling"	"SLE"	5.0	11.55	12.78125			41.0
1932	5.0	"Shilling"	"SLE"	5.0	11.485714	13.0875			41.0
1933	5.0	"Shilling"	"SLE"	5.0	11.339286	12.971875			41.0
1934		"Shilling"	"SLE"	5.0	8.555	12.534375			41.0
1935		"Shilling"	"SLE"	5.0	11.425	12.26875			41.0
1936		"Shilling"	"SLE"	5.0	11.408334	12.26875			41.0
1937	5.0	"Shilling"	"SLE"	5.0	10.471429	12.2625			41.0
1938	5.0	"Shilling"	"SLE"	5.0	10.375714	12.19125			41.0
1939	5.0	"Shilling"	"SLE"	5.0	13.655	12.877755			41.0
1940	5.0	"Shilling"	"SLE"	5.0	10.186	9.859762			41.0
1941	5.0	"Shilling"	"SLE"	5.0	7.2325	9.945477			41.0
1942	5.0	"Shilling"	"SLE"	5.0	7.2325	10.031191			41.0
1943	5.0	"Shilling"	"SLE"	5.0	7.2325	10.116905			41.0
1944		"Shilling"	"SLE"		7.5	11.243143			41.0
1945		"Shilling"	"SLE"		9.5575	12.546			41.0
1946		"Shilling"	"SLE"		14.9325	14.9325			41.0
1947		"Shilling"	"SLE"		9.315	9.315			41.0
1948		"Shilling"	"SLE"		9.765	9.765			41.0
1949		"Shilling"	"SLE"						41.0
1950		"Shilling"	"SLE"						41.0
1951		"Shilling"	"SLE"						41.0
1952		"Shilling"	"SLE"						41.0
1953		"Shilling"	"SLE"						41.0
1954		"Shilling"	"SLE"						41.0
1955		"Shilling"	"SLE"						41.0
1956		"Shilling"	"SLE"						41.0
1957		"Shilling"	"SLE"						41.0
1958		"Shilling"	"SLE"						41.0
1959		"Shilling"	"SLE"						41.0
1960		"Shilling"	"SLE"						41.0
1900		"Franc"	"TGO"				3.125	3.125	3.0
1901		"Franc"	"TGO"				3.125	8.75	3.0
1902		"Franc"	"TGO"				3.125	8.75	3.0
1903		"Franc"	"TGO"				3.4375	9.958333	3.0
1904		"Franc"	"TGO"				3.4375	9.958333	3.0
1905		"Franc"	"TGO"				3.625	8.46875	3.0
1906		"Franc"	"TGO"				3.4375	9.24375	3.0
1907		"Franc"	"TGO"				3.9583333	8.445	3.0
1908		"Franc"	"TGO"				4.09375	7.829167	3.0
1909		"Franc"	"TGO"				4.21875	7.9020834	3.0
1910		"Franc"	"TGO"				5.0	6.6666665	3.0
1911		"Franc"	"TGO"				5.0	6.491071	3.0
1912		"Franc"	"TGO"				4.525	6.553571	3.0
1913		"Franc"	"TGO"				4.125	6.1328125	3.0
1914		"Franc"	"TGO"				4.2083335	6.875	3.0
1915		"Franc"	"TGO"				7.625	7.71875	3.0
1916		"Franc"	"TGO"				7.875	7.9166665	3.0
1917		"Franc"	"TGO"				8.125	8.5	3.0
1918		"Franc"	"TGO"				8.5	8.5	3.0
1919		"Franc"	"TGO"				6.0	7.5252523	3.0
1920		"Franc"	"TGO"				7.0	8.217172	3.0
1921		"Franc"	"TGO"				11.0	10.181818	3.0
1922		"Franc"	"TGO"				11.0	10.450758	3.0
1923		"Franc"	"TGO"				13.0	11.719697	3.0
1924		"Franc"	"TGO"				10.833333	11.988636	3.0
1925		"Franc"	"TGO"				10.833333	12.215909	3.0
1926	25.0	"Franc"	"TGO"	25.0			16.5	16.654545	3.0
1927	25.0	"Franc"	"TGO"	25.0			17.75	17.836363	3.0
1928	25.0	"Franc"	"TGO"	25.0			19.282259	19.243988	3.0
1929		"Franc"	"TGO"				19.282259	19.282259	3.0
1930		"Franc"	"TGO"				15.709678	19.501009	3.0
1931		"Franc"	"TGO"				17.129032	20.784275	3.0
1932		"Franc"	"TGO"				16.629032	20.628025	3.0
1933		"Franc"	"TGO"				15.25	21.333334	3.0
1934		"Franc"	"TGO"				15.25	21.625	3.0
1935		"Franc"	"TGO"				15.25	21.916666	3.0
1936		"Franc"	"TGO"				17.5	26.8125	3.0
1937		"Franc"	"TGO"				28.5	28.5	3.0
1938		"Franc"	"TGO"				21.0	21.0	3.0
1939		"Franc"	"TGO"						3.0
1940		"Franc"	"TGO"						3.0
1941		"Franc"	"TGO"						3.0
1942		"Franc"	"TGO"						3.0
1943		"Franc"	"TGO"						3.0
1944		"Franc"	"TGO"						3.0
1945		"Franc"	"TGO"						3.0
1946		"Franc"	"TGO"						3.0
1947		"Franc"	"TGO"						3.0
1948		"Franc"	"TGO"						3.0
1949		"Franc"	"TGO"						3.0
1950		"Franc"	"TGO"						3.0
1951		"Franc"	"TGO"						3.0
1952		"Franc"	"TGO"						3.0
1953		"Franc"	"TGO"						3.0
1954		"Franc"	"TGO"						3.0
1955		"Franc"	"TGO"						3.0
1956		"Franc"	"TGO"						3.0
1957		"Franc"	"TGO"						3.0
1958		"Franc"	"TGO"						3.0
1959		"Franc"	"TGO"						3.0
1960		"Franc"	"TGO"						3.0
1900		"Franc"	"TUN"					3.125	17.0
1901	20.0	"Franc"	"TUN"	20.0				8.75	17.0
1902	20.0	"Franc"	"TUN"	20.0				8.75	17.0
1903	23.0	"Franc"	"TUN"	23.0				9.958333	17.0
1904	23.0	"Franc"	"TUN"	23.0				9.958333	17.0
1905	23.0	"Franc"	"TUN"	23.0				8.46875	17.0
1906	25.85	"Franc"	"TUN"	25.85				9.24375	17.0
1907	25.85	"Franc"	"TUN"	25.85				8.445	17.0
1908	25.85	"Franc"	"TUN"	25.85				7.829167	17.0
1909	25.85	"Franc"	"TUN"	25.85				7.9020834	17.0
1910	18.0	"Franc"	"TUN"	18.0				6.6666665	17.0
1911	18.0	"Franc"	"TUN"	18.0				6.491071	17.0
1912	18.0	"Franc"	"TUN"	18.0				6.553571	17.0
1913	18.0	"Franc"	"TUN"	18.0				6.1328125	17.0
1914	18.0	"Franc"	"TUN"	18.0				6.875	17.0
1915	10.0	"Franc"	"TUN"	10.0				7.71875	17.0
1916	10.0	"Franc"	"TUN"	10.0				7.9166665	17.0
1917	10.0	"Franc"	"TUN"	10.0				8.5	17.0
1918		"Franc"	"TUN"					8.5	17.0
1919		"Franc"	"TUN"					7.5252523	17.0
1920		"Franc"	"TUN"					8.217172	17.0
1921		"Franc"	"TUN"					10.181818	17.0
1922		"Franc"	"TUN"					10.450758	17.0
1923		"Franc"	"TUN"					11.719697	17.0
1924		"Franc"	"TUN"					11.988636	17.0
1925		"Franc"	"TUN"					12.215909	17.0
1926		"Franc"	"TUN"					16.654545	17.0
1927		"Franc"	"TUN"					17.836363	17.0
1928		"Franc"	"TUN"					19.243988	17.0
1929		"Franc"	"TUN"					19.282259	17.0
1930		"Franc"	"TUN"					19.501009	17.0
1931		"Franc"	"TUN"					20.784275	17.0
1932		"Franc"	"TUN"					20.628025	17.0
1933		"Franc"	"TUN"					21.333334	17.0
1934		"Franc"	"TUN"					21.625	17.0
1935		"Franc"	"TUN"					21.916666	17.0
1936		"Franc"	"TUN"					26.8125	17.0
1937		"Franc"	"TUN"					28.5	17.0
1938		"Franc"	"TUN"					21.0	17.0
1939		"Franc"	"TUN"						17.0
1940		"Franc"	"TUN"						17.0
1941		"Franc"	"TUN"						17.0
1942		"Franc"	"TUN"						17.0
1943		"Franc"	"TUN"						17.0
1944		"Franc"	"TUN"						17.0
1945		"Franc"	"TUN"						17.0
1946		"Franc"	"TUN"						17.0
1947		"Franc"	"TUN"						17.0
1948		"Franc"	"TUN"						17.0
1949		"Franc"	"TUN"						17.0
1950		"Franc"	"TUN"						17.0
1951		"Franc"	"TUN"						17.0
1952		"Franc"	"TUN"						17.0
1953		"Franc"	"TUN"						17.0
1954		"Franc"	"TUN"						17.0
1955		"Franc"	"TUN"						17.0
1956		"Franc"	"TUN"						17.0
1957		"Franc"	"TUN"						17.0
1958		"Franc"	"TUN"						17.0
1959		"Franc"	"TUN"						17.0
1960		"Franc"	"TUN"						17.0
1900		"Shilling"	"TZA"		9.166667	9.166667			21.0
1901		"Shilling"	"TZA"		5.4833326	6.608888			21.0
1902		"Shilling"	"TZA"		5.4833326	6.8311105			21.0
1903		"Shilling"	"TZA"		5.9833326	7.453333			21.0
1904		"Shilling"	"TZA"		4.6083326	6.575555			21.0
1905		"Shilling"	"TZA"		4.6083326	6.797777			21.0
1906		"Shilling"	"TZA"		5.5	7.733333			21.0
1907		"Shilling"	"TZA"		5.5	7.9555554			21.0
1908		"Shilling"	"TZA"		4.875	7.677778			21.0
1909		"Shilling"	"TZA"		7.9	7.9			21.0
1910		"Shilling"	"TZA"		4.875	7.9			21.0
1911		"Shilling"	"TZA"		5.25	8.2			21.0
1912		"Shilling"	"TZA"		5.25	8.2			21.0
1913		"Shilling"	"TZA"		5.25	8.2			21.0
1914		"Shilling"	"TZA"		5.25	8.2			21.0
1915		"Shilling"	"TZA"		5.75	8.6			21.0
1916		"Shilling"	"TZA"		6.25	9.0			21.0
1917		"Shilling"	"TZA"		6.25	9.0			21.0
1918		"Shilling"	"TZA"		9.0	9.0			21.0
1919		"Shilling"	"TZA"		10.8	10.8			21.0
1920		"Shilling"	"TZA"		8.333333	10.82			21.0
1921	15.0	"Shilling"	"TZA"	15.0	9.2	11.533334			21.0
1922	15.0	"Shilling"	"TZA"	15.0	8.4	10.883333			21.0
1923		"Shilling"	"TZA"	12.5	6.75	10.483334			21.0
1924	10.0	"Shilling"	"TZA"	10.0	7.8333335	10.071428			21.0
1925	8.3	"Shilling"	"TZA"	8.3	6.41	9.3785715			21.0
1926	8.7	"Shilling"	"TZA"	8.7	6.741667	9.164286			21.0
1927	9.3	"Shilling"	"TZA"	9.3	6.8416667	9.264286			21.0
1928	9.2	"Shilling"	"TZA"	9.2	9.785714	11.55			21.0
1929	9.4	"Shilling"	"TZA"	9.4	10.842857	12.4875			21.0
1930	9.3	"Shilling"	"TZA"	9.3	10.828571	12.4875			21.0
1931	8.8	"Shilling"	"TZA"	8.8	11.55	12.78125			21.0
1932	8.9	"Shilling"	"TZA"	8.9	11.485714	13.0875			21.0
1933	8.5	"Shilling"	"TZA"	8.5	11.339286	12.971875			21.0
1934	7.9	"Shilling"	"TZA"	7.9	8.555	12.534375			21.0
1935	8.3	"Shilling"	"TZA"	8.3	11.425	12.26875			21.0
1936	8.2	"Shilling"	"TZA"	8.2	11.408334	12.26875			21.0
1937	8.2	"Shilling"	"TZA"	8.2	10.471429	12.2625			21.0
1938	8.2	"Shilling"	"TZA"	8.2	10.375714	12.19125			21.0
1939		"Shilling"	"TZA"	8.214285714285715	13.655	12.877755			21.0
1940		"Shilling"	"TZA"	8.228571428571428	10.186	9.859762			21.0
1941		"Shilling"	"TZA"	8.242857142857144	7.2325	9.945477			21.0
1942		"Shilling"	"TZA"	8.257142857142856	7.2325	10.031191			21.0
1943		"Shilling"	"TZA"	8.271428571428572	7.2325	10.116905			21.0
1944		"Shilling"	"TZA"	8.285714285714288	7.5	11.243143			21.0
1945	8.3	"Shilling"	"TZA"	8.3	9.5575	12.546			21.0
1946	9.8	"Shilling"	"TZA"	9.8	14.9325	14.9325			21.0
1947	9.7	"Shilling"	"TZA"	9.7	9.315	9.315			21.0
1948	10.6	"Shilling"	"TZA"	10.6	9.765	9.765			21.0
1949		"Shilling"	"TZA"						21.0
1950		"Shilling"	"TZA"						21.0
1951		"Shilling"	"TZA"						21.0
1952		"Shilling"	"TZA"						21.0
1953		"Shilling"	"TZA"						21.0
1954		"Shilling"	"TZA"						21.0
1955		"Shilling"	"TZA"						21.0
1956		"Shilling"	"TZA"						21.0
1957		"Shilling"	"TZA"						21.0
1958		"Shilling"	"TZA"						21.0
1959		"Shilling"	"TZA"						21.0
1960		"Shilling"	"TZA"						21.0
1900		"Shilling"	"ZMB"		9.166667	9.166667			23.0
1901		"Shilling"	"ZMB"		5.4833326	6.608888			23.0
1902		"Shilling"	"ZMB"		5.4833326	6.8311105			23.0
1903		"Shilling"	"ZMB"		5.9833326	7.453333			23.0
1904		"Shilling"	"ZMB"		4.6083326	6.575555			23.0
1905		"Shilling"	"ZMB"		4.6083326	6.797777			23.0
1906		"Shilling"	"ZMB"		5.5	7.733333			23.0
1907		"Shilling"	"ZMB"		5.5	7.9555554			23.0
1908		"Shilling"	"ZMB"		4.875	7.677778			23.0
1909		"Shilling"	"ZMB"		7.9	7.9			23.0
1910		"Shilling"	"ZMB"		4.875	7.9			23.0
1911		"Shilling"	"ZMB"		5.25	8.2			23.0
1912		"Shilling"	"ZMB"		5.25	8.2			23.0
1913		"Shilling"	"ZMB"		5.25	8.2			23.0
1914		"Shilling"	"ZMB"		5.25	8.2			23.0
1915		"Shilling"	"ZMB"		5.75	8.6			23.0
1916		"Shilling"	"ZMB"		6.25	9.0			23.0
1917		"Shilling"	"ZMB"		6.25	9.0			23.0
1918		"Shilling"	"ZMB"		9.0	9.0			23.0
1919		"Shilling"	"ZMB"		10.8	10.8			23.0
1920		"Shilling"	"ZMB"		8.333333	10.82			23.0
1921		"Shilling"	"ZMB"		9.2	11.533334			23.0
1922		"Shilling"	"ZMB"		8.4	10.883333			23.0
1923		"Shilling"	"ZMB"		6.75	10.483334			23.0
1924	10.0	"Shilling"	"ZMB"	10.0	7.8333335	10.071428			23.0
1925	8.75	"Shilling"	"ZMB"	8.75	6.41	9.3785715			23.0
1926	8.75	"Shilling"	"ZMB"	8.75	6.741667	9.164286			23.0
1927	8.75	"Shilling"	"ZMB"	8.75	6.8416667	9.264286			23.0
1928	7.3	"Shilling"	"ZMB"	7.3	9.785714	11.55			23.0
1929	7.5	"Shilling"	"ZMB"	7.5	10.842857	12.4875			23.0
1930	7.5	"Shilling"	"ZMB"	7.5	10.828571	12.4875			23.0
1931		"Shilling"	"ZMB"	8.75	11.55	12.78125			23.0
1932	10.0	"Shilling"	"ZMB"	10.0	11.485714	13.0875			23.0
1933	9.375	"Shilling"	"ZMB"	9.375	11.339286	12.971875			23.0
1934	9.375	"Shilling"	"ZMB"	9.375	8.555	12.534375			23.0
1935	9.75	"Shilling"	"ZMB"	9.75	11.425	12.26875			23.0
1936	9.75	"Shilling"	"ZMB"	9.75	11.408334	12.26875			23.0
1937	9.6	"Shilling"	"ZMB"	9.6	10.471429	12.2625			23.0
1938	8.93	"Shilling"	"ZMB"	8.93	10.375714	12.19125			23.0
1939	8.93	"Shilling"	"ZMB"	8.93	13.655	12.877755			23.0
1940	8.93	"Shilling"	"ZMB"	8.93	10.186	9.859762			23.0
1941	8.93	"Shilling"	"ZMB"	8.93	7.2325	9.945477			23.0
1942	8.93	"Shilling"	"ZMB"	8.93	7.2325	10.031191			23.0
1943	8.93	"Shilling"	"ZMB"	8.93	7.2325	10.116905			23.0
1944		"Shilling"	"ZMB"	8.93	7.5	11.243143			23.0
1945	8.93	"Shilling"	"ZMB"	8.93	9.5575	12.546			23.0
1946	8.93	"Shilling"	"ZMB"	8.93	14.9325	14.9325			23.0
1947	8.93	"Shilling"	"ZMB"	8.93	9.315	9.315			23.0
1948	8.93	"Shilling"	"ZMB"	8.93	9.765	9.765			23.0
1949		"Shilling"	"ZMB"						23.0
1950		"Shilling"	"ZMB"						23.0
1951		"Shilling"	"ZMB"						23.0
1952		"Shilling"	"ZMB"						23.0
1953		"Shilling"	"ZMB"						23.0
1954		"Shilling"	"ZMB"						23.0
1955		"Shilling"	"ZMB"						23.0
1956		"Shilling"	"ZMB"						23.0
1957		"Shilling"	"ZMB"						23.0
1958		"Shilling"	"ZMB"						23.0
1959		"Shilling"	"ZMB"						23.0
1960		"Shilling"	"ZMB"						23.0
1900	10.0	"Shilling"	"ZWE"	10.0	9.166667	9.166667			4.0
1901	10.0	"Shilling"	"ZWE"	10.0	5.4833326	6.608888			4.0
1902	10.0	"Shilling"	"ZWE"	10.0	5.4833326	6.8311105			4.0
1903	10.0	"Shilling"	"ZWE"	10.0	5.9833326	7.453333			4.0
1904		"Shilling"	"ZWE"		4.6083326	6.575555			4.0
1905		"Shilling"	"ZWE"		4.6083326	6.797777			4.0
1906		"Shilling"	"ZWE"		5.5	7.733333			4.0
1907		"Shilling"	"ZWE"		5.5	7.9555554			4.0
1908		"Shilling"	"ZWE"		4.875	7.677778			4.0
1909		"Shilling"	"ZWE"		7.9	7.9			4.0
1910		"Shilling"	"ZWE"		4.875	7.9			4.0
1911		"Shilling"	"ZWE"		5.25	8.2			4.0
1912		"Shilling"	"ZWE"		5.25	8.2			4.0
1913		"Shilling"	"ZWE"		5.25	8.2			4.0
1914		"Shilling"	"ZWE"		5.25	8.2			4.0
1915		"Shilling"	"ZWE"		5.75	8.6			4.0
1916		"Shilling"	"ZWE"		6.25	9.0			4.0
1917		"Shilling"	"ZWE"		6.25	9.0			4.0
1918		"Shilling"	"ZWE"		9.0	9.0			4.0
1919		"Shilling"	"ZWE"		10.8	10.8			4.0
1920		"Shilling"	"ZWE"		8.333333	10.82			4.0
1921		"Shilling"	"ZWE"		9.2	11.533334			4.0
1922		"Shilling"	"ZWE"		8.4	10.883333			4.0
1923		"Shilling"	"ZWE"		6.75	10.483334			4.0
1924		"Shilling"	"ZWE"		7.8333335	10.071428			4.0
1925		"Shilling"	"ZWE"		6.41	9.3785715			4.0
1926		"Shilling"	"ZWE"		6.741667	9.164286			4.0
1927		"Shilling"	"ZWE"		6.8416667	9.264286			4.0
1928		"Shilling"	"ZWE"		9.785714	11.55			4.0
1929		"Shilling"	"ZWE"		10.842857	12.4875			4.0
1930		"Shilling"	"ZWE"		10.828571	12.4875			4.0
1931		"Shilling"	"ZWE"		11.55	12.78125			4.0
1932		"Shilling"	"ZWE"		11.485714	13.0875			4.0
1933		"Shilling"	"ZWE"		11.339286	12.971875			4.0
1934		"Shilling"	"ZWE"		8.555	12.534375			4.0
1935		"Shilling"	"ZWE"		11.425	12.26875			4.0
1936		"Shilling"	"ZWE"		11.408334	12.26875			4.0
1937		"Shilling"	"ZWE"		10.471429	12.2625			4.0
1938		"Shilling"	"ZWE"		10.375714	12.19125			4.0
1939		"Shilling"	"ZWE"		13.655	12.877755			4.0
1940		"Shilling"	"ZWE"		10.186	9.859762			4.0
1941		"Shilling"	"ZWE"		7.2325	9.945477			4.0
1942		"Shilling"	"ZWE"		7.2325	10.031191			4.0
1943		"Shilling"	"ZWE"		7.2325	10.116905			4.0
1944		"Shilling"	"ZWE"		7.5	11.243143			4.0
1945		"Shilling"	"ZWE"		9.5575	12.546			4.0
1946		"Shilling"	"ZWE"		14.9325	14.9325			4.0
1947		"Shilling"	"ZWE"		9.315	9.315			4.0
1948		"Shilling"	"ZWE"		9.765	9.765			4.0
1949		"Shilling"	"ZWE"						4.0
1950		"Shilling"	"ZWE"						4.0
1951		"Shilling"	"ZWE"						4.0
1952		"Shilling"	"ZWE"						4.0
1953		"Shilling"	"ZWE"						4.0
1954		"Shilling"	"ZWE"						4.0
1955		"Shilling"	"ZWE"						4.0
1956		"Shilling"	"ZWE"						4.0
1957		"Shilling"	"ZWE"						4.0
