iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181	g_182	g_183	g_184	g_185	g_186	g_187	g_188	g_189	g_190
"LSO"												2451							166825																																																										22428						206377																																			1432																																																																								
"LBR"																																																																																																																																																																																														
"LBY"																																																																																																																																																																																														
"MDG"										14110		43325																						6732						261433.0														35029.0																	36304														14006																														57614										9171				21240				17403		28888														3384					42999																																		36267	74458	17812
"MWI"																																		393000																							100000.0																			448000																																										19000																																																																								
"MLI"																																																																																																																																																																																														
"MRT"																																																																																																																																																																																														
"MAR"												41057	31084				41235		78476								90373																											61305.0																	20520																																													59498												52359									18532																												195475		11811								32511		13771		62647	286665						18234				
"MOZ"																																																																																																																																																																																														
"NAM"									816000.0										168000								58000																													44000.0																229000.0		44000			333000																170000																						1000			180000							423000																																						1009000																											
"NER"																																																																																																																																																																																														
"NGA"			2168000	981000.0	1567000		136000.0	56000.0			1306000.0	153000		50000											343000							25000																								1435000.0	247000.0																																																													819000																																																																								
"COG"																																																																																																																																																																																														
"RWA"				4.1			0.3		4.3																															3.6																5.9	7.6															17.3																																																																																																																						
"SEN"																																																																																																																																																																																														
"SLE"	30000		457000	16000.0			17.0				5.0	730																								27																									3410	61000																																																																																																																																
"SOM"																16198																																																													58258																																									29075																						92872																																																		
"ZAF"									2387000.0			434000							8983000						987000		129000							25000																						124000.0										961000	422000	95000		908000	1899000	426000.0											3041000								45000		240000	136000																					43000			3846000							214000			354000																										334000																									125000								265000			
"SDN"			18000								45000.0					646000									46000	205000						249000																									3526000.0																				37000						34000																																			371000																						61000							303000																																											
"SWZ"												5132							800															8174																						3319.0														4115							43420																																																11763	9035																																																																
"TZA"		32000					1000.0		4000.0		31000.0	160000				28000										53000			1425000				91000.0	18000		18000				386000.0																	380000.0																																																									61000				430000																																																																								
"TGO"		4262000		784000.0	19082000								10720500		7348000						145000						2508000					1306000					1151000			1798000.0			125500								10635000								2773000																																																																									2294000	378000																																																									
"TUN"												24543	5785						8633																																			76670.0														107139									15835		5743																														7682																			50009			20454						13865																												205858									17809	17255					132649		10591	26331	17388	332803	5293	175608			
"UGA"							37000.0					66000													19000		14000		27000			307000		51000						328000.0																71000.0	3428000.0														119000					7000																																										48000										2000																																																														
"ZMB"												13000																						73000																																						8856000.0																					847000																									234000																																																																								
"ZWE"								124000.0				120000																						1334000																															36000	164000	1267000	516000			44000												41000								68000	52000	33000							32000															221000			696000																																				24000											55000																									
