year	xuk_def	xfr_def	xpt_def	xit_def	xbe_def	xde_def	xus_def	xru_def	xcn_def
1890	0.043010753	-0.017047184	-0.26761436	-0.06746269	-0.18421052	-0.026476867			
1891	0.03125	0.0325353	-0.22254688	-0.07060953	-0.13930348	0.081179745			
1892	0.020833332	-0.00295858	-0.2881478	-0.05269684	-0.14532019	0.011515306			
1893	0.0	-0.024630543	-0.117617585	-0.061705988	-0.10886076	0.00179864			
1894	0.00990099	-0.006321839	0.010517151	-0.1296615	-0.099255584	0.03064742			
1895	0.03809524	-0.005241701	-0.029105386	-0.051359516	-0.0902439	0.0771907			
1896	0.018181818	-0.002612482	0.04503035	-0.054429647	-0.111872144	0.15329358			
1897	0.035714287	0.001135074	-0.13481455	-0.022397093	-0.15655577	-0.09542533			
1898	0.0	0.026077097	-0.13444772	-0.011529126	-0.36743516	-0.08994232			
1899	-0.097222224	0.018946782	-0.06794401	0.004848485	-0.17719299	-0.13358596			
1900	-0.2746114	0.018147852	-0.12914357	0.007233273	-0.13937283	-0.19488662			
1901	-0.25365853	-0.047923323	0.018614251	0.009160757	-0.1705298	-0.22687067			
1902	-0.17010309	-0.03163017	-0.055601373	-0.035931453	-0.18048781	-0.21899787			
1903	-0.025806451	0.01973867	-0.047879796	0.001115449	-0.18152866	-0.2334648			
1904	0.02	0.027480077	-0.033637244	0.006193694	-0.2252907	-0.105128			
1905	0.04761905	0.015915835	0.008797601	0.018131869	-0.07188498	-0.04152362			
1906	0.07638889	-0.003894081	-0.007411551	-0.1938691	-0.22668394	-0.10378797			
1907	0.0979021	0.022680411	-0.016812943	-0.06012506	-0.1953125	-0.14413658			
1908	0.048275862	-0.01367819	-0.051752802	-0.10692979	-0.19870129	-0.16680162			
1909	-0.15923567	-0.010750119	-0.033790532	-0.122171946	-0.17938931	-0.16960217			
1910	0.21428572	-0.011105969	-0.010465551	-0.08619281	-0.17732207	-0.011484858			
1911	0.06321839	0.031002639	0.03704591	-0.093207546	-0.1430333	0.15368965			
1912	0.027173912	0.02403542	-0.046373904	-0.12882788	-0.15736607	0.14563446			
1913	0.03125	0.004933886	0.04876083	-0.19381575	-0.17308389	-0.057			
1914	-0.5939177	-0.54803777	0.114485905	-0.16118312	-0.62810004	-0.50429714			
1915	-0.78383577	-0.80258065	-0.2640059	-0.5547886	-0.83755225	-0.86782205			
1916	-0.7393085	-0.8129335	-0.6154908	-0.70230407	-0.8460712	-0.8583013			
1917	-0.73775965	-0.80342585	-0.57843137	-0.7527981	-0.8382477	-0.7123738			
1918	-0.65529275	-0.8181015	-0.58677685	-0.7157573	-0.85032374	-0.70074654			
1919	-0.19567826	-0.66770077	-0.6070606	-0.7097345	-0.72656554	-0.64701116			
1920	0.2003367	-0.43239835	-0.5887154	-0.45351636	-0.6558845	-0.63480777			
1921	0.05140187	-0.29611814	-0.3034385	-0.4979727	-0.5283442	-0.4993741			
1922	0.12561576	-0.47136408	-0.3275563	-0.47048864	-0.23191223				
1923	0.117489986	-0.3151751	-0.47942585	-0.21946865	-0.19158298				
1924	0.06391478	-0.28093904	-0.21455224	-0.15090759	-0.17575388	-0.074995026			
1925	0.04639175	-0.07773949	-0.1511194	-0.067943454	-0.380206	-0.16751716			
1926	0.030690538	-0.001762912	-0.082439676	-0.07523621	-0.36438826	-0.1969468			
1927	0.089147285	-0.00268155	-0.328213	-0.12776513	0.15905665	-0.11314174			
1928	0.09855454	0.08879498	-0.0997807	-0.3230126	0.15502	-0.87025946			
1929	0.04219949	0.083138116	0.056612983	-0.030708699	0.11868831	-0.17662147			
1930	0.054054055	-0.08827542	0.014194812	-0.0489021	-0.12997243	-0.20948522			
1931	0.03907204	-0.10264281	0.0456718	-0.21151763	-0.10824913	-0.1845604			
1932	-0.007202881	-0.113805145	0.017232096	-0.23423816	-0.2343271	-0.1627829			
1933	0.050649352	-0.207644	-0.02103643	-0.20293152	-0.07444146	0.09250399			
1934	0.025477707	-0.17667341	-0.042532623	-0.35824716	-0.12394589	-1.2164E-4			
1935	0.019300362	-0.20820968	0.056479555	-0.13963696	-0.26186615				
1936	0.008998875	-0.30674505	-0.2512802	-0.6956054	-0.2319636				
1937	0.0440044	-0.39218515	0.04009662	-0.48607096	-0.21679012				
1938	0.0	-0.3368632	-0.01739887	-0.3239811	-0.23297887				
1939	-0.19200571	-0.5802912	-0.09291667	-0.35308608	-0.2822055				
1940	-0.62190187	-0.6472892	-0.0825423	-0.5378571	-0.37660787		-0.31578946		
1941	-0.5539377	-0.3372314	-0.1322695	-0.6770377	-0.151625		-0.3649635		
1942	-0.48969612	-0.26827067	0.1433526	-0.6648455	-0.07661017		-0.5840456		
1943	-0.4661807	-0.2223375	-0.17967378	-0.68515	-0.1599		-0.6946565		
1944	-0.45659217	-0.49832433	-0.09337676	-0.8087611	-0.26661158		-0.52135813		
1945	-0.39180973	-0.5225806	-0.15296513	-0.7973825	-0.57546747		-0.51240563		
1946	-0.13573474	-0.16698657	-0.15766738	-0.74276525	-0.38867703		-0.28804347	0.0	0.0
1947	0.19588551	-0.028985508	-0.22146119	-0.6855967	-0.3867974		0.11594203	0.29008737	0.0
1948	0.25769463	0.029233871	-0.22214423	-0.5537493	-0.5564326		0.39597315	0.3387738	0.0
1949	0.16057774	0.19585063	-0.17117117	-0.34409222	-0.2604314	-0.032035176	0.015463918	0.24070002	0.0
1950	0.21656424	-0.11921935	-0.05372549	-0.27156058	-0.21658416	0.38793105	-0.07511737	0.2171411	0.0
1951	0.096399814	-0.13692519	-0.013035714	-0.22277452	-0.14365256	0.21910113	0.13406594	-0.032485224	0.027373763
1952	0.027146325	-0.21006565	-0.01559322	-0.2863599	-0.23168316	0.36363637	-0.022156574	0.121623166	0.014638955
1953	0.028813938	-0.18363589	-0.0271875	-0.25730753	-0.18835978	0.30396476	-0.085413925	0.06740981	0.015360031
1954	0.10405136	-0.093462996	-0.05268657	-0.20278884	-0.21369295	0.29957807	-0.016925247	0.08103274	-0.013724586
1955	0.09160144	-0.12547529	-0.0779452	-0.16781442	-0.13850997	0.49344978	-0.04239766	0.17400028	0.009653178
1956	0.06347352	-0.16566265	-0.039078947	-0.12892106	-0.096251264	0.38129497	0.056657225	0.19978637	0.009208705
1957	0.08834802	-0.116134755	-0.032560974	-0.085369825	-0.108333334	0.2861635	0.044386424	0.006810451	6.07411E-4
1958	0.07635695	-0.047723133	-0.037011493	-0.16500673	-0.1902439	0.26548672	-0.033980582	0.14706263	-0.002721875
1959	0.07620751	0.01143626	-0.08917526	-0.114333056	-0.24444444	0.25984251	-0.14006515	-0.074593894	-0.00678156
1960	0.030371934	0.03333333	-0.15132743	-0.22267996	-0.23239437	0.8279221	0.003253796	0.19627234	-0.007763402
1961	0.07263923	0.019548872	-0.19313432	-0.15558912	-0.16666667	0.38204592	-0.033776868	0.10097133	-0.024958232
1962	0.06139666	-0.031209363	-0.23277026	-0.16260011	-0.13815789	0.41505793	-0.0664794	0.02697032	0.00847695
1963	0.016824085	-0.06277533	-0.19050956	-0.14936128	-0.16167665	0.39037433	-0.04222821	-0.09768447	0.01698836
1964	0.06359257	0.04525386	-0.2372093	-0.11939636	-0.12707183	0.3507109	-0.04978903	0.29713044	0.016594272
1965	0.0877853	0.03869654	-0.17027323	0.046550095	-0.14285715	0.35407406	-0.011844332	0.114642575	0.012374504
1966	0.018341893	0.018867925	-0.12592784	-0.2205527	-0.14830509	0.37340876	-0.027509294	0.0959289	0.001009767
1967	-0.025856834	-0.040983606	-0.14974359	-0.1858167	-0.12549019	0.25062972	-0.055238094	0.086461596	-0.002721725
1968	0.15049505	-0.05970149	-0.13380952	-0.2145089	-0.15789473	0.28953773	-0.14093207	0.12577975	-0.007008299
1969	0.19068788	0.06081081	-0.102766976	-0.28592837	-0.0945946	0.5667075	0.017973855	0.011673014	0.010589417
1970	0.12361702	0.08024691	-0.062176656	-0.23146853	-0.14772727	0.56392694	-0.014314928	0.17478067	0.015297195
1971	0.092387095	0.074285716	-0.11789618	-0.30897728	-0.123655915	0.55487806	-0.10989534	0.043131888	0.005040554
1972	-0.029491525	0.09793814	-0.11457213	-0.3005759	-0.13238771	0.5625	-0.10143043	-0.011143469	-0.001498525
1973	-0.0887	0.1	-0.112740286	-0.3592437	-0.16293278	0.6178862	-0.060643062	0.19261838	0.008202303
1974	-0.12052239	0.15354331	-0.20684543	-0.33699325	-0.14930555	0.5777778	-0.023014106	0.050107215	4.77575E-4
1975	-0.1828611	-0.0125	-0.3660508	-0.4079602	-0.20301783	0.34375	-0.1600963	-0.017305603	0.007258957
1976	-0.14269036	0.046703298	-0.39848697	-0.26185566	-0.24282296	0.42771083	-0.19822486	0.0972017	-0.006910847
1977	-0.118795455	0.042079207	-0.38113207	-0.2909968	-0.21345952	0.5229885	-0.13098729	0.037408736	0.006068964
1978	-0.16333981	0.02360515	-0.43255815	-0.33932853	-0.22113676	0.486911	-0.12884238	0.04214891	0.014844738
1979	-0.10932787	0.039473683	-0.44128114	-0.34134614	-0.22359736	0.49756098	-0.08075397	-0.034257427	0.009420863
1980	-0.1312336	0.036858972	-0.44533333	-0.34685314	-0.24624625	0.5091743	-0.12489423	-0.018200824	0.00544171
1981	-0.094339624	-0.011889036	-0.4556213	-0.36871508	-0.34816247	0.43404254	-0.11633737	0.002078501	0.002434576
1982	-0.07955801	-0.06169965	-0.44391024	-0.28708133	-0.31164178	0.39271256	-0.1715167	0.042103365	0.012154809
1983	-0.093333334	-0.09958071	-0.39401495	-0.2923077	-0.37472647	0.45381525	-0.25705096	0.060387556	0.006708629
1984	-0.07358491	-0.095423564	-0.45142296	-0.30743244	-0.3415024	0.48818898	-0.21765673	0.008535542	0.014037562
1985	-0.036363635	-0.0415879	-0.5029985	-0.35410765	-0.33299494	0.53667957	-0.22434746	-3.62031E-4	0.010351535
1986	-0.04310345	-0.019748654	-0.46274266	-0.36206895	-0.33349875	0.5568182	-0.2233441	0.083459705	0.007174365
1987	0.0	0.034728408	-0.40980926	-0.35454544	-0.28994384	0.5793358	-0.14910358	0.011052246	0.009594068
1988	0.03937008	0.072790295	-0.4116129	-0.35496956	-0.27172276	0.7553957	-0.14580984	0.034065127	0.005544991
1989	0.052238807	0.08903545	-0.25549853	-0.26434427	-0.31827515	0.8356164	-0.13342659	0.025521556	-0.001127235
1990	-0.088607594	0.08814353	-0.20732771	-0.24584104	-0.2894198	0.76848876	-0.1763767	-0.07992203	-0.001853673
1991	-0.19662921	0.08757485	-0.2514795	-0.21551724	-0.31241915	0.6280788	-0.20329255	-0.67009705	0.004906583
1992	-0.3018868	0.04140351	-0.23667249	-0.18312103	-0.3377404	0.6944444	-0.21013391	-1.8523778	0.010017274
1993	-0.25225225	-0.047936086	-0.10114006	-0.24409449	-0.30703363	0.6177106	-0.18099901	-1.1072066	0.014131472
1994	-0.26447934	-0.15969132	-0.16690461	-0.34369293	-0.29422873	0.84252	-0.1390067	-1.6029822	0.010874205
1995	-0.23501909	-0.27144656	-0.15219642	-0.4432914	-0.2814238	0.28230503	-0.10813486	-0.5077562	0.01205926
1996	-0.19069465	-0.22827646	-0.12844819	-0.42523584	-0.2518598	0.75091356	-0.0688241	-0.43812695	0.009544437
