year	dza	ago	ben	bwa	bfo	bdi	cmr	capeverde	caf	tcd	comoroislands	cog	civ	dji	egy	equatorialguinea	eth	gab	gmb	gha	gin	gnb	ken	lso	lbr	lby	mdg	mwi	mli	mrt	mauritius	mar	moz	nam	ner	nga	rwi	SaoTom��Principe	sen	seychelles	sle	som	zaf	sdn	swz	tza	tgo	tun	uga	cod	zmb	zwe
1890	957	644	865	300	405	300	531		593	365		843	831		830		369	2186		516	300	300	396	300	757	639	603	300	390	377		809	1180	1105	527	558	300		1005			300	1276	544	300	350	528	757	491	400	300	300
1891																																																				
1892																																																				
1893																																																				
1894																																																				
1895																																																				
1896																																																				
1897																																																				
1898																																																				
1899																																																				
1900	1013	692	916	300	420	300	559		615	379		887	879		841		383	2301	863	553	300	300	420	300	922	648	621	300	405	397		842	1268	1050	547	570	400		1064		506	400	1213	564	300	371	559	814	521	414	300	400
1901																																																				
1902																																																				
1903																																																				
1904																																																				
1905																																																				
1906																																																				
1907																																																				
1908																																																				
1909																																																				
1910																																																				
1911																																																				
1912																																																				
1913	1163	685	903	300	416	388	552		609	376		876	867		1041		436	2272	863	938	300	300	419	300	931	802	670	300	401	392		883	1137	2520	542	647	589		1049		511	893	1548	642	400	371	551	883	520	394	347	812
1914																																																				
1915																																																				
1916																																																				
1917																																																				
1918																																																				
1919																																																				
1920																																																				
1921																																																				
1922																																																				
1923																																																				
1924																																																				
1925	1313	673	851	300	401	430	523		587	362		830	817		1005		413	2154	685	896	300	300	513	300	896	774	898	300	386	372		924	1092	1804	522	661	654		988		592	1093	1605	701	593	412	519	997	577	394	311	728
1926																																																				
1927																																																				
1928																																																				
1929	1377	706	839	300	398	438	516		582	359		820	806		1007		410	2127	575	959	300	300	526	300	888	776	765	300	383	367		1079	1092	1912	518	671	665		974		543	1120	1656	706	628	379	512	1080	587	411	333	779
1930																																																				
1931																																																				
1932																																																				
1933	1377	683	763	300	381	440	492		592	365		844	733		1025		405	2190	486	740	300	300	503	300	999	747	753	300	367	339		978	948	1058	496	595	668		887		482	1081	1490	616	589	334	440	965	569	393	428	710
1934																																																				
1935																																																				
1936																																																				
1937																																																				
1938	1357	745	854	300	402	350	544		608	375		880	820	1441	1052		437	2284	498	942	300	300	570	300	1014	849	835	300	387	373		1080	1065	1599	523	666	532		992		631	1178	1993	709	678	376	486	1044	622	489	615	903
1939																																																				
1940																																																				
1941																																																				
1942																																																				
1943																																																				
1944																																																				
1945																																																				
1946																																																				
1947																																																				
1948																																																				
1949																																																				
1950	1365	1052	1084	349	474	360	671	450	772	476	560	1198	1041	1500	910	540	390	3108	607	1122	303	289	651	355	1055	857	951	324	457	464	2490	1455	1133	2160	617	753	547	820	1259	1912	656	1057	2535	821	721	424	574	1115	687	570	661	701
1951	1347	1076	1063	355	487	374	687	455	790	486	581	1222	1058	1546	905	561	395	3204	627	1134	317	306	771	370	1090	925	972	332	464	477	2540	1458	1155	2176	630	792	567	818	1281	2019	685	1098	2591	837	745	466	584	1106	642	624	688	722
1952	1376	1101	1043	359	500	379	704	461	809	497	587	1245	1075	1554	900	572	399	3302	632	1084	322	323	667	375	1097	963	992	339	472	490	2528	1460	1178	2191	642	830	574	817	1303	2050	697	1112	2619	855	751	464	593	1220	664	668	715	724
1953	1369	1126	994	366	512	388	720	467	827	507	598	1267	1092	1575	894	587	415	3401	640	1202	329	342	633	384	1113	949	1012	347	480	504	2530	1468	1199	2223	654	831	584	817	1324	2084	714	1132	2675	871	762	437	602	1244	675	693	743	760
1954	1437	1079	1002	372	526	402	737	460	845	518	619	1290	1110	1622	889	610	408	3504	660	1317	343	408	687	399	1147	915	1032	355	488	517	2587	1476	1207	2292	667	867	604	850	1346	2174	744	1175	2763	889	787	461	611	1249	648	720	772	772
1955	1445	1148	982	377	539	408	754	463	864	529	625	1313	1127	1632	885	620	422	3611	664	1200	349	389	718	405	1156	1115	1052	354	496	531	2587	1483	1259	2310	679	865	610	764	1367	2164	760	1191	2830	907	793	460	621	1164	672	734	736	808
1956	1553	1110	962	383	554	416	771	469	881	540	635	1334	1144	1651	905	636	428	3718	671	1236	357	439	736	413	1170	1314	1072	376	504	545	2594	1451	1242	2339	692	821	620	806	1388	2143	777	1211	2914	976	803	454	630	1223	690	768	803	892
1957	1693	1197	941	388	568	424	788	453	899	552	645	1356	1162	1668	925	648	417	3827	678	1241	363	465	738	422	1183	1325	1092	383	512	558	2613	1420	1246	2370	704	830	628	799	1409	2186	795	1232	2951	936	814	452	639	1159	700	776	817	924
