iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181	g_182	g_183	g_184	g_185	g_186	g_187	g_188	g_189	g_190	g_191
"RWA"			755880.0	364845.0				180				155056.0											430322		1928543								960	67884		695744.0				275264.0		7085												78782		1445840.0									59540.0																		3257.0		13325						6000									107704					3285			33363																	45577.0				1742											10403556											1261														1562																										33350
"SEN"				1380.0									5818024		10006843	15534292		14484100		6507903	3170963		968397		2255169		168403		2425206.0								7358130						79554			1655243							168900	6236009	85030185			592975079	335093																																																																											4857234	168900																																																								
"SLE"	282000		1151000.0	66445.0			6.0				395.0	2962.0																								31.0																									10554	31000	3999																																																																																																																																
"SOM"																																																																																																																																																																																															
"ZAF"									8888000.0	24467000		2237000.0							16851000																																					334000.0											176000		31000	794000.0	990000		528000.0																																																																																																																						
"SDN"											25.0	306.0				743										196.0						409																									3698.0																										48.0																																																																																																												
"SWZ"																																																																																																																																																																																															
"TZA"		191200.0									188582.0																		1111429.0				85900							739657.0																	495405.0																																																																																																																																						
"TGO"		2092.0		3252.0									10277				1223										3680					589			715.0		760										267				1843			336																																																																									10752					839					44222											597																																											
"TUN"																																																																													29959	60018	6681	7349	519		43270.0	4616	130951	443	16186	22392	1466	17034	106763	161990	107230	8475	4	197	7571	2097	2405	25656	195	3105	6118	40	936	45	1811	39995																																																									417968															161000											
"UGA"							55000.0					502000.0																								39000.0				1284000.0																	2486000.0									306000																																													403000																																																																																
"ZMB"																																		101000																															19052.0	26744							231000.0	71103																																																																																																																					
"ZWE"										2365000		284000.0																						838000																															340000.0	328000	733000	392000																																																																																																																											
