iso	ln_tradecost
"SOM"	3.2243870384158733
"DZA"	3.370493085895996
"SLE"	4.570074078720293
"SEN"	3.9970160441983
"LBR"	3.03551243527167
"DJI"	2.9376005935626326
"GAB"	3.194590699129038
"TUN"	1.2367628271128766
"AGO"	4.41797553837824
"EGY"	4.857269354023254
"LBY"	1.2835502161064956
"BEN"	4.700350518939383
"MAR"	4.72166706232227
"GNB"	2.467926820686843
"GMB"	2.869668373833927
"GNQ"	4.036796726612891
"ZAF"	6.406909596746322
"SWZ"	5.816089025503528
"NAM"	6.351464903604313
"CMR"	5.31241491519417
"MRT"	6.3589162045646
"TGO"	5.127268580502544
"MDG"	5.744798102772012
"NGA"	6.0742561352172135
"MOZ"	4.963944365419061
"MWI"	6.147093277495324
"COG"	6.243673045803638
"ERI"	4.974340407212919
"GIN"	6.085214408797346
"CIV"	5.860687536399387
"GHA"	5.36453187634493
"TZA"	5.389185711351894
"KEN"	6.412091836159481
"ZMB"	7.204421530765576
"BWA"	7.347768130221424
"BDI"	7.609124910010193
"ZWE"	6.996302920381434
"RWA"	7.6310353015195025
"COD"	7.126145559193415
"UGA"	7.382607137160093
"MLI"	7.168053295143971
"SDN"	7.105311154170156
"NER"	7.211880910323411
"LSO"	6.649317816012376
"CAF"	7.20197571361717
"ETH"	6.951530447650391
"BFA"	7.139854119539474
"TCD"	7.47272119649246
