iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181
"MLI"	115620	83495.0	0.0	7007303.0	57841	0	1.5239854E7	0	0.0	255621	5.989154E7	0	15118225	5013321	258528	2492700	3007445	3058405	89995	0	94651	0	338942	3951	188013	167715	321184	274852	143.0	47333	12465	25640	3736	2468	306050	259102.0	15849	21799	24496	21602	120	18370	147413	198430	103940	0	22770	55623	9192	1068	1062270	21619	0	1134091	10740942	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRT"	115620	83495.0	0.0	7007303.0	57841	0	1.5239854E7	0	0.0	255621	5.989154E7	0	15118225	5013321	258528	2492700	3007445	3058405	89995	0	94651	0	338942	3951	188013	167715	321184	274852	143.0	47333	12465	25640	3736	2468	306050	259102.0	15849	21799	24496	21602	120	18370	147413	198430	103940	0	22770	55623	9192	1068	1062270	21619	0	1134091	10740942	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAR"													7595496			73385		3077443	4895135				393775		2090793																										192												481725																																					252555																																																275742																	73952		540018						184460		1360611	632250	40150	1024224	3754456		
"MOZ"		455786.4									130153.4																		1338.48																												6446.8													65945.6													256408.6																																																																																																		
"NAM"									1488.8																																																															319.3																																																																																																													
"NER"																																																																														488784			11005		2212205.0		876461			16087					75195															2250																																																																									
"NGA"			3110000.0	1854384.0	157480		89995.0				174716.0																																													567959	159223.0																																																																																																																												
"COG"																																																																													5200	71592	6847		3221194		469.0	28506	16170569		1950			12584	49878	18878	649742	15774		2411	16856	8243	4917	331995	9744	29964	128759	1777	2591	1174	210	131371																																																									15481																
"RWA"																																																																																																																																																																																					
"SEN"																																																																													637514	1190363	65956		3345		5.808614E7	122710	2637418	103	12067	2469		25737	84177	9234416	78907	5115	376	2370	11999	7105	29006	159844	30437	11687		8794	79830	2688	2485	88792	261715																																																								54260																
"SLE"	328003		920943.0	56659.0			1929.0	354			488.0	4249																								1178.0																									565	35468	2682	26																																																																																																																					
"SOM"																																																																																																																													193736															1229511																																									
"ZAF"									1.2016525E7	37589399		794937							5719288																																					381042											15143		2953587	309329.0	3113	156748.0	292607.0																																																																																																												
"SDN"											9.0	56				381										108						22																									157.0																										33.0																																																																																																		
"SWZ"																																																																																																																																																																																					
"TZA"		2348012.0					6568154.0					5490221			2415067								1414857						1.0711591E7											931260														408144																																																																																																																															
"TGO"				25900.0	16660		18029.0						127905		29101		21505																																		14409																																																																																																																																		
"TUN"																																																																													12122	5544	2502	5209	78		2937.0	208	18885	137	3273	3702	605	1433	4201	50168	23713	1673		2	643	195	43	3121	52	211		4	366	11	570	5328	499																																																								31169															49600	
"UGA"							7280.0				5570.0	45953			254379								117		33612							11335	43	477		44673.0				8970										12408		538													6205						341					31	59	1449					17135.0		157																													11349			47742	13683	1805	85	758																																																												
"ZMB"																																		1640																															25058	25266																																																																																																																			
"ZWE"										2887201		21564																						51334																																24014	2496	141494																																																																																																																	
