year	P_1	P_2	P_3	P_6	P_7	P_8	P_9	P_10	P_11	P_14	P_16	P_19	P_24	P_26	P_27	P_29	P_34	P_36	P_40	P_51	P_52	P_56	P_57	P_58	P_62	P_66	P_67	P_68	P_69	P_70	P_71	P_73	P_76	P_77	P_83	P_92	P_93	P_115	P_116	P_125	P_126	P_137	P_140	P_165	P_179	P_180	P_185	P_187	P_188	P_198
1890																																																		
1891																																																		
1892																																																		
1893																																																		
1894																																																		
1895																																																		
1896																																																		
1897																																																		
1898																																																		
1899																																																		
1900	0.788961	1.2070781	1.1579422	0.89536935	111.09	2.0706244	5.9716783	20.67184	15.206097	9.236436	2.1335382	0.039475918	0.4263928	2.5068488	1.550806	3.9968944	0.045835044	40.312874	3.34984	0.33997527	0.83548445	131.62428	2.607677	0.788961	2.3341944	0.2276547		0.89536935	0.81576055	2.242556	33.19	74.23087	0.03559564	10.953398	0.6201201	8.973436	7.577005	2.018224	0.2507663	5.165118	8.715	0.031700853	2.4698446	0.33997527	0.319867	1.5153164	38.283295	0.19481851	0.02469679	1.19
1901	0.7481642	1.2426282	1.1307917	0.8200856	97.82	1.9654737	5.9716783	20.67184	14.849556	8.645201	2.1547854	0.03130414	0.39285278	2.53079	2.1144545	4.137751	0.05156758	38.040794	3.4683108	0.3311126	0.824915	119.09591	2.5690958	0.7481642	2.2012615	0.24112466		0.8200856	1.159862	2.8362243	26.86	69.89583	0.0319723	10.72167	0.5928457	8.947422	6.7539144	2.130745	0.26164457	5.211442	8.376	0.029947449	2.449784	0.3311126	0.32192138	1.5546141	37.57057	0.191838	0.02940119	0.96
1902	0.8183259	1.450726	1.1613166	0.7731897	94.88	1.9337381	5.9716783	20.67183	15.250411	9.410753	1.8829126	0.031271897	0.3780308	2.4669702	1.996765	3.6201863	0.043950006	36.8015	2.8354747	0.3343096	0.825412	118.18585	3.3720925	0.8183259	2.1797192	0.263258		0.7731897	1.231644	2.444478	21.46	54.152462	0.030008405	11.602749	0.5984006	8.787118	6.9955506	2.2874994	0.27889225	5.1640344	7.412	0.02914802	2.5759783	0.3343096	0.33263317	1.518181	34.669407	0.19318615	0.03409758	0.8
