iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181	g_182	g_183	g_184	g_185	g_186	g_187	g_188	g_189	g_190	g_191	g_192	g_193	g_194	g_195	g_196	g_197	g_198	g_199	g_200	g_201	g_202	g_203	g_204	g_205	g_206	g_207	g_208	g_209	g_210	g_211	g_212	g_213	g_214	g_215	g_216	g_217	g_218	g_219	g_220	g_221	g_222	g_223	g_224	g_225	g_226	g_227	g_228	g_229	g_230	g_231	g_232	g_233	g_234	g_235	g_236	g_237	g_238	g_239	g_240	g_241	g_242	g_243	g_244	g_245	g_246	g_247	g_248	g_249	g_250	g_251	g_252	g_253	g_254	g_255	g_256	g_257	g_258	export_total
"COG"				3.93	1.45			56.35					4.48																											0.86						1.42												1.85	1.2															2.02																																												15.01																																																																																																																																													88.57
"RWA"																																								423.0														113.0																						3																																																																																																																																																																		2814				153		64															3570.0
"SEN"											46.99	4.5																																		231.85													228.8																																								6.12																			39.05																																															11.15															25.43																						19.26																																																									613.15
"SLE"	300		5834	546.0	1392.0																																			1398.0														1058.0								146						8234.0																																																																																																																																																																	24230	8716																													51854.0
"SOM"												15.3								0.3				74.4																														11.1											40.9														4.8																																				3.0																																0.1																																																				9.8							2.1																																							1.5	0.9													164.2
"ZAF"						15810					9048.0														14027.0																													284817.0	121257											28554	35981.0			9133	21342.0	2516																																									18595																																				10339																																											31344.0											29201					10467	10175	107346	27937	12478	10982	21585	8578	14407	9559	37569	8057	17121	26406	17454	12171	65486	31223	8352	136464																																1225781.0
"SDN"																20018.0																7984.0																						13336.0				12608.0																								4000																																								7996					95092.0																												13182																																																																																																								174216.0
"SWZ"																																0.6	0.4																					0.6											1.0		5.6				2.6																																																																																																																									0.2																																				1																															12.0
"TZA"									13.2			5.0			24.6														43.1											20.4																																																																																																																																																																																																																											158.5
"TGO"		3.27			27.63								9.73																											12.73																			1.38																																																											5.0									7.23								4.79																																																																																																																												71.76
"TUN"																																																																				3325.0						1412.0																																												10548.0										1297																																					5222.0										1724.0					6326.0			1717.0		6011		7457.0					1605.0		2624	999																																																																50267.0
"UGA"								147.0																																18509.0																												102.0																							46	711	3713	29						15005																		15.0																						1146							79.0																						18																																		168	2094																																																							42768.0
"ZMB"											0.8																							1.9																				2.5																				0.9	2.0																																																																																																																																																																													31.3	88.3	1.5									129.2
"ZWE"																																																																																														568																					3675.0																																																																																								855	492		703.0																																					23851								830	31497	585	2065	2464	153	673	469	68880.0
