year	p31	p46	p56	p30	p64	p39
2007	523.2167	2970.606	5161.4736	57.677902	11.25	424.02502
2008	624.5333	3427.8767	5949.4233	96.72727	11.594685	430.4
2009	1311.6571	3416.1963	6344.794	80.5	13.188406	497.7
2010	1542.6667	3407.9482	7208.1943	87.916664	18.915663	535.1
2011	1743.3286	3477.923	7118.587	117.01492	19.585062	498.63333
2012	2387.5286	3754.3408	7293.307	144.15584	15.26087	322.35
2013	1319.0	3865.8	6931.75	120.50473	14.816754	397.95
2014	921.39996	3376.685	6990.704	99.58159	14.4600935	604.45
2015	964.9667	3233.8364	6047.573	115.30612	17.153847	630.65
