STU_ID	weights_notvc	weights_tvc	weights_all_pscore
101104.0	1.0	1.0	1.0
101105.0	1.0	1.0	1.0
101106.0	1.0	1.0	0.9999999999999999
101108.0	1.0	1.0	1.0
101109.0	1.0		1.0
101111.0	1.0	1.0	1.0
101112.0	1.0		1.0
101115.0	1.0	1.0	1.0
101118.0	1.0	1.0	0.9999999999999999
101121.0	1.0	1.0	1.0
101122.0	1.0	1.0	1.0
101126.0	1.0	1.0	1.0
101127.0	1.0	1.0	1.0
101129.0	1.0	1.0	1.0
101131.0	1.0	1.0	1.0
101201.0	1.0	1.0	1.0
101207.0	1.0	1.0	1.0
101210.0	1.0	1.0	1.0
101211.0	1.0	1.0	1.0
101212.0	0.6654061966333252		4.400208919942778
101214.0	1.0	1.0	1.0
101221.0	0.9315686752866553	0.6160495419945814	4.547639897583732
101222.0	1.0	1.0	1.0
101223.0	1.0	1.0	1.0
102101.0	1.0	1.0	1.0
102104.0	1.0	1.0	1.0
102106.0	1.0	1.0	1.0
102108.0	1.0	1.0	1.0
102111.0	1.0	1.0	0.9999999999999999
102113.0	1.0		1.0
102117.0	1.0	1.0	1.0
102118.0	1.0	1.0	1.0
102120.0	1.0	1.0	1.0
102122.0	1.0	1.0	0.9999999999999999
102208.0	1.0	1.0	1.0
102209.0	1.0	1.0	1.0
102211.0	1.0	1.0	1.0
102212.0	1.0	1.0	1.0
102213.0	1.0	1.0	1.0
102215.0	1.0	1.0	1.0
102216.0	1.0	1.0	1.0
102217.0	1.0	1.0	1.0
102218.0	1.0	1.0	1.0
102219.0	1.0		1.0
102223.0	1.0	1.0	1.0
102224.0	1.0	1.0	1.0
102226.0	1.0	1.0	1.0
102227.0	1.0	1.0	1.0
102234.0	1.0	1.0	1.0
103104.0	1.0	1.0	1.0
103109.0	1.0	1.0	0.9999999999999999
103111.0	1.0	1.0	1.0
103116.0	1.0	1.0	1.0
103118.0	1.0	1.0	1.0
103122.0	1.0	1.0	1.0
103125.0	1.0	1.0	0.9999999999999999
103127.0	1.0	1.0	1.0
103129.0	1.0	1.0	1.0
103162.0	0.13308123932666505		5.79941298193257
103203.0	1.0	1.0	0.9999999999999999
103205.0	1.0	1.0	1.0
