scenario_id,scenario_number,true_lag_order,rho_D,carryover,N,T,replication,seed,estimator_id,estimator,selection_criterion,selected_lag,selection_correct,control_spec,beta_true,beta_hat,se,ci_lower,ci_upper,coverage_cet,residual_acf1,aic,bic,nobs,n_clusters,condition_number,delta_z_lag_minus_none,delta_z_contemporaneous_minus_none,status,error_stage,error_message
"L1_RD20_CO00",1,1,0.2,0,100,30,1,14172027,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_contemporaneous",1,0.995816936243039,0.017903537058625,0.960726648412256,1.03090722407382,TRUE,-0.0385217229019152,-133.242715915945,-109.217245645344,3000,100,8.10160643312474,-0.0374848523308049,-0.0483922562596052,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"no_Z",1,1.03876557689544,0.0198749085054786,0.999811472028674,1.07771968176221,TRUE,-0.00598028799769558,76.7019372924565,94.7210399954072,3000,100,7.67639997484268,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_lag",1,0.99752253835123,0.0195913592996216,0.959124179715787,1.03592089698667,TRUE,0.000554658123822625,-75.5838478049844,-51.5583775343834,3000,100,7.30722128522406,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_contemporaneous",1,0.993100488859903,0.0205518947737001,0.952819515289393,1.03338146243041,TRUE,-0.0291467403649589,-4.86158098438132,19.1638892862197,3000,100,7.25815326593745,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"no_Z",1,1.03868486310472,0.0198814327351479,0.999717970982776,1.07765175522667,TRUE,0.00238870121621357,79.8621960982251,109.894033936476,3000,100,19.6150603920097,-0.0412007131315418,-0.0455400843666798,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_lag",1,0.99748414997318,0.0196326838638977,0.95900479668008,1.03596350326628,TRUE,0.00121127331388971,-72.1120442621127,-36.0738388562112,3000,100,18.6767565272163,-0.0412007131315418,-0.0455400843666798,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"Z_contemporaneous",1,0.993144778738042,0.0205470676435522,0.952873266168772,1.03341629130731,TRUE,-0.0231619263628571,-1.26745775031369,34.7707476555878,3000,100,19.0486504558577,-0.0412007131315418,-0.0455400843666798,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"no_Z",1,1.03876557689544,0.0198749085054786,0.999811472028674,1.07771968176221,TRUE,-0.00598028799769558,76.7019372924565,94.7210399954072,3000,100,7.67639997484268,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_lag",1,0.99752253835123,0.0195913592996216,0.959124179715787,1.03592089698667,TRUE,0.000554658123822625,-75.5838478049844,-51.5583775343834,3000,100,7.30722128522406,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_oracle","ADL, true lag order","oracle",1,TRUE,"Z_contemporaneous",1,0.993100488859903,0.0205518947737001,0.952819515289393,1.03338146243041,TRUE,-0.0291467403649589,-4.86158098438132,19.1638892862197,3000,100,7.25815326593745,-0.0412430385442116,-0.0456650880355385,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,2,14172028,"adl_aic","ADL, AIC-selected lag","AIC",3,FALSE,"no_Z",1,1.03874433873761,0.0197872742430363,0.999961993869045,1.07752668360618,TRUE,0.000622086031335485,74.4432506577698,116.487823631322,3000,100,27.9828121256963,-0.0413424070367863,-0.0453910908981339,"ok",NA,NA
