"example","cell","graph","procedure","quantity","expected_sign","computed_sign","check_status"
"E1","E1-central","known_class","P","d_add","negativo","negativo","PASS"
"E1","E1-central","known_class","P","signed_removal","positivo","positivo","PASS"
"E1","E1-central","known_class","P","d_total","zero","zero","PASS"
"E1","E1-central","known_class","Cplus","d_add","negativo","negativo","PASS"
"E1","E1-central","known_class","Cplus","signed_removal","positivo","positivo","PASS"
"E1","E1-central","known_class","Cplus","d_total","zero","zero","PASS"
"E1","E1-menos","known_class","P","d_add","negativo","negativo","PASS"
"E1","E1-menos","known_class","P","signed_removal","positivo","positivo","PASS"
"E1","E1-menos","known_class","P","d_total","negativo","negativo","PASS"
"E1","E1-menos","known_class","Cplus","d_add","negativo","negativo","PASS"
"E1","E1-menos","known_class","Cplus","signed_removal","positivo","positivo","PASS"
"E1","E1-menos","known_class","Cplus","d_total","negativo","negativo","PASS"
"E1","E1-mais","known_class","P","d_add","negativo","negativo","PASS"
"E1","E1-mais","known_class","P","signed_removal","positivo","positivo","PASS"
"E1","E1-mais","known_class","P","d_total","positivo","positivo","PASS"
"E1","E1-mais","known_class","Cplus","d_add","negativo","negativo","PASS"
"E1","E1-mais","known_class","Cplus","signed_removal","positivo","positivo","PASS"
"E1","E1-mais","known_class","Cplus","d_total","positivo","positivo","PASS"
"E1","E1-nulo","known_class","P","d_add","zero","zero","PASS"
"E1","E1-nulo","known_class","P","signed_removal","zero","zero","PASS"
"E1","E1-nulo","known_class","P","d_total","zero","zero","PASS"
"E1","E1-nulo","known_class","Cplus","d_add","zero","zero","PASS"
"E1","E1-nulo","known_class","Cplus","signed_removal","zero","zero","PASS"
"E1","E1-nulo","known_class","Cplus","d_total","zero","zero","PASS"
"E2","G_M","G_M","P","delta","negativo","negativo","PASS"
"E2","G_M","G_M","Cplus","delta","negativo","negativo","PASS"
"E2","G_F","G_F","P","delta","negativo","negativo","PASS"
"E2","G_F","G_F","Cplus","delta","negativo","negativo","PASS"
