"graph","D_from","D_to","Y_under_D_from","Y_under_D_to","computed_total_effect","target_total_effect","source","abs_error","tolerance","pass"
"G_M",0,1,0,2,2,2,"equacoes_SCM_sinteticas_sob_do_D",0,3e-10,TRUE
"G_F",0,1,0,1,1,1,"equacoes_SCM_sinteticas_sob_do_D",0,2e-10,TRUE
