"example","cell","procedure","same_rows","common_intercept","common_D_values","transformation"
"E1","E1-central","C0",TRUE,TRUE,TRUE,"identidade"
"E1","E1-central","Cplus",TRUE,TRUE,TRUE,"identidade"
"E1","E1-central","P",TRUE,TRUE,TRUE,"identidade"
"E1","E1-menos","C0",TRUE,TRUE,TRUE,"identidade"
"E1","E1-menos","Cplus",TRUE,TRUE,TRUE,"identidade"
"E1","E1-menos","P",TRUE,TRUE,TRUE,"identidade"
"E1","E1-mais","C0",TRUE,TRUE,TRUE,"identidade"
"E1","E1-mais","Cplus",TRUE,TRUE,TRUE,"identidade"
"E1","E1-mais","P",TRUE,TRUE,TRUE,"identidade"
"E1","E1-nulo","C0",TRUE,TRUE,TRUE,"identidade"
"E1","E1-nulo","Cplus",TRUE,TRUE,TRUE,"identidade"
"E1","E1-nulo","P",TRUE,TRUE,TRUE,"identidade"
"E2","G_M","C0",TRUE,TRUE,TRUE,"identidade"
"E2","G_M","Cplus",TRUE,TRUE,TRUE,"identidade"
"E2","G_M","P",TRUE,TRUE,TRUE,"identidade"
"E2","G_F","C0",TRUE,TRUE,TRUE,"identidade"
"E2","G_F","Cplus",TRUE,TRUE,TRUE,"identidade"
"E2","G_F","P",TRUE,TRUE,TRUE,"identidade"
