"example","cell","procedure","model","n","columns","rank","full_rank","kappa_design","kappa_gram","max_abs_normal_equation","row_id_signature"
"E1","E1-nulo","Cplus","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-nulo","Cplus","U",8,4,4,TRUE,4.04891733952231,16.3937316222844,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-nulo","Cplus","aux_Z",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-nulo","Cplus","aux_L",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","P","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","P","T",8,3,3,TRUE,2.6180339887499,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","C0","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","C0","T",8,3,3,TRUE,2.6180339887499,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","Cplus","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","Cplus","T",8,3,3,TRUE,2.6180339887499,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_M","Cplus","aux_Z",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","P","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","P","T",8,3,3,TRUE,2.6180339887499,6.85410196624968,1.11022302462516e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","C0","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","C0","T",8,3,3,TRUE,2.6180339887499,6.85410196624968,1.11022302462516e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","Cplus","S",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","Cplus","T",8,3,3,TRUE,2.6180339887499,6.85410196624968,1.11022302462516e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E2","G_F","Cplus","aux_Z",8,2,2,TRUE,1,1,0,"x000|x001|x010|x011|x100|x101|x110|x111"
