covariate,beta_h,tau_Z,CE_k
gpi,0.00974926698501637,0.0466549282382661,-0.000454851351561636
perc_trade_with_us,-0.00252525455219388,-0.0556973319132387,-0.000140649940958959
perc_trade_with_china,-0.00322908565833028,1.35381149316201,0.00437157327665216
pci_cur,0.00514140627725196,0.0687130507882773,-0.000353281710651982
exachange_rate,-0.0188202406875548,-0.00542482738919141,-0.000102096557153022
distance_us,8.06567089526494e-18,4.69934721357337e-17,-3.79033880472631e-34
us_power_gap,-0.00824153881785506,-0.0394397243106444,-0.000325044018871677
hog_left,-0.0110994340704575,0.0727221185120665,0.000807174359888678
CA_GDP,-0.0193564676167718,-0.201803808508766,-0.00390620888434115
govdef_GDP,0.0754344922729029,0.215012560686922,-0.0162193633477147
inst_parliamentary,0.000549086326983127,-0.00234615218240974,1.28824008438282e-06
inst_military_exec,-0.0120472273909836,0.0143112421941508,0.000172410788960374
us_trade_agreement,0.012562534454381,-0.0579115315161032,0.000727515609977015
