estimator,tau_short,tau_long,tau_hybrid,IVB,CE,RE,beta_h,tau_Z,CE_fwl
SDiD,1.67291213906452,1.15120448419973,1.36200653591251,-0.521707654864792,-0.310905603152014,-0.210802051712778,0.285480520800825,1.08906065562676,-0.310905603152014
TWFE_sdid_w,1.67291213906452,1.06666092031217,,-0.60625121875235,-0.60625121875235,0,0.556673510901422,1.08906065562676,-0.60625121875235
TWFE_unif_w,1.68538439596211,1.01458037243367,,-0.670804023528436,-0.670804023528436,0,0.536891920752853,1.24942096835394,-0.670804023528436
