candidate_collider,beta_short,beta_long,theta,pi,ivb_formula,ivb_direct,abs_ivb,sample_n
X_indep,-0.278067238052943,-0.318940371263157,2.22556973543922,0.0183652448895958,-0.0408731332102141,-0.0408731332102142,0.0408731332102141,491
X_inflation_ep,-0.347773036082452,-0.318940371263157,-3.85574159019734,0.0074778519630564,0.0288326648192954,0.0288326648192953,0.0288326648192954,491
l1_civ_war_all_PRIO,-0.339968526797724,-0.318940371263157,-0.373982859249558,0.0562275917585181,0.0210281555345675,0.0210281555345674,0.0210281555345675,491
X_g_gdp_yoy,-0.335247066986733,-0.318940371263157,32.6838888675085,-0.000498921526433974,0.0163066957235757,0.0163066957235756,0.0163066957235757,491
l1_drought_affected_merged,-0.303961184219743,-0.318940371263157,1.69379203739202,0.00884358097849936,-0.0149791870434138,-0.0149791870434138,0.0149791870434138,491
libdem_extra_vdem,-0.305819228837323,-0.318940371263157,0.019357347718754,0.677837822436865,-0.0131211424258335,-0.0131211424258334,0.0131211424258335,491
X_secession,-0.331382948230563,-0.318940371263157,-11.0228124403914,0.00112880238457219,0.0124425769674058,0.0124425769674056,0.0124425769674058,491
X_socialist,-0.325950387236475,-0.318940371263157,-0.924522593102797,0.00758230899451787,0.00701001597331832,0.00701001597331824,0.00701001597331832,491
S_g5_unw_alliance_abs,-0.325036241630169,-0.318940371263157,2.51030726796256,-0.00242833634145514,0.00609587036701244,0.00609587036701237,0.00609587036701244,491
cr_market_accessXBOEinv,-0.324473045402749,-0.318940371263157,33.2573410442493,-0.000166359485330809,0.00553267413959251,0.00553267413959241,0.00553267413959251,491
X_external_default_RR,-0.317536617613837,-0.318940371263157,0.477621983099134,0.00293904740357918,-0.00140375364931985,-0.00140375364931977,0.00140375364931985,491
l1_int_war_all_PRIO,-0.318239266222813,-0.318940371263157,1.36440320128216,0.000513854731273858,-0.000701105040344035,-0.000701105040343986,0.000701105040344035,491
