mean_beta_short,mean_beta_long,mean_ivb,mean_ivb_formula,mean_theta,mean_pi,mean_abs_ivb_over_beta,mean_abs_ivb_over_se,mean_se_short,mean_se_long,bias_short,bias_long,rmse_short,rmse_long,coverage_short,coverage_long,mechanism,gamma_D,gamma_Y,prob_switch,N,TT,beta
0.994905599998586,0.832445007952485,-0.162460592046101,-0.162460592046101,0.275096957337457,0.590799899511162,0.162460592046101,1.66690743126211,0.102784661790788,0.098725481517693,-0.00509440000141437,-0.167554992047515,0.102192676175091,0.194074108457383,0.952,0.606,C,0.3,0.3,0.1,200,30,1
1.00651366179105,0.6076100789026,-0.398903582888449,-0.398903582888449,0.441873970607636,0.902673267265005,0.398903582888449,4.53027338056304,0.103760025110434,0.0893786479175505,0.00651366179104862,-0.3923899210974,0.105707810975265,0.402859933131426,0.952,0.012,C,0.3,0.6,0.1,200,30,1
0.994756200680674,0.746902098435393,-0.247854102245281,-0.247854102245281,0.275454645564845,0.899678154525164,0.247854102245281,2.5232699336769,0.103097426032323,0.0993589446993541,-0.00524379931932617,-0.253097901564607,0.104813864842489,0.272747700835521,0.944,0.298,C,0.6,0.3,0.1,200,30,1
0.99570511021113,0.467750832759543,-0.527954277451586,-0.527954277451586,0.441305293820294,1.1962732826687,0.527954277451586,6.02234859060336,0.102547369225841,0.0887006743363417,-0.00429488978887049,-0.532249167240457,0.105869866881939,0.540042341604754,0.95,0,C,0.6,0.6,0.1,200,30,1
0.994969385083444,0.829221115996058,-0.165748269087386,-0.165748269087386,0.275752004277411,0.601050057474061,0.165748269087386,2.76934582020923,0.0621430262355722,0.0599584551058389,-0.00503061491655565,-0.170778884003942,0.0627424944521429,0.181187425574742,0.962,0.192,C,0.3,0.3,0.3,200,30,1
0.996445905887085,0.599315126621519,-0.397130779265566,-0.397130779265566,0.440609517511957,0.90142860633948,0.397130779265566,7.37608899228558,0.0620439814455851,0.0539309605899638,-0.00355409411291541,-0.400684873378481,0.0614074931923074,0.404264529122105,0.95,0,C,0.3,0.6,0.3,200,30,1
1.00162752865395,0.754778081115232,-0.246849447538716,-0.246849447538716,0.275265470445672,0.897007170900718,0.246849447538716,4.08397173792642,0.062219620085214,0.060584223078525,0.00162752865394755,-0.245221918884768,0.0631184139562128,0.252730340649195,0.944,0.02,C,0.6,0.3,0.3,200,30,1
1.00493396602627,0.47520971159893,-0.529724254427344,-0.529724254427344,0.441652911441735,1.1994182885394,0.529724254427344,9.73445640133533,0.0621560047094497,0.0545391839313703,0.00493396602627394,-0.52479028840107,0.0652585621852947,0.527858773817752,0.93,0,C,0.6,0.6,0.3,200,30,1
0.996293964624796,0.831834803627116,-0.16445916099768,-0.16445916099768,0.274197521597798,0.599702549588885,0.16445916099768,3.31295788197411,0.0512767385453464,0.0496665063601097,-0.00370603537520375,-0.168165196372884,0.0503398629010567,0.175300071578558,0.952,0.08,C,0.3,0.3,0.5,200,30,1
0.999222865455868,0.603802225389718,-0.39542064006615,-0.39542064006615,0.440853397888933,0.897013067634477,0.39542064006615,8.82937695776672,0.0512453609869425,0.0448041551031125,-0.000777134544131641,-0.396197774610282,0.0530507787106193,0.398789380020549,0.94,0,C,0.3,0.6,0.5,200,30,1
0.998030989978512,0.751136172455619,-0.246894817522893,-0.246894817522893,0.275238114285944,0.897099809406889,0.246894817522893,4.91685977326892,0.0512132528237641,0.050242209737165,-0.0019690100214883,-0.248863827544381,0.0516726651086626,0.253892856826931,0.95,0,C,0.6,0.3,0.5,200,30,1
1.00200619337659,0.470869897413347,-0.531136295963247,-0.531136295963247,0.441795926266688,1.20217058080106,0.531136295963247,11.6972489468875,0.051212698747299,0.0454309309646252,0.0020061933765938,-0.529130102586653,0.0530959335638487,0.531262503734765,0.954,0,C,0.6,0.6,0.5,200,30,1
1.00436001378848,0.838132864395346,-0.166227149393135,-0.166227149393135,0.275556450632765,0.603172918130607,0.166227149393135,3.66753007127599,0.0467095457304312,0.0453275660990305,0.00436001378848161,-0.161867135604654,0.0466783661612585,0.168014080070446,0.942,0.056,C,0.3,0.3,0.7,200,30,1
1.00065670822518,0.605440822395951,-0.395215885829225,-0.395215885829225,0.440368086811626,0.897489950283062,0.395215885829225,9.64982431616274,0.046643116561311,0.0409592735491169,0.000656708225176272,-0.394559177604049,0.0466251386685505,0.396779363489301,0.962,0,C,0.3,0.6,0.7,200,30,1
1.00258193779432,0.755180389545422,-0.247401548248899,-0.247401548248899,0.275329340665388,0.898804019825812,0.247401548248899,5.37437434407671,0.046702907470712,0.0460372670537686,0.00258193779432081,-0.244819610454578,0.0487054321327244,0.249887323560723,0.944,0,C,0.6,0.3,0.7,200,30,1
0.998355838167905,0.467978116403708,-0.530377721764197,-0.530377721764197,0.441556832835764,1.20114106021183,0.530377721764197,12.7282683032509,0.0466655362124361,0.0416719352443737,-0.0016441618320947,-0.532021883596292,0.0479100815472618,0.533741252028624,0.952,0,C,0.6,0.6,0.7,200,30,1
