rho_Z,sigma_aZ,model,panel,value,lower,upper,bias,mcse,rmse,repetitions
0.1,0.5,ADL + FE + lagged Z,Bias relative to true beta,0.009990882896658644,0.008424870243859147,0.011556895549458142,0.009990882896658644,7.990007291725798e-4,0.020454349696303838,500
0.1,0.5,ADL + FE,Bias relative to true beta,0.04078523801057311,0.03920768401683153,0.0423627920043147,0.04078523801057311,8.048892766321885e-4,0.044572538256758554,500
0.1,0.5,TWFE + lagged Z,Bias relative to true beta,0.2711827740274744,0.26867109997050315,0.2736944480844457,0.2711827740274744,0.0012814899032752805,0.2726894990625094,500
0.1,0.5,TWFE short,Bias relative to true beta,0.36907488480457984,0.36638774892052184,0.37176202068863784,0.36907488480457984,0.0013710128886315115,0.3703433934709379,500
0.3,0.5,ADL + FE + lagged Z,Bias relative to true beta,0.00873580753202572,0.0071173154291951845,0.010354299634856257,0.00873580753202572,8.257764507904205e-4,0.0204104336022028,500
0.3,0.5,ADL + FE,Bias relative to true beta,0.04053961662718259,0.03890591613733771,0.04217331711702747,0.04053961662718259,8.335359745032567e-4,0.044611173986499116,500
0.3,0.5,TWFE + lagged Z,Bias relative to true beta,0.26046050496692535,0.25795394355939993,0.2629670663744508,0.26046050496692535,0.0012788813607274708,0.26202253314838975,500
0.3,0.5,TWFE short,Bias relative to true beta,0.3919738001695709,0.3891150161641364,0.3948325841750054,0.3919738001695709,0.0014585900700136447,0.3933256602747316,500
0.5,0.5,ADL + FE + lagged Z,Bias relative to true beta,0.009348897506491375,0.007760805930165708,0.010936989082817043,0.009348897506491375,8.102656930700416e-4,0.02037180897163164,500
0.5,0.5,ADL + FE,Bias relative to true beta,0.04293781874146036,0.04136357652512983,0.044512060957790894,0.04293781874146036,8.031995632307297e-4,0.046535748816615666,500
0.5,0.5,TWFE + lagged Z,Bias relative to true beta,0.2511122396003389,0.24860028189835426,0.25362419730232355,0.2511122396003389,0.0012816346227780997,0.2527390115176988,500
0.5,0.5,TWFE short,Bias relative to true beta,0.4317905892677963,0.42870304825575667,0.4348781302798359,0.4317905892677963,0.0015753049731493732,0.43322214194762354,500
0.7,0.5,ADL + FE + lagged Z,Bias relative to true beta,0.008101617860929763,0.006556428892326774,0.009646806829532752,0.008101617860929763,7.883762052727722e-4,0.019385128202919995,500
0.7,0.5,ADL + FE,Bias relative to true beta,0.045104982446070474,0.04352601750468098,0.04668394738745997,0.045104982446070474,8.056091611091686e-4,0.048562470031613625,500
0.7,0.5,TWFE + lagged Z,Bias relative to true beta,0.23907983988675957,0.23674288314549052,0.24141679662802862,0.23907983988675957,0.0011923467776462607,0.2405589191207055,500
0.7,0.5,TWFE short,Bias relative to true beta,0.5091292927847211,0.5057351814295155,0.5125234041399267,0.5091292927847211,0.0017317212877266729,0.5105967755695631,500
0.85,0.5,ADL + FE + lagged Z,Bias relative to true beta,0.00844139908941491,0.0069724031172833534,0.009910395061546467,0.00844139908941491,7.495015131496343e-4,0.018750246003062382,500
0.85,0.5,ADL + FE,Bias relative to true beta,0.05394905126792057,0.05240226486265666,0.05549583767318449,0.05394905126792057,7.891912389537606e-4,0.05675639801571068,500
0.85,0.5,TWFE + lagged Z,Bias relative to true beta,0.23663349927812738,0.23414093371746655,0.2391260648387882,0.23663349927812738,0.001271740491316105,0.23833266162102232,500
0.85,0.5,TWFE short,Bias relative to true beta,0.7156504159111302,0.7106024689412648,0.7206983628809956,0.7156504159111302,0.0025755304738673645,0.7179593045900733,500
0.1,0.5,ADL + FE + lagged Z,RMSE,0.020454349696303838,NA,NA,0.009990882896658644,7.990007291725798e-4,0.020454349696303838,500
0.1,0.5,ADL + FE,RMSE,0.044572538256758554,NA,NA,0.04078523801057311,8.048892766321885e-4,0.044572538256758554,500
0.1,0.5,TWFE + lagged Z,RMSE,0.2726894990625094,NA,NA,0.2711827740274744,0.0012814899032752805,0.2726894990625094,500
0.1,0.5,TWFE short,RMSE,0.3703433934709379,NA,NA,0.36907488480457984,0.0013710128886315115,0.3703433934709379,500
0.3,0.5,ADL + FE + lagged Z,RMSE,0.0204104336022028,NA,NA,0.00873580753202572,8.257764507904205e-4,0.0204104336022028,500
0.3,0.5,ADL + FE,RMSE,0.044611173986499116,NA,NA,0.04053961662718259,8.335359745032567e-4,0.044611173986499116,500
