rho_Z,sigma_aZ,model,panel,value,lower,upper,bias,mcse,rmse,repetitions
0.3,0.5,TWFE + lagged Z,RMSE,0.26202253314838975,NA,NA,0.26046050496692535,0.0012788813607274708,0.26202253314838975,500
0.3,0.5,TWFE short,RMSE,0.3933256602747316,NA,NA,0.3919738001695709,0.0014585900700136447,0.3933256602747316,500
0.5,0.5,ADL + FE + lagged Z,RMSE,0.02037180897163164,NA,NA,0.009348897506491375,8.102656930700416e-4,0.02037180897163164,500
0.5,0.5,ADL + FE,RMSE,0.046535748816615666,NA,NA,0.04293781874146036,8.031995632307297e-4,0.046535748816615666,500
0.5,0.5,TWFE + lagged Z,RMSE,0.2527390115176988,NA,NA,0.2511122396003389,0.0012816346227780997,0.2527390115176988,500
0.5,0.5,TWFE short,RMSE,0.43322214194762354,NA,NA,0.4317905892677963,0.0015753049731493732,0.43322214194762354,500
0.7,0.5,ADL + FE + lagged Z,RMSE,0.019385128202919995,NA,NA,0.008101617860929763,7.883762052727722e-4,0.019385128202919995,500
0.7,0.5,ADL + FE,RMSE,0.048562470031613625,NA,NA,0.045104982446070474,8.056091611091686e-4,0.048562470031613625,500
0.7,0.5,TWFE + lagged Z,RMSE,0.2405589191207055,NA,NA,0.23907983988675957,0.0011923467776462607,0.2405589191207055,500
0.7,0.5,TWFE short,RMSE,0.5105967755695631,NA,NA,0.5091292927847211,0.0017317212877266729,0.5105967755695631,500
0.85,0.5,ADL + FE + lagged Z,RMSE,0.018750246003062382,NA,NA,0.00844139908941491,7.495015131496343e-4,0.018750246003062382,500
0.85,0.5,ADL + FE,RMSE,0.05675639801571068,NA,NA,0.05394905126792057,7.891912389537606e-4,0.05675639801571068,500
0.85,0.5,TWFE + lagged Z,RMSE,0.23833266162102232,NA,NA,0.23663349927812738,0.001271740491316105,0.23833266162102232,500
0.85,0.5,TWFE short,RMSE,0.7179593045900733,NA,NA,0.7156504159111302,0.0025755304738673645,0.7179593045900733,500
