prob_switch,delta_D,delta_Y,rho_Z,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_s_rmse,twfe_l_bias,twfe_l_mcse,twfe_l_sd,twfe_l_rmse,adl_Ylag_bias,adl_Ylag_mcse,adl_Ylag_sd,adl_Ylag_rmse,adl_full_bias,adl_full_mcse,adl_full_sd,adl_full_rmse,adl_Dlag_bias,adl_Dlag_mcse,adl_Dlag_sd,adl_Dlag_rmse,adl_DYlag_bias,adl_DYlag_mcse,adl_DYlag_sd,adl_DYlag_rmse,adl_DZlag_bias,adl_DZlag_mcse,adl_DZlag_sd,adl_DZlag_rmse,adl_all_bias,adl_all_mcse,adl_all_sd,adl_all_rmse,adl_all_nofe_bias,adl_all_nofe_mcse,adl_all_nofe_sd,adl_all_nofe_rmse,mean_theta,mean_pi,mean_ivb,mean_ivb_formula,mean_se_short,mean_se_long,mean_se_adl_all,mean_abs_ivb_over_beta,mean_abs_ivb_over_se,n_sims,n_explosive,n_collinear,n_discarded
0.1,0.1,0.1,0.5,0.985638365127857,0.0150806473442852,0.337213526065234,1.04161822327038,0.838028227264334,0.0129799204155328,0.290239843916686,0.886770544365673,0.105466560005922,0.00825837030486454,0.184662773850428,0.212497846213849,0.0916667593687861,0.00767991342928235,0.171728084891889,0.194510536587429,-0.0110809506424056,0.0183762177689138,0.410904721006309,0.41064314414455,0.00789767606674197,0.0160998171121676,0.360002854881212,0.359729377030613,-0.0114478385530203,0.0180104024906783,0.402724842712881,0.402484754180546,0.00570191759829708,0.0159736426930902,0.357181509100425,0.356869703178441,0.0085002864900896,0.0170924579140204,0.38219897798304,0.381911195861225,0.311874110715921,0.471963083080313,-0.147610137863523,-0.147610137863523,0.176547818070213,0.168617038197863,0.343665093711057,0.154134815962093,0.941719839222024,500,0,0,0
0.1,0.1,0.1,0.7,1.05485313243884,0.0151837976259845,0.339520036483014,1.10804261582266,0.815503831040227,0.0121786629788255,0.272323182957138,0.859684880979794,0.0929450750511402,0.00813746607298998,0.181959273038039,0.204161077746726,0.0828992198923833,0.0074077701833507,0.165642776916682,0.185080888112053,-0.0400853736794311,0.018898538312465,0.422584163420559,0.424060205167292,-0.0304309166016594,0.0161256951941573,0.360581506385774,0.361503838689378,-0.0230674056057575,0.0171922953036806,0.384431409882803,0.384738923281816,-0.0214049364443244,0.0153965229339658,0.344276718974821,0.344597704017014,-0.0356045412096045,0.0170733914978157,0.381772639955829,0.383048993310715,0.334969284185818,0.712881129263281,-0.239349301398614,-0.239349301398614,0.18005376339736,0.167538844440352,0.341052168590981,0.249305453017016,1.5243531237801,500,0,0,0
0.1,0.1,0.3,0.5,1.25597617343336,0.0153387187941472,0.342984179114668,1.30187519335035,0.75180660601947,0.0111713411933212,0.249798783081098,0.792141279077953,0.153900503583404,0.00766936355461742,0.17149218252284,0.230295711059367,0.107262636882383,0.00710605964599481,0.158896324206125,0.191579798082907,-0.0332225457947858,0.0189397032290884,0.42350463893914,0.424383322473506,0.00186049520510001,0.0157297749880368,0.351728461440262,0.351381482449442,-0.0128094452771786,0.016936341811446,0.378708115805651,0.378546006703837,0.00587052454128179,0.0154157072546836,0.344705693427091,0.344410850742655,0.0104450793923283,0.0167020101638578,0.373468300872784,0.373240826138838,0.400890192731996,1.25567147440148,-0.504169567413887,-0.504169567413887,0.184106988495803,0.168278551822222,0.345558363499443,0.504169567413887,3.08004775626426,500,0,0,0
0.1,0.1,0.3,0.7,1.54829608367963,0.0193278828029464,0.432184598085373,1.60736763763187,0.74983115074305,0.0124264244698051,0.277863298317509,0.799562599895361,0.236093152488672,0.00892505217905977,0.199570233751103,0.309012294731311,0.145471231792395,0.00791188218578111,0.176915063973762,0.228906577582024,-0.0639181808808325,0.0215990395684949,0.482969207238623,0.486701418199636,0.0052335989927732,0.0164069345353643,0.366870209234636,0.366540520926998,-0.0233155656676708,0.0181622921673752,0.40612119913463,0.406384270281442,0.00867829210091808,0.0158800058671043,0.355087726019407,0.354838598995492,0.0226978973906027,0.0162008880799771,0.362262870426948,0.362611518103529,0.385653324650311,2.07228923313036,-0.798464932936577,-0.798464932936577,0.188794334048638,0.166763082742569,0.342774939263104,0.798633548266268,4.90020092307767,500,0,0,0
0.1,0.3,0.1,0.5,1.10812608255883,0.0134063706971911,0.299775562104805,1.14788025146666,0.849176983774535,0.0117874092378584,0.263574483344603,0.88906361697364,0.172385904850583,0.00746699013433811,0.166966975277003,0.239873122885077,0.0923484538772457,0.00702904645648092,0.157174256936954,0.182160853322315,7.40149977964677e-05,0.0184507533739754,0.412571387802925,0.412158616568651,0.0167340877580739,0.0160067127218749,0.357920977424231,0.357954244172703,0.0104119101904872,0.0178069301128943,0.398175062030198,0.397912931602531,0.0216309490337931,0.015698402990534,0.3510269622502,0.351342263791666,0.0209225825781487,0.0171262545431189,0.382954693583784,0.383143241105613,0.311473286610532,0.829639115535105,-0.258949098784293,-0.258949098784293,0.179008196358623,0.171420536036901,0.348076922359778,0.258949098784293,1.57341869174827,500,0,0,0
0.1,0.3,0.1,0.7,1.25789212866597,0.0151727344650255,0.33927265668351,1.30275413300506,0.845843264229968,0.0119665395346402,0.267579958548942,0.887077597390345,0.202231670874472,0.0078538583395566,0.175617611329022,0.267726560174321,0.104481489508304,0.00715032620355462,0.159886154524461,0.190863398517569,-0.0581294071458378,0.0198799494075373,0.444529182645101,0.447872760736576,-0.0244123300915977,0.0161516406416588,0.361161664228974,0.361625267471351,-0.0269850517586676,0.0182849270445303,0.408863398351941,0.409344760529913,-0.0104508937838909,0.0156664442496439,0.350312343079145,0.350117867894592,-0.0163668703947678,0.0160862855014556,0.359700278867239,0.359712936217832,0.337088263167869,1.22040949925785,-0.412048864436007,-0.412048864436007,0.181958645322426,0.169774514635333,0.345432031506505,0.412313304929996,2.48931805173677,500,0,0,0
0.1,0.3,0.3,0.5,1.41661890528647,0.0156691386523046,0.350372591754225,1.45922052958472,0.751570913050619,0.0117806096636749,0.26342244024368,0.796311143086437,0.241745230559211,0.0081777379314172,0.182859779168274,0.303004257293393,0.129837601473934,0.00770524093954802,0.172294425238437,0.21560102269426,-0.0185879645053213,0.0206208942844641,0.461097213768986,0.461010771770988,0.00965474244924946,0.0161691642678302,0.361553504422289,0.361320783707053,9.75022159475092e-05,0.0179366365313591,0.401075385718249,0.400674121457408,0.0139289700359997,0.0156788685633665,0.35059015917972,0.350516260679156,0.0139181430482256,0.0159813574880557,0.357354017160178,0.357267693052795,0.400947280824013,1.65878239737982,-0.665047992235849,-0.665047992235849,0.184401008312496,0.169454362485544,0.343397949703443,0.665047992235849,4.05818538868898,500,0,0,0
0.1,0.3,0.3,0.7,1.73391611967055,0.0186370701647877,0.416737557898985,1.78319599647169,0.7223581167172,0.0115497212456191,0.258259618263779,0.767050117757713,0.322094674181785,0.00827030912938212,0.184929734082355,0.371316021295803,0.154173887491491,0.00727680164592529,0.162714231390713,0.224036954181928,-0.156662521321973,0.0203766101410854,0.455634854264786,0.481384523813354,-0.0558966050017633,0.0147190857089456,0.329128762118481,0.333516897653266,-0.068481700818564,0.0168724838197851,0.377280207703048,0.383073645349311,-0.0358226586359471,0.014399836168765,0.321990125382186,0.323656528489225,-0.0136422956655141,0.0151154699276458,0.337992182700698,0.337929505025344,0.38767820242741,2.60659266146147,-1.01155800295335,-1.01155800295335,0.192081663921457,0.170344896569746,0.346247279761273,1.01155800295335,6.084716635436,500,0,0,0
0.3,0.1,0.1,0.5,0.949015795970042,0.00786269550648861,0.175815216388907,0.965132192673057,0.803430365745252,0.00724826954514487,0.162076234221854,0.819583138485466,0.0954907102979461,0.00450798931018964,0.100801705394264,0.138777294958424,0.082613452134993,0.00450635352130072,0.10076512804274,0.130223985045273,-0.0224487203617442,0.0108463486201767,0.242531728223762,0.243326819242545,0.00149980584843146,0.00894771060063374,0.200076891460125,0.199882341363456,-0.0167615561851808,0.010349888733085,0.231430547667373,0.231805797948588,0.00303748872643062,0.00871211267713482,0.194808761737111,0.194637558246117,0.00230118075536812,0.00919685416638989,0.205647910952,0.205455047602225,0.315747645605616,0.461248015325101,-0.14558543022479,-0.14558543022479,0.104620992638799,0.100011009790571,0.192703607211019,0.14558543022479,1.46127934481699,500,0,0,0
0.3,0.1,0.1,0.7,1.02773500390745,0.00850735538485993,0.190230249492957,1.04515760102635,0.798624735890041,0.00694626030783239,0.155323102377218,0.81355914620589,0.0900115648365507,0.0046448306815584,0.103861571479413,0.137359868165478,0.0852228627938187,0.00431871299900786,0.0965693584109357,0.128724224778035,-0.0643979596324608,0.0110805277569057,0.247768132910144,0.255760369868421,-0.0260851078778878,0.00905270259711193,0.202424583872312,0.203897507548689,-0.0382232208397419,0.00987441999809315,0.220798743541196,0.223865128125029,-0.0157305998714505,0.00858301438737015,0.191922036220184,0.192374248856866,-0.0165814456960773,0.00937919332768846,0.209725138548239,0.210170428017292,0.338454972498593,0.675492617858047,-0.229110268017413,-0.229110268017413,0.107967722367025,0.100617339298138,0.193545836385679,0.229200982622469,2.28882632599602,500,0,0,0
