nl_type,nl_strength,nl_Y,rho_Z,TT,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_s_rmse,twfe_l_bias,twfe_l_mcse,twfe_l_sd,twfe_l_rmse,adl_Ylag_bias,adl_Ylag_mcse,adl_Ylag_sd,adl_Ylag_rmse,adl_full_bias,adl_full_mcse,adl_full_sd,adl_full_rmse,adl_Dlag_bias,adl_Dlag_mcse,adl_Dlag_sd,adl_Dlag_rmse,adl_DYlag_bias,adl_DYlag_mcse,adl_DYlag_sd,adl_DYlag_rmse,adl_DZlag_bias,adl_DZlag_mcse,adl_DZlag_sd,adl_DZlag_rmse,adl_all_bias,adl_all_mcse,adl_all_sd,adl_all_rmse,adl_all_nofe_bias,adl_all_nofe_mcse,adl_all_nofe_sd,adl_all_nofe_rmse,n_sims,n_discarded
Dlog,0.2,FALSE,0.5,30,0.44983273394259,0.00155731148040481,0.0348225433232598,0.451175877935332,0.24123248887726,0.00128383832320627,0.0287074976280857,0.24293123691519,0.0448368005973125,0.000798851688441435,0.0178628667929553,0.0482574609137894,0.00970875929179105,0.000806363054423713,0.0180308260423578,0.0204626604668154,0.0496251027183901,0.00112736204662315,0.0252085817150264,0.0556493707665213,0.0340331524938251,0.000862257376583155,0.0192806610814057,0.0391057012802547,-0.0257760526208954,0.00107287442480881,0.0239902014519348,0.0351963576934912,-0.00187271922050469,0.000870023768596908,0.0194543228862323,0.0195248768211916,-0.0867173858029127,0.000967626394411574,0.021636783947273,0.0893706837795986,500,0
Dlog,0.2,FALSE,0.7,30,0.534305937297722,0.00184722231374752,0.041305146630939,0.535896946753314,0.223270595303902,0.00131923802261085,0.0294990589706026,0.225207044335983,0.0458432350524844,0.000808453543769779,0.0180775708051983,0.0492721743904392,0.00801652231296179,0.000820477138343773,0.0183464265532118,0.0200045698412153,0.091744633885918,0.00121659087553309,0.0272037989849797,0.0956851317223208,0.0420116511965685,0.000876096594563343,0.0195901154029971,0.0463463473482202,-0.0278618205728641,0.00110130079189444,0.0246258343435032,0.0371685337256382,-0.00380381925031326,0.000884534589850473,0.0197787947135555,0.0201218130338542,-0.089737084122078,0.000944336473049778,0.021116005473717,0.092183177329297,500,0
Dlog,0.5,FALSE,0.5,10,0.215103280820264,0.00251636915464027,0.0562677248625932,0.222326665443287,0.0927025729123338,0.00210781378832611,0.0471321491460853,0.103974822090394,0.0447756109966087,0.0016089532139328,0.0359772875897049,0.0574163028415043,0.0114555043342461,0.00159046000431728,0.0355637668514804,0.0373293521132239,-0.0308220259216558,0.00193194045332314,0.0431995018211231,0.0530326488645745,0.00975124064225596,0.00163949565818572,0.0366602374051903,0.0378994954406373,-0.0711817601106339,0.00180275930660282,0.040310923566343,0.0817836388900729,-0.0191897972153648,0.00160953424641813,0.0359902798710484,0.0407548520040598,-0.0880581005598973,0.00156196915370709,0.0349266920644686,0.0947188637238965,500,0
Dlog,0.5,FALSE,0.5,30,0.482561138974602,0.00159317573929753,0.0356244925317277,0.483871696948346,0.221409018076665,0.0011951522147648,0.0267244159567352,0.223012823185316,0.0483203041569162,0.000780884433364657,0.0174611067557478,0.0513724854611324,0.00928831733638202,0.000783307959720094,0.017515298452508,0.0198102233067172,0.0549516696932784,0.00112871287191603,0.0252387870868326,0.0604599733951844,0.0345407680130878,0.00085277268496978,0.0190685769294744,0.0394455074729303,-0.0271721011688761,0.00105984519522651,0.0236988590215301,0.0360393636044834,-0.00223767053633883,0.00085391147247994,0.0190940409923209,0.0192057388830213,-0.0884035908338757,0.000922701128873108,0.0206322244707606,0.0907746230042403,500,0
Dlog,0.5,FALSE,0.7,10,0.216918554934056,0.00260160289461546,0.058173609228204,0.224568608553585,0.0869676219653208,0.00220391332351578,0.0492810000789876,0.0999356142981597,0.0377255264304881,0.00160585151744952,0.0359079315478832,0.0520578152961573,0.00923939911584548,0.00161160585154015,0.036036602369802,0.0371672696462949,-0.0269622500171517,0.00198154434089661,0.0443086784667484,0.0518294838434858,0.00765350468235004,0.00162643945788844,0.0363682918912646,0.0371292806784726,-0.0677106116516503,0.00185702085679706,0.0415242487143314,0.0794074406782366,-0.0211348747795138,0.00162343673815777,0.036301149036913,0.0419740492030862,-0.0885518320595993,0.00158243730983147,0.0353843739491505,0.0953466138520149,500,0
Dlog,0.5,FALSE,0.7,30,0.590211810369898,0.00196938883977581,0.0440368731986815,0.591849092935713,0.203110141214838,0.00126062482458327,0.0281884280189193,0.205052987697183,0.0502916321602205,0.000847021782788829,0.0189399828473888,0.0537331719675824,0.00939137364699216,0.000853893942758342,0.0190936490158297,0.0212611428867696,0.109501460483324,0.00133797702720291,0.0299180758515879,0.113507140427891,0.0450570620353736,0.000926493465937948,0.0207170237054664,0.0495830164504938,-0.0243982143175152,0.00111456966880733,0.0249225354511262,0.0348591934738803,-0.00170035793934864,0.000918288691491944,0.0205335593714532,0.020583367641423,-0.0877221473846836,0.00100934464338642,0.0225696323533732,0.09057342143111,500,0
Dlog,1,FALSE,0.5,10,0.242918902570628,0.0027286290306423,0.0610139999789554,0.250449308250518,0.0778034339799734,0.00219193739437461,0.0490132101624538,0.0919285838026676,0.0505863670164262,0.00163648788019977,0.0365929814448121,0.0624127288808853,0.0111157365241545,0.00161368508465603,0.0360830954356839,0.0377219484536875,-0.0279697220137932,0.0021079161412088,0.0471344378261192,0.0547678488554626,0.0110666490321785,0.00174777991176727,0.0390815469242019,0.0405805778195683,-0.0696013682306264,0.00196568067484547,0.0439539561101214,0.0822948164636769,-0.0178656429302687,0.00169808593602929,0.0379703558459786,0.0419290546582672,-0.0871558105351016,0.00164140017011053,0.0367028235864687,0.0945544201755345,500,0
Dlog,1,FALSE,0.5,30,0.541542973734863,0.00168539063260936,0.0376864802315591,0.542850092246707,0.18586341276222,0.00123243703258103,0.027558129828393,0.187891297888483,0.0532164615535677,0.000793878384591035,0.0177516603381328,0.056093519965797,0.00794957792157702,0.000802554775088048,0.0179456703276393,0.0196111901340159,0.0625314998079154,0.00119835405818642,0.0267960113521756,0.0680204281092415,0.0342897469212335,0.000903800780644434,0.0202095998363833,0.039791931514038,-0.028908132063508,0.00109978101682023,0.0245918511397387,0.0379371812816309,-0.00297175853511544,0.000887522768037268,0.0198456124091011,0.0200472438010694,-0.0870257349087178,0.000987360532470018,0.0220780526890335,0.0897771912354195,500,0
Dlog,1,FALSE,0.7,10,0.356314192683993,0.00995521410219708,0.222605354630772,0.420016477689289,0.0691520271827781,0.00207057298951296,0.0462994195692593,0.0831946623494146,0.0524505016353636,0.00184674403763307,0.0412944520518996,0.0667298765810891,0.00725616208947177,0.00155802253728015,0.0348384430383511,0.0355519558868207,0.0330106873032412,0.00511079401711969,0.114280828412788,0.118843144537075,0.0243499754345322,0.00203458412224953,0.0454946840329169,0.0515611098248163,-0.0584364533371166,0.00199121729721074,0.0445249723453663,0.0734392762399788,-0.0185889419213798,0.00162876426115278,0.0364202760725984,0.0408574644091175,-0.0920304253679706,0.00164941351410508,0.0368820074054578,0.0991320387096187,500,0
Dlog,1,FALSE,0.7,30,1.05209195579004,0.0165861844341547,0.370878358821189,1.11542509339082,0.154444934824966,0.00127258494489533,0.0284558644392877,0.15703934106342,0.0702521436989152,0.00119028424942275,0.0266155649425658,0.0751154791964382,0.00607257929924621,0.000819833896723195,0.0183320432333161,0.019294245277688,0.289592271500163,0.00715278767892223,0.159941194786931,0.330747195197352,0.0675146027037368,0.00139343851579124,0.0311582324377563,0.074344571799099,-0.0251772823973863,0.00104292547750577,0.0233205226316932,0.0343023997874991,-0.00368715502922001,0.000847511557020434,0.0189509345321438,0.0192876840499791,-0.090633268738433,0.00105460825449397,0.0235817574668092,0.0936449490835783,500,0
