path,md5,bytes,csv_header,static_validation
simulations/dual_role_z/results/sim_dual_role_z_asymmetry_results.csv,c70f7fee90dde42f0f4c7e44f923a0c5,3393,gamma_D|delta_Y|twfe_s_bias|twfe_l_bias|adl_s_bias|adl_l_bias|twfe_s_mcse|twfe_l_mcse|adl_s_mcse|adl_l_mcse,PASS
simulations/dual_role_z/results/sim_dual_role_z_results.csv,b77f0509364c86788224fd6c5da30aae,3972,rho_Z|ar_order|sigma_aZ|twfe_bias_short|twfe_bias_long|twfe_ivb|adl_bias_short|adl_bias_long|adl_ivb|n_sims|twfe_net|adl_net|best_abs_bias|best_model,PASS
simulations/dual_role_z/results/sim_dual_role_z_raw.csv,9e04225b560f985750286ac7794091ca,321391,twfe_s.D|twfe_l.D|adl_s.D|adl_l.D|sim|rho_Z|ar_order|sigma_aZ,PASS
simulations/dual_role_z/results/sim_dual_role_z_firewall_results.csv,3a5a2bc3ac6d9abeff4197f9ceb19cbb,2092,rho_Z|rho_Y|twfe_s_bias|twfe_l_bias|adl_s_bias|adl_l_bias|twfe_s_mcse|twfe_l_mcse|adl_s_mcse|adl_l_mcse,PASS
simulations/dual_role_z/results/sim_dual_role_z_varyT_8models_results.csv,4914d306c2ba0d5f4f7e0131e624c4bb,3431,TT|rho_Z|pooled_s_bias|pooled_s_mcse|pooled_l_bias|pooled_l_mcse|twfe_s_bias|twfe_s_mcse|twfe_l_bias|twfe_l_mcse|adl_s_nofe_bias|adl_s_nofe_mcse|adl_l_nofe_bias|adl_l_nofe_mcse|adl_s_fe_bias|adl_s_fe_mcse|adl_l_fe_bias|adl_l_fe_mcse|n_sims,PASS
simulations/dynamics/results/sim_feedback_Y_to_D_results.csv,1cc3085c3f6885322c594c17b8dd7e64,6795,phi|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|mean_theta|mean_pi|mean_ivb|mean_ivb_formula|mean_se_short|mean_se_long|mean_se_adl_all|mean_abs_ivb_over_beta|mean_abs_ivb_over_se|n_sims|n_explosive|n_est_failed|n_discarded,PASS
simulations/dynamics/results/sim_feedback_Y_to_D_raw.csv,1511e591f477dd51eb937a6d79506975,904659,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|theta|pi_hat|se_short|se_long|se_adl_all|sim|phi|rho_Z,PASS
simulations/dynamics/results/sim_feedback_Y_to_D_timing.csv,db39c6457203d672fa928017be68077f,65,step|elapsed_sec|n_scenarios|n_reps|n_workers,PASS
simulations/dynamics/results/sim_feedback_carryover_results.csv,fc9bfa98cd8e2fff2ede9d3cd79b2f44,4130,phi|beta2|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|b2_all_mean|n_sims,PASS
simulations/dynamics/results/sim_feedback_carryover_raw.csv,ffb5099f92e9e48911f1c91837bea1ff,469999,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|b2_all.D_lag|sim|phi|beta2|rho_Z,PASS
