scenario_id,estimator_id,estimator_label,N,T,rho_Y,bias,mean_delta_z,coverage,phase_condition
P_N050_T15_RY50,fe_adl,FE-ADL within,50,15,0.5,0.0144386092189227,-0.0322770576954169,0.928,FALSE
P_N050_T15_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,50,15,0.5,0.0164269922902907,-0.0358839740213648,0.914,FALSE
P_N050_T15_RY80,fe_adl,FE-ADL within,50,15,0.8,-0.00279742428730251,-0.031635233797046,0.94,FALSE
P_N050_T15_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,50,15,0.8,0.0164704822845482,-0.0364502365225343,0.92,FALSE
P_N050_T20_RY20,fe_adl,FE-ADL within,50,20,0.2,0.0111805652394721,-0.0336686033625261,0.936,FALSE
P_N050_T20_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,50,20,0.2,0.00522681600247633,-0.0370040753904879,0.95,FALSE
P_N050_T20_RY50,fe_adl,FE-ADL within,50,20,0.5,0.0106528867517912,-0.0326161297387572,0.938,FALSE
P_N050_T20_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,50,20,0.5,0.00931496230735559,-0.0350955545888407,0.944,FALSE
P_N050_T20_RY80,fe_adl,FE-ADL within,50,20,0.8,0.00268424745012682,-0.0330478712585814,0.944,FALSE
P_N050_T20_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,50,20,0.8,0.0130602021074097,-0.0367421617244841,0.926,FALSE
P_N050_T30_RY20,fe_adl,FE-ADL within,50,30,0.2,0.010181565041827,-0.0351706175806257,0.934,FALSE
P_N050_T30_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,50,30,0.2,0.00439332912227884,-0.0372969279532706,0.962,FALSE
P_N050_T30_RY50,fe_adl,FE-ADL within,50,30,0.5,0.0101426196974829,-0.0330796478718906,0.922,FALSE
P_N050_T30_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,50,30,0.5,0.00531583366271201,-0.034647025788562,0.944,FALSE
P_N050_T30_RY80,fe_adl,FE-ADL within,50,30,0.8,0.0055416846561388,-0.0339557515496031,0.938,FALSE
P_N050_T30_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,50,30,0.8,0.0102859013531134,-0.0363424820744107,0.926,FALSE
P_N050_T50_RY20,fe_adl,FE-ADL within,50,50,0.2,0.00446201391646129,-0.0361944874506543,0.92,FALSE
P_N050_T50_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,50,50,0.2,-0.0002032582789762,-0.0374588566823195,0.92,FALSE
P_N050_T50_RY50,fe_adl,FE-ADL within,50,50,0.5,0.00629874815373212,-0.0334708166582194,0.944,FALSE
P_N050_T50_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,50,50,0.5,0.00161813732695596,-0.0342643320877936,0.952,FALSE
