estimator_id,estimator_label,phase_cells,total_cells,max_abs_bias,max_abs_mean_shift,min_coverage
fe_adl,FE-ADL within,0,54,0.0191454018299867,0.0365133978766091,0.834
hpj_fe_adl,Split-panel jackknife FE-ADL,6,54,0.0454296317922152,0.0381323662151438,0.7
