model_id,panel,spec_label,published_estimate,benchmark_gap,coef_name,estimate,std_error,statistic,p_value,conf_low,conf_high,n_obs
m1,Full sample,"Tabela 1, modelo 1",0.137,4.1861130881068465e-4,PostPeriod:treatment_level_at_t2,0.1374186113088107,0.014270536159226714,9.629533871434939,7.397676748998903e-22,0.1094488743966498,0.1653883482209716,19813
m2,Full sample,"Tabela 1, modelo 2",0.13,-3.3126619588402795e-5,PostPeriod:treatment_level_at_t2,0.1299668733804116,0.015725377755192213,8.264785457220515,1.583894954264522e-16,0.09914569933694754,0.16078804742387565,18298
m3,Full sample,"Tabela 1, modelo 3",0.107,-2.990393997924917e-4,PostPeriod:treatment_level_at_t2,0.1067009606002075,0.016356700880611873,6.523379095761518,7.222554546344457e-11,0.07464241596831366,0.13875950523210134,18118
m4,Restricted control group,"Tabela 1, modelo 4",0.096,-7.801065536430785e-5,PostPeriod:restr_treatment_level_at_t2,0.0959219893446357,0.02816077130173018,3.4062273478547196,6.614432738027717e-4,0.04072789181637542,0.15111608687289596,17842
m5,Restricted control group,"Tabela 1, modelo 5",0.106,8.43867017224359e-5,PostPeriod:restr_treatment_level_at_t2,0.10608438670172243,0.031027919768075476,3.418997712211191,6.314010898243328e-4,0.04527078144109613,0.16689799196234872,16593
m6,Restricted control group,"Tabela 1, modelo 6",0.089,4.4293651190029093e-4,PostPeriod:restr_treatment_level_at_t2,0.08944293651190029,0.031096610639343613,2.8762921319385386,0.004033612817958364,0.028494699617521754,0.15039117340627883,16454
m7,Matched,"Tabela 1, modelo 7",0.116,4.918272749422498e-4,PostPeriod:treatment_level_at_t2,0.11649182727494226,0.02642407044437996,4.408549678980987,1.052350504417146e-5,0.06470160087900825,0.16828205367087626,18578
m8,Matched,"Tabela 1, modelo 8",0.101,1.0537016385098186e-4,PostPeriod:treatment_level_at_t2,0.10110537016385099,0.02654771885290346,3.808439087518562,1.408218286811646e-4,0.04907279734046522,0.15313794298723676,17068
