control_var,control_label,beta_safe,beta_long,theta,pi,ivb_formula,ivb_direct,check,aux_n_obs,long_n_obs,ovb_safe,abs_ivb_direct
ln_pob,Log da popula<c3><a7><c3><a3>o municipal,6.67549860000936,6.757473018329582,8.111694939595113,-0.010105707738105983,0.08197441832022147,0.08197441832022268,-1.2073675392798577e-15,7613,7613,9.297584142812518,0.08197441832022268
pol_local,Presen<c3><a7>a de pol<c3><ad>cia municipal,6.67549860000936,6.398123638013877,7.747563395393319,0.03580157371289253,-0.2773749619954819,-0.2773749619954824,4.996003610813204e-16,7613,7613,9.297584142812518,0.2773749619954824
alc_oficialista,Prefeito governista,6.609053630808975,6.644637272190173,-0.8714186477197563,0.04083415184459493,0.035583641381200105,0.03558364138119785,2.2551405187698492e-15,7544,7544,9.3640291120129,0.03558364138119785
