gamma_Y,gamma_D,delta,R2_within,N,TT,beta,stable,mean_beta_short,mean_beta_long,mean_ivb,mean_ivb_formula,mean_abs_ivb_over_beta,mean_abs_ivb_over_se,mean_abs_ivb_over_sd_y,bias_short,bias_long,rmse_short,rmse_long,coverage_short,coverage_long,rejection_short,rejection_long
0,-0.8,-0.6,0.1,200,30,1,TRUE,1.48025962251644,0.998621814041199,-0.481637808475246,-0.481637808475246,0.481637808475246,11.2044185865051,0.20010386851907,0.480259622516445,-0.00137818595880124,0.482702214377439,0.042746204719499,0,0.952,1,1
0,-0.8,-0.6,0.3,200,30,1,TRUE,1.4808148679254,1.00187835884814,-0.478936509077256,-0.478936509077256,0.478936509077256,18.248931795817,0.19868149343498,0.480814867925395,0.00187835884813881,0.48156840620696,0.024788801706038,0,0.954,1,1
0,-0.8,-0.6,0.5,200,30,1,TRUE,1.47987080236147,0.999749863773444,-0.480120938588024,-0.480120938588025,0.480120938588024,22.4496895452494,0.199434059176475,0.479870802361468,-0.000250136226556008,0.480305123471333,0.0209040491699181,0,0.958,1,1
0,-0.8,-0.6,0.7,200,30,1,TRUE,1.47938726070248,0.999495976661052,-0.479891284041429,-0.479891284041429,0.479891284041429,25.3229721182771,0.198022180054453,0.479387260702481,-0.000504023338948056,0.479736651129284,0.018338954486211,0,0.95,1,1
0,-0.8,-0.6,0.9,200,30,1,TRUE,1.47925593526022,0.999940236650462,-0.479315698609753,-0.479315698609753,0.479315698609753,27.5211209928905,0.198540999288952,0.479255935260215,-5.97633495382777e-05,0.479543646217238,0.0174490958326084,0,0.954,1,1
0,-0.8,-0.3,0.1,200,30,1,TRUE,1.23927783623682,0.999324534530548,-0.239953301706268,-0.239953301706268,0.239953301706268,5.58798750636093,0.111875255807266,0.239277836236816,-0.000675465469452075,0.243085870540626,0.0418859475572593,0,0.952,1,1
0,-0.8,-0.3,0.3,200,30,1,TRUE,1.24048756482027,1.00097825220633,-0.239509312613941,-0.239509312613941,0.239509312613941,9.11978496018382,0.111212351721504,0.240487564820267,0.000978252206325747,0.241556464353426,0.0234266602435352,0,0.978,1,1
0,-0.8,-0.3,0.5,200,30,1,TRUE,1.24045478755571,0.999699032231866,-0.240755755323846,-0.240755755323846,0.240755755323846,11.2508963750355,0.111815214746122,0.240454787555712,-0.000300967768133931,0.2412060748535,0.021500133868414,0,0.958,1,1
0,-0.8,-0.3,0.7,200,30,1,TRUE,1.24009439946835,0.999737407982217,-0.240356991486133,-0.240356991486133,0.240356991486133,12.6931836240859,0.111353225811402,0.24009439946835,-0.000262592017783225,0.240662446208037,0.0188440988196585,0,0.966,1,1
0,-0.8,-0.3,0.9,200,30,1,TRUE,1.24159637301969,1.00263869784551,-0.238957675174183,-0.238957675174183,0.238957675174183,13.7121981781939,0.110785186457473,0.241596373019691,0.00263869784550796,0.24203358850286,0.0170739580923868,0,0.954,1,1
